County Level Vaccination Data for Minnesota
Date generated: Thu Apr 15 2021 14:02:50 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aitkin,5653,35.6,5641,42.5,3576,66.6
Anoka,71814,20.1,71694,26.3,31964,61.7
Becker,10858,31.5,10840,41.5,5338,73.4
Beltrami,13965,29.6,13935,39.4,5812,74.8
Benton,6483,15.9,6471,21.2,2896,49.4
Big Stone,2099,42.1,2091,53.4,1101,82.2
Blue Earth,17036,25.2,16996,31.4,7846,81.5
Brown,7636,30.5,7622,39,4546,85.2
Carlton,11740,32.7,11727,42.1,4946,79
Carver,23886,22.7,23804,30.8,9709,73.3
Cass,8062,27.1,8053,34.1,4914,62.3
Chippewa,3302,28,3294,36.8,1856,72.3
Chisago,12625,22.3,12615,28.8,6565,73.4
Clay,12121,18.9,12097,25.1,5619,65.4
Clearwater,2175,24.7,2168,32.7,1213,67.2
Cook,2442,44.7,2441,52.6,1369,85.5
Cottonwood,3204,28.6,3198,37.9,1845,71.2
Crow Wing,18698,28.7,18677,36.5,10884,72.8
Dakota,108385,25.3,108141,33.3,45832,72.7
Dodge,5666,27.1,5658,36.3,2382,75
Douglas,11447,30,11422,38.1,6732,75.4
Faribault,3662,26.8,3662,34.4,2372,74.7
Fillmore,7247,34.4,7237,45.6,3683,82.4
Freeborn,7964,26.3,7955,33.6,4977,72.9
Goodhue,14431,31.1,14411,39.9,7351,78.7
Grant,1828,30.6,1823,39.4,1061,74
Hennepin,342789,27.1,342003,34.6,140912,76.7
Houston,4043,21.7,4038,27.8,2093,51
Hubbard,5225,24.3,5222,30.8,3400,62.7
Isanti,6302,15.5,6295,20.3,3426,50.9
Itasca,13190,29.2,13164,36.8,7617,70
Jackson,2369,24.1,2365,30.6,1410,62
Kanabec,3667,22.4,3651,28.4,2006,58.7
Kandiyohi,9851,22.8,9844,30.3,5602,68
Kittson,1278,29.7,1267,37.8,741,69.3
Koochiching,3264,26.7,3263,32.4,2113,64.7
Lac qui Parle,2523,38.1,2512,47.8,1227,66.4
Lake,3383,31.8,3378,39.3,1966,68.9
Lake of the Woods,1155,30.9,1154,37.9,696,73.3
Le Sueur,5818,20.1,5809,26.4,3245,63.5
Lincoln,1642,29.1,1640,38,884,62.5
Lyon,6933,27.2,6906,36.5,3311,79
Mahnomen,2209,40,2208,58.6,950,99.6
Marshall,2007,21.5,2002,27.8,1120,53.8
Martin,5705,29,5696,37.1,3329,70.1
McLeod,8567,23.9,8547,30.8,4742,69
Meeker,5385,23.2,5378,30.5,3140,65.9
Mille Lacs,6916,26.3,6905,34.4,3811,78
Morrison,7726,23.1,7724,30.1,4538,67.9
Mower,10832,27,10820,36,5710,77
Murray,2414,29.5,2413,37.5,1425,66.8
Nicollet,9454,27.6,9437,35.3,4238,74.1
Nobles,6585,30.4,6581,42,2759,76.1
Norman,2204,34.6,2193,45.4,970,70.8
Olmsted,59188,37.4,58985,49.3,20178,80
Otter Tail,15551,26.5,15520,33.8,9378,65.3
Pennington,3108,22,3101,28.4,1660,62.4
Pine,6614,22.4,6611,27.7,3856,60.6
Pipestone,2707,29.7,2706,40.1,1533,80.9
Polk,7272,23.2,7238,30.6,3348,58
Pope,3431,30.5,3422,38.5,2034,73.1
Ramsey,138947,25.2,138736,32.8,59969,73.3
Red Lake,1130,27.9,1127,36.6,606,69.3
Redwood,3859,25.4,3855,33.8,2243,68.5
Renville,3753,25.8,3745,33.6,2219,72.4
Rice,17443,26,17398,33.2,8740,82.6
Rock,2379,25.5,2373,33.9,1476,77.2
Roseau,3127,20.6,3114,27.1,1939,70.5
Scott,34405,23.1,34301,31.6,12565,74.3
Sherburne,15703,16.1,15685,21.9,7017,61.6
Sibley,3154,21.2,3151,27.5,1773,63.1
St. Louis,65861,33.1,65712,40.7,30523,76.5
Stearns,37461,23.3,37414,30.2,18118,72.7
Steele,8706,23.8,8691,31.5,4910,73.2
Stevens,2834,28.9,2823,36.7,1280,75.2
Swift,2898,31.3,2888,40.6,1602,77.1
Todd,5089,20.6,5078,27.1,3156,57.9
Traverse,1080,33.1,1076,41.7,609,73.6
Unknown,69474,N/A,69353,N/A,25879,N/A
Wabasha,7735,35.8,7717,45.5,4134,84.7
Wadena,3584,26.2,3581,35.3,2085,71.4
Waseca,4445,23.9,4441,31.1,2538,73.4
Washington,67005,25.5,66856,33.6,30395,74.4
Watonwan,2611,24,2608,31.6,1511,67.6
Wilkin,1071,17.3,1071,22.3,600,49.2
Winona,15341,30.4,15288,36.8,6935,78
Wright,27055,19.6,27021,27,12618,70.2
Yellow Medicine,3015,31.1,3009,40.3,1684,83.4
