County Level Vaccination Data for Missouri
Date generated: Thu Apr 15 2021 14:03:52 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adair,6165,24.3,6144,29.5,2361,61.7
Andrew,3066,17.3,3064,22.4,1500,43.7
Atchison,1591,30.9,1591,38.7,865,64.3
Audrain,4367,17.2,4365,22.2,2480,53.7
Barry,6672,18.6,6668,24.1,3983,52.9
Barton,1666,14.2,1666,18.5,1029,41.3
Bates,2818,17.4,2818,22.6,1610,50.9
Benton,4994,25.7,4994,31.1,3291,54.2
Bollinger,1887,15.6,1887,19.7,1067,41.7
Boone,48167,26.7,48030,33.4,16820,72.9
Buchanan,13814,15.8,13810,20.4,6436,44.1
Butler,6392,15,6387,19.6,3455,42.4
Caldwell,1539,17.1,1538,22.2,867,47.9
Callaway,8925,19.9,8912,25.2,4055,54.2
Camden,9307,20.1,9302,24.3,5700,42.6
Cape Girardeau,18618,23.6,18602,30,8771,65
Carroll,2265,26.1,2265,33.7,1215,63.4
Carter,922,15.4,922,20,541,43.3
Cass,21672,20.5,21640,26.9,10521,57.4
Cedar,2293,16,2293,21,1483,43.6
Chariton,1436,19.3,1435,25,806,44.7
Christian,16641,18.8,16614,25,8120,57.1
Clark,884,13,884,16.8,526,36.1
Clay,51370,20.6,51251,26.9,21513,59.6
Clinton,3573,17.5,3569,22.8,1755,47.4
Cole,18165,23.7,18148,30.4,8569,64.5
Cooper,3741,21.1,3733,26.9,1848,56.9
Crawford,3203,13.4,3200,17.3,1903,39.6
Dade,1485,19.6,1484,24.8,943,52.2
Dallas,2591,15.4,2590,20.1,1593,45.4
Daviess,1293,15.6,1292,20.9,662,37.8
DeKalb,1689,13.5,1688,16.2,838,40.3
Dent,2098,13.5,2096,17.3,1250,35.9
Douglas,1255,9.5,1255,12.2,809,24.6
Dunklin,3828,13.1,3828,17.6,1942,35.4
Franklin,19864,19.1,19848,24.7,10992,58.7
Gasconade,3705,25.2,3700,31.7,2302,67.8
