County Level Vaccination Data for Montana
Date generated: Thu Apr 15 2021 14:04:17 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Beaverhead,2846,30.1,2846,36.4,1520,72.1
Big Horn,5185,38.9,5066,57.2,1501,84.6
Blaine,3108,46.5,3001,63.7,916,86.6
Broadwater,1078,17.3,1076,21.5,697,46.5
Carbon,2584,24.1,2583,29,1531,53.3
Carter,215,17.2,214,21.8,137,41.9
Cascade,20827,25.6,20758,32.9,9677,62.2
Chouteau,1068,19,1068,24.4,563,47.2
Custer,2689,23.6,2685,29.7,1438,60.9
Daniels,432,25.6,432,32.3,226,47.3
Dawson,2028,23.5,2027,29.9,1049,59.6
Deer Lodge,2903,31.8,2898,36.7,1557,69.4
Fallon,561,19.7,561,27.1,283,58.5
Fergus,2609,23.6,2609,29.7,1607,57.7
Flathead,17473,16.8,17452,21.5,9884,47.1
Gallatin,22822,19.9,22765,24.8,9255,61.6
Garfield,174,13.8,174,18,111,36.6
Glacier,6593,47.9,6586,69.8,2203,99.9
Golden Valley,192,23.4,192,29.8,144,63.2
Granite,665,19.7,663,23,417,39
Hill,4607,27.9,4599,38.7,1728,68.6
Jefferson,2923,23.9,2912,29.9,1643,60.4
Judith Basin,426,21.2,426,26.4,282,51.2
Lake,9765,32.1,9691,41.5,5091,73.8
Lewis and Clark,19096,27.5,19022,34.8,9372,69.6
Liberty,520,22.3,520,27.9,265,51.4
Lincoln,3662,18.3,3659,22.3,2372,40.2
Madison,1917,22.3,1916,26.3,1281,50.4
McCone,148,8.9,148,11.3,94,20.8
Meagher,567,30.5,567,37.5,302,51.3
Mineral,1223,27.8,1222,34,751,57.8
Missoula,34923,29.2,34793,35.7,13974,72.3
Musselshell,796,17.2,796,21.1,502,39.2
Park,4095,24.7,4088,29.7,2059,52.3
Petroleum,104,21.4,104,25.7,67,53.6
Phillips,955,24.2,947,31.4,532,58.1
Pondera,1651,27.9,1648,36.8,782,64.3
Powder River,183,10.9,183,13.1,124,26.6
Powell,1529,22.2,1529,26,824,56.3
Prairie,276,25.6,276,31.5,172,47.6
Ravalli,10555,24.1,10541,29.6,6328,54.4
Richland,1860,17.2,1859,22.9,945,56.9
Roosevelt,2533,23,2532,34.6,1011,78.2
Rosebud,3831,42.9,3812,59.9,1256,85.3
Sanders,2283,18.8,2277,22.8,1600,40.8
Sheridan,950,28.7,950,36.3,558,72.5
Silver Bow,11486,32.9,11399,40.9,5003,73.5
Stillwater,2269,23.5,2268,29.8,1323,58.3
Sweet Grass,869,23.3,867,29.2,562,54.8
Teton,1211,19.7,1210,26,730,51.2
Toole,976,20.6,976,26,502,54.5
Treasure,207,29.7,207,37.7,142,70.6
Unknown,10180,N/A,10174,N/A,4495,N/A
Valley,1619,21.9,1613,28.2,909,51.8
Wheatland,360,16.9,360,21.5,241,44.5
Wibaux,155,16,155,20.1,103,41.2
Yellowstone,40449,25.1,40316,32.6,18983,67.6
