County Level Vaccination Data for Nevada
Date generated: Thu Apr 15 2021 14:05:08 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Carson City,13543,24.2,13538,30.4,8078,69.8
Churchill,4937,19.8,4936,25.7,2825,59.4
Clark,492196,21.7,491581,28.2,198782,58
Douglas,11823,24.2,11822,28.8,8414,58
Elko,8705,16.5,8701,22.7,3446,55.4
Esmeralda,146,16.7,146,19.5,85,27.2
Eureka,325,16,325,21.2,127,38.3
Humboldt,3607,21.4,3603,29.3,1383,57
Lander,1048,18.9,1048,25.7,401,45.3
Lincoln,1075,20.7,1074,25.8,604,46.1
Lyon,8510,14.8,8510,18.8,5211,42.7
Mineral,1275,28.3,1275,35.2,661,57.7
Nye,9392,20.2,9390,24.2,6452,45.8
Pershing,879,13.1,879,15.6,386,35
Storey,326,7.9,326,9,225,17
Unknown,25630,N/A,25615,N/A,7810,N/A
Washoe,108484,23,108383,29.2,53785,67.8
White Pine,2562,26.7,2561,33.5,1120,63.9
