County Level Vaccination Data for New Hampshire
Date generated: Thu Apr 15 2021 14:05:25 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Belknap,13451,21.9,13433,26.8,7617,54.5
Carroll,14234,29.1,14220,34.3,8736,61.7
Cheshire,19146,25.2,19094,30.5,10043,63.8
Coos,9725,30.8,9713,36.7,5113,66.9
Grafton,26008,28.9,25964,34.4,12349,64.4
Hillsborough,71482,17.1,71311,21.4,32679,48.3
Merrimack,35473,23.4,35401,28.8,16453,58.2
Rockingham,72991,23.6,72812,29,36191,62.9
Strafford,24153,18.5,24099,22.6,10380,51.5
Sullivan,9881,22.9,9856,28.1,5052,53
Unknown,66764,N/A,66639,N/A,29360,N/A
