County Level Vaccination Data for New Mexico
Date generated: Thu Apr 15 2021 14:06:15 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Bernalillo,120364,17.7,120018,22.5,47922,41.7
Catron,550,15.6,550,17.7,358,23.5
Chaves,9782,15.1,9764,20.4,4625,44.3
Cibola,8917,33.4,8671,42.4,2332,52.2
Colfax,2433,20.4,2421,24.7,1042,31.9
Curry,5561,11.4,5560,15.4,1487,23.6
De Baca,359,20.5,359,26.5,215,42.9
Doña Ana,45336,20.8,45192,27.3,17594,49.7
Eddy,7950,13.6,7920,18.4,3034,35.5
Grant,6512,24.1,6494,29.8,3625,47
Guadalupe,324,7.5,322,9.4,125,14.7
Harding,129,20.6,128,23.1,58,23.7
Hidalgo,898,21.4,890,27.4,420,44.5
Lea,7414,10.4,7351,14.7,1700,21.1
Lincoln,4089,20.9,4073,25.5,1873,32.8
Los Alamos,4503,23.2,4499,29.8,1697,48.4
Luna,4858,20.5,4848,27.6,2431,48.3
McKinley,29191,40.9,27640,53.9,6397,69.5
Mora,1039,23,1037,27.7,521,39.9
Otero,13510,20,13307,25.6,5150,44.1
Quay,1306,15.8,1306,20.1,680,32
Rio Arriba,11693,30,11463,38.3,3721,47.6
Roosevelt,1956,10.6,1950,13.9,710,26.2
San Juan,49892,40.2,48253,52.6,13519,69.7
San Miguel,5289,19.4,5263,23.4,2159,35
Sandoval,40931,27.9,40402,35.7,15255,56.3
Santa Fe,35113,23.4,35007,28.2,17757,46.6
Sierra,2620,24.3,2620,28.8,1617,40
Socorro,4255,25.6,4189,32.4,1377,41.3
Taos,8138,24.9,8081,29.9,4161,46.2
Torrance,2245,14.5,2244,18.2,1139,34.3
Union,442,10.9,432,13.1,140,15.8
Unknown,188406,N/A,188057,N/A,63888,N/A
Valencia,14358,18.7,14324,24.4,6235,44.6
