County Level Vaccination Data for New York
Date generated: Thu Apr 15 2021 14:06:32 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Albany,101673,33.3,101258,40.5,38423,72.1
Allegany,8664,18.8,8655,23.5,4350,48
Bronx,272671,19.2,272395,25.5,93053,49.3
Broome,54408,28.6,54239,35.3,24484,66.2
Cattaraugus,18657,24.5,18637,31.3,8842,58.9
Cayuga,21807,28.5,21740,35.2,9505,62.6
Chautauqua,32604,25.7,32581,32.2,15733,59.9
Chemung,23854,28.6,23772,36.1,10049,61.7
Chenango,11569,24.5,11554,30.8,5607,56.9
Clinton,30361,37.7,30214,45.7,11526,81
Columbia,17673,29.7,17648,35.7,8850,61
Cortland,11948,25.1,11918,31,4742,59
Delaware,9957,22.6,9947,26.9,4895,44
Dutchess,76898,26.1,76732,32.1,32356,60.6
Erie,263427,28.7,262619,35.8,109564,64.9
Essex,13670,37.1,13597,43.9,5942,66.4
Franklin,16327,32.6,16253,40.2,6452,73.9
Fulton,12115,22.7,12099,28.4,5734,53.3
Genesee,14108,24.6,14086,30.8,6893,62.4
Greene,11589,24.6,11575,29.3,5596,52.2
Hamilton,2300,52.1,2296,60.2,1278,90.8
Herkimer,16925,27.6,16884,34.6,8201,63
Jefferson,35630,32.4,35523,42.6,11881,76.1
Kings,486985,19,486354,24.6,153152,41.6
Lewis,6286,23.9,6282,31,3058,61.2
Livingston,15192,24.1,15175,29.3,6835,59.2
Madison,19551,27.6,19474,33.9,7495,56
Monroe,222920,30.1,221967,37.7,86775,65.5
Montgomery,13902,28.2,13880,36.6,7014,75.3
Nassau,416656,30.7,415659,39,164610,66.7
New York,501900,30.8,500904,35.9,169309,61.3
Niagara,55836,26.7,55723,33.3,25353,62
Oneida,66860,29.2,66617,37,28342,64.6
Onondaga,152792,33.2,152020,41.8,56532,70
Ontario,34267,31.2,34136,38.8,15401,68.1
Orange,89409,23.2,89225,31.1,31058,56.3
Orleans,8102,20.1,8099,24.9,3891,52.3
Oswego,29657,25.3,29592,31.9,11747,59.7
Otsego,16132,27.1,16065,32,7510,58.1
Putnam,27893,28.4,27850,35.2,11347,64
Queens,545735,24.2,545099,30.2,184758,50.2
Rensselaer,46448,29.3,46263,36.1,18454,66.4
Richmond,119130,25,119004,32,46618,58.8
Rockland,79568,24.4,79364,34,32973,63.7
Saratoga,79049,34.4,78659,42.6,31150,72.1
Schenectady,45470,29.3,45289,37.2,18539,68.8
Schoharie,6933,22.4,6919,27,3434,48.7
Schuyler,5764,32.4,5756,39.7,2687,68.7
Seneca,8903,26.2,8873,32.6,4076,61
St. Lawrence,34821,32.3,34677,40.3,13668,70.6
Steuben,24008,25.2,23941,31.9,10725,55.8
Suffolk,361563,24.5,360989,30.9,156578,61.2
Sullivan,16559,22,16506,27.7,7380,50.6
Tioga,12567,26.1,12528,32.7,5712,56.6
Tompkins,34771,34,34598,39.7,11241,72.9
Ulster,51098,28.8,50983,34.8,21362,59
Unknown,151645,N/A,151518,N/A,45770,N/A
Warren,23224,36.3,23158,44.2,9909,67.5
Washington,15675,25.6,15644,31.4,7297,59.4
Wayne,24261,27,24189,34.2,10290,58.6
Westchester,292924,30.3,291496,38.5,110519,65.6
Wyoming,8303,20.8,8298,25.6,4138,55.7
Yates,6674,26.8,6671,34.3,3526,66.3
