County Level Vaccination Data for North Dakota
Date generated: Thu Apr 15 2021 14:07:34 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,710,32,710,39.7,393,62.2
Barnes,3587,34.4,3580,42.7,1662,68.7
Benson,1353,19.8,1347,30.4,593,60.3
Billings,85,9.2,85,11.6,41,19.4
Bottineau,2053,32.7,2049,41.5,1126,73.1
Bowman,601,19.9,600,26.2,407,60.7
Burke,450,21.3,450,28.3,271,60.4
Burleigh,24356,25.5,24284,33.1,10249,64.6
Cass,57605,31.7,57383,40.7,16908,74.6
Cavalier,1530,40.7,1524,52.4,730,70.8
Dickey,1623,33.3,1615,43.9,799,79.2
Divide,577,25.5,576,33.2,293,51
Dunn,503,11.4,503,15.2,288,40.3
Eddy,808,35.3,803,45.9,398,73.6
Emmons,662,20.4,659,25.3,430,47.2
Foster,1090,34,1086,43.1,501,68.9
Golden Valley,296,16.8,295,21.4,175,38.8
Grand Forks,20324,29.3,20243,37,6700,72.4
Grant,238,10.5,237,13.1,164,23.6
Griggs,759,34,757,43,418,61.8
Hettinger,583,23.3,582,31.1,360,65.3
Kidder,439,17.7,438,22.3,265,42
LaMoure,1205,29.8,1202,37.9,674,60.6
Logan,368,19.9,368,25.7,249,50.6
McHenry,1384,24.1,1382,31.6,795,66.1
McIntosh,640,25.6,640,31.4,413,51.4
McKenzie,1451,9.7,1446,14.1,553,41.7
McLean,2438,25.8,2435,33,1330,58.1
Mercer,1796,21.9,1796,28.6,997,60.7
Morton,6830,21.8,6808,28.2,3295,61.9
Mountrail,2199,20.9,2189,28.7,734,59.9
Nelson,1404,48.8,1401,60.3,707,92.5
Oliver,279,14.2,278,19,184,41.4
Pembina,2103,30.9,2099,38.8,1139,70.2
Pierce,1192,30,1190,38.8,621,65.7
Ramsey,4181,36.3,4163,47.1,1745,74.6
Ransom,1904,36.5,1899,46.9,949,85.7
Renville,491,21.1,491,27.2,296,61.3
Richland,4809,29.7,4793,37.9,2126,70.4
Rolette,5786,40.8,5573,59.3,1329,76.8
Sargent,1312,33.7,1307,42.8,680,77
Sheridan,329,25,329,30.5,207,46.2
Sioux,683,16.1,683,25.1,202,56.3
Slope,49,6.5,49,8.2,34,19.1
Stark,5685,18.1,5653,24.6,2513,57.5
Steele,596,31.5,593,40.2,285,59.9
Stutsman,6527,31.5,6452,39,2703,65.5
Towner,723,33,717,41.8,337,60.9
Traill,2389,29.7,2386,38.5,1059,65.9
Unknown,9024,N/A,9009,N/A,2598,N/A
Walsh,3083,29,3076,37.5,1525,66.5
Ward,15963,23.6,15916,30.9,5950,66.7
Wells,1024,26.7,1024,33.6,586,53.2
Williams,4649,12.4,4644,17.5,1965,56.9
