County Level Vaccination Data for Oregon
Date generated: Thu Apr 15 2021 14:08:43 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Baker,7203,44.7,7173,55.5,4306,99.9
Benton,26209,28.2,26096,33.4,12153,77.7
Clackamas,91787,21.9,91435,27.8,44624,56.9
Clatsop,8387,20.9,8382,25.6,4491,47.6
Columbia,10692,20.4,10679,25.7,6099,60.7
Coos,12367,19.2,12357,23.4,7030,41.1
Crook,5070,20.8,5068,25.9,3475,56.6
Curry,4606,20.1,4602,23.4,3121,38.9
Deschutes,51435,26,51318,32.4,28823,71.2
Douglas,24865,22.4,24838,27.7,15309,52.4
Gilliam,418,21.9,417,27,248,47
Grant,1267,17.6,1266,21.3,797,35.3
Harney,1767,23.9,1765,29.9,987,53.5
Hood River,8223,35.2,8200,45.9,2688,70.6
Jackson,43059,19.5,42955,24.4,23608,47.4
Jefferson,6315,25.6,6313,33.4,2844,58.2
Josephine,17394,19.9,17363,24.7,11063,48
Klamath,15781,23.1,15759,29.4,8725,59
Lake,1703,21.6,1703,26.8,987,49.3
Lane,88809,23.2,88606,28.3,48194,63.3
Lincoln,14050,28.1,14024,33.6,8354,57
Linn,26310,20.3,26265,26,14063,56.8
Malheur,6133,20.1,6126,27,3047,59.3
Marion,74730,21.5,74504,28.3,35025,62.2
Morrow,2468,21.3,2464,29.3,1103,56.7
Multnomah,206171,25.4,205490,31,79576,70.5
Polk,21317,24.8,21261,31.8,10355,65
Sherman,477,26.8,476,33,251,55.4
Tillamook,5890,21.8,5882,26.8,3594,50.3
Umatilla,16838,21.6,16683,28.6,7323,58.5
Union,5656,21.1,5647,26.9,3109,53.9
Unknown,22055,N/A,22035,N/A,7632,N/A
Wallowa,2365,32.8,2363,40.4,1435,67
Wasco,6850,25.7,6837,32.9,3295,58.8
Washington,125795,20.9,125278,26.9,51900,62.3
Wheeler,483,36.3,483,42.1,306,63.2
Yamhill,23084,21.6,23031,27.5,10363,54.3
