County Level Vaccination Data for Puerto Rico
Date generated: Thu Apr 15 2021 14:09:32 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adjuntas,2973,17.1,2972,20.9,1551,52.5
Aguada,4971,13.5,4968,16.5,2216,35.5
Aguadilla,8872,17.7,8866,21.5,4019,47
Aguas Buenas,4506,18.2,4504,22.1,1910,45.3
Aibonito,5231,23.7,5226,28.8,2907,77.4
Arecibo,16894,20.6,16883,25.1,6999,50.2
Arroyo,2296,13.3,2296,16.2,1207,41.2
Añasco,3563,13.6,3562,16.6,1674,37.6
Barceloneta,4036,17,4036,20.7,1702,42.2
Barranquitas,5241,18.9,5240,23,2244,47.6
Bayamón,35309,20.9,35301,25.4,16125,56
Cabo Rojo,7499,15.8,7490,19.2,3564,44.1
Caguas,23100,18.5,23092,22.6,10929,51.6
Camuy,4534,14.9,4532,18.1,1619,31.2
Canóvanas,7073,15.8,7067,19.3,2837,37.4
Carolina,25636,17.4,25623,21.2,10616,42.5
Cataño,3436,14.9,3436,18.1,1665,42.4
Cayey,7888,18.6,7881,22.6,3961,54.9
Ceiba,1702,15.6,1702,19,954,51.5
Ciales,2994,18.9,2994,23.1,1342,49.9
Cidra,5799,15.1,5796,18.4,2502,38.4
Coamo,6556,17.1,6554,20.8,3795,58.2
Comerío,2070,11.1,2070,13.5,643,20.3
Corozal,4574,14.2,4572,17.3,2000,36.4
Culebra,55,3.2,55,3.9,26,8.9
Dorado,5750,15.9,5746,19.4,2234,36.4
Fajardo,5433,18.4,5433,22.5,2869,57.3
Florida,2347,20.7,2346,25.3,1180,61.3
Guayama,5158,13.1,5155,15.9,2586,38.5
Guayanilla,3047,17.3,3046,21.1,1567,52.3
Guaynabo,19451,23.2,19439,28.3,8443,59.3
Gurabo,6512,13.8,6512,16.8,2665,33.3
Guánica,2068,13.4,2068,16.4,1086,41.5
Hatillo,6707,17.1,6703,20.8,3011,45.2
Hormigueros,2940,18.9,2938,23.1,1597,60.5
Humacao,8467,16.7,8464,20.4,4483,52.1
Isabela,5627,13.9,5625,17,2756,40.1
Jayuya,1888,13.6,1888,16.6,1059,44.9
Juana Díaz,6830,15.3,6830,18.6,2972,39.1
Juncos,5092,13.3,5091,16.3,2327,35.9
Lajas,4150,18.9,4150,23,2126,56.8
Lares,5672,23.4,5669,28.5,2643,64
Las Marías,1763,22.2,1763,27.1,1085,80.5
Las Piedras,5049,13.6,5049,16.6,2429,38.6
Loíza,2479,10.1,2477,12.3,724,17.3
Luquillo,2255,12.8,2255,15.6,1190,39.6
Manatí,6888,18.5,6885,22.5,3240,51.1
Maricao,571,10.5,571,12.8,228,24.7
Maunabo,1125,10.9,1125,13.3,594,33.8
Mayagüez,14422,20.2,14417,24.6,7704,63.4
Moca,6662,19.1,6659,23.3,3014,50.8
Morovis,4504,14.8,4504,18.1,1779,34.5
Naguabo,2905,11.3,2905,13.7,1496,34.2
Naranjito,4054,14.8,4053,18.1,1607,34.6
Orocovis,3167,15.7,3167,19.1,1281,37.3
Patillas,1678,10.4,1678,12.6,744,27
Peñuelas,2539,13.2,2539,16.1,1121,34.3
Ponce,28796,21.8,28783,26.6,14030,62.6
Quebradillas,4178,18.2,4178,22.2,1995,51.2
Rincón,1958,14.3,1958,17.5,1090,46.9
Río Grande,6360,13.2,6359,16.1,2888,35.4
Sabana Grande,4137,19.1,4137,23.2,2321,62.9
Salinas,4866,17.9,4866,21.9,2650,57.5
San Germán,4600,15.2,4599,18.5,2338,45.5
San Juan,58262,18.3,58224,22.3,25799,47.7
San Lorenzo,4800,13.3,4795,16.2,2230,36.4
San Sebastián,10053,28.3,10048,34.5,5255,87
Santa Isabel,2693,12.7,2690,15.5,1019,28.3
Toa Alta,10319,14.3,10315,17.5,3927,32.1
Toa Baja,11348,15.3,11341,18.6,5343,42.3
Trujillo Alto,9874,15.5,9869,18.9,4338,40.1
Unknown,24412,N/A,24403,N/A,14534,N/A
Utuado,4332,15.8,4331,19.3,2111,45.3
Vega Alta,5032,14,5027,17,2536,41.4
Vega Baja,8742,17.5,8736,21.3,3871,45.5
Vieques,3123,37.2,3123,45.4,1095,76.8
Villalba,6144,28.7,6143,35,2994,82.4
Yabucoa,3177,9.8,3177,12,1483,27
Yauco,5731,17.1,5730,20.8,2898,50.8
