County Level Vaccination Data for South Carolina
Date generated: Thu Apr 15 2021 14:10:24 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Abbeville,4916,20,4909,25,2936,53.5
Aiken,33026,19.3,32971,24.5,18066,53.1
Allendale,1325,15.3,1324,18.8,812,44.7
Anderson,36512,18,36461,23.3,20430,55
Bamberg,2668,19,2668,23.4,1567,49.7
Barnwell,3915,18.8,3911,24.6,2087,52.9
Beaufort,54739,28.5,54648,34.8,36719,68.2
Berkeley,33547,14.7,33499,19.3,17364,53.8
Calhoun,2331,16,2328,19.7,1315,37.8
Charleston,109746,26.7,109545,33.1,49512,70.9
Cherokee,7026,12.3,7018,15.9,4195,42.8
Chester,5568,17.3,5566,22.2,3189,51.6
Chesterfield,7382,16.2,7372,20.7,4065,46.8
Clarendon,7523,22.3,7512,27.4,4238,51.9
Colleton,5997,15.9,5992,20.5,3787,48.5
Darlington,13885,20.8,13868,26.7,7815,60.2
Dillon,5587,18.3,5578,24.5,2961,56.6
Dorchester,27547,16.9,27499,22.3,14373,60.8
Edgefield,6891,25.3,6886,30.7,3298,62.2
Fairfield,4595,20.6,4590,25.3,2859,57
Florence,31539,22.8,31486,29.8,15534,64.6
Georgetown,17170,27.4,17149,33.3,10838,60.4
Greenville,102659,19.6,102404,25.4,53697,63.5
Greenwood,16847,23.8,16828,30.7,9414,70.5
Hampton,4403,22.9,4399,29,2426,67.2
Horry,89647,25.3,89560,30.7,57194,64.4
Jasper,3481,11.6,3478,14.4,2036,33.6
Kershaw,11786,17.7,11770,23,6288,50.6
Lancaster,15697,16,15677,20.4,9300,44.3
Laurens,11500,17,11486,21.8,6889,54.3
Lee,2821,16.8,2820,20.9,1704,51.5
Lexington,59043,19.8,58912,25.6,29770,61.4
Marion,6275,20.5,6271,26.4,3463,54.5
Marlboro,4821,18.5,4818,23,2456,50.5
McCormick,3386,35.8,3386,40.4,2523,74.8
Newberry,8646,22.5,8628,28.5,4938,63.3
Oconee,17608,22.1,17592,27.6,11512,61.4
Orangeburg,18268,21.2,18249,27.1,9997,56.9
Pickens,24457,19.3,24416,23.6,13832,65.1
Richland,85438,20.5,85195,26.1,36972,67.4
Saluda,2721,13.3,2720,16.9,1395,33.6
Spartanburg,49564,15.5,49477,20.1,27317,52
Sumter,21158,19.8,21127,26,10364,57.6
Union,3968,14.5,3964,18.4,2767,49.1
Unknown,74160,N/A,74073,N/A,35666,N/A
Williamsburg,7760,25.6,7756,32.1,3859,58.4
York,41143,14.6,41045,19.2,18565,44.8
