County Level Vaccination Data for South Dakota
Date generated: Thu Apr 15 2021 14:10:49 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aurora,510,18.5,510,24.6,320,56.2
Beadle,3371,18.3,3371,25,1678,51.2
Bennett,786,23.4,771,34.6,304,68
Bon Homme,2041,29.6,2039,36.7,947,66
Brookings,5629,16,5622,20.2,2535,57.9
Brown,10228,26.3,10212,34.5,5047,72.5
Brule,1086,20.5,1086,27.6,432,41.4
Buffalo,482,24.6,482,40.1,111,75
Butte,1434,13.8,1433,18.3,937,43.7
Campbell,247,18,247,21.5,166,41.2
Charles Mix,2170,23.4,2167,33.2,1049,60.7
Clark,901,24.1,901,33,539,66.1
Clay,4360,31,4352,37.5,1658,93.6
Codington,4501,16.1,4494,21,2674,52.1
Corson,664,16.3,663,25.6,247,50.4
Custer,1805,20.1,1804,23.6,1212,42.7
Davison,3267,16.5,3264,21.4,2019,53.4
Day,1405,25.9,1404,33.3,812,57.1
Deuel,719,16.5,719,21.5,445,46.4
Dewey,1576,26.7,1558,42.6,452,77.1
Douglas,517,17.7,514,23.8,349,49.7
Edmunds,565,14.8,564,19.1,376,44.6
Fall River,1798,26.8,1797,32.2,1155,57.5
Faulk,586,25.5,585,34.3,362,66.7
Grant,1476,20.9,1470,26.9,895,59.3
Gregory,934,22.3,934,29.3,623,57.8
Haakon,277,14.6,277,19,198,41.2
Hamlin,853,13.8,853,20.5,534,56
Hand,708,22.2,708,28.3,427,52
Hanson,470,13.6,468,19.4,316,59
Harding,98,7.6,98,9.9,79,33.5
Hughes,3781,21.6,3778,28.4,1774,56.2
Hutchinson,1443,19.8,1440,26.5,969,58
Hyde,326,25.1,326,31.9,185,56.7
Jackson,640,19.1,617,28.3,232,51.4
Jerauld,492,24.4,492,32,301,54.9
Jones,229,25.4,228,32.2,150,69.8
Kingsbury,1684,34.1,1683,44.5,1008,86.9
Lake,2542,19.9,2541,24.9,1213,40
Lawrence,5001,19.4,4992,23.4,2966,50.1
Lincoln,11079,18.1,11049,25,3819,46.7
Lyman,1106,29.3,1106,41.4,425,69.4
Marshall,1188,24.1,1188,31.7,701,67
McCook,1234,22.1,1230,30.5,630,59.6
McPherson,100,4.2,99,5.5,69,10.2
Meade,6760,23.9,6723,30.6,2424,53.5
Mellette,400,19.4,393,27.5,154,50.5
Miner,705,31.8,705,41.9,379,81.5
Minnehaha,50907,26.4,50778,35.2,19430,74.6
Moody,1590,24.2,1588,32.9,764,60.6
Oglala Lakota County,3870,27.3,3708,41.4,654,62.1
Pennington,23409,20.6,23354,26.6,10219,48.5
Perkins,423,14.8,423,18.6,289,38
Potter,442,20.5,442,26,357,56.8
Roberts,2947,28.4,2946,40.1,1199,58.4
Sanborn,435,18.6,435,24.7,264,55.7
Spink,1130,17.7,1129,23,727,53.8
Stanley,915,29.5,914,39.5,483,76.5
Sully,170,12.2,170,15.5,110,30.3
Todd,2521,24.8,2457,41.4,519,68
Tripp,953,17.5,952,22.9,549,44.3
Turner,1526,18.2,1522,24,839,46.8
Union,3808,23.9,3803,31.5,1735,58.6
Unknown,63320,N/A,63249,N/A,29851,N/A
Walworth,986,18.1,985,23.6,580,43.9
Yankton,6996,30.7,6980,38.8,3463,77.9
Ziebach,260,9.4,256,12.8,89,33.7
