County Level Vaccination Data for Vermont
Date generated: Thu Apr 15 2021 14:12:37 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Addison,8841,24,8817,28.7,4823,63.5
Bennington,5878,16.6,5873,20.3,3372,40.7
Caledonia,4098,13.7,4098,16.9,2200,33.3
Chittenden,44140,27,44042,32.6,18450,72.4
Essex,843,13.7,843,16.5,542,33.1
Franklin,6068,12.3,6059,15.7,3063,37.1
Grand Isle,2215,30.6,2214,37.3,1287,82.7
Lamoille,5093,20.1,5080,25.1,2719,59.9
Orange,5771,20,5760,24.3,2878,45.2
Orleans,5637,20.8,5633,25.8,3464,55.1
Rutland,16797,28.9,16768,35,9271,70.1
Unknown,44995,N/A,44900,N/A,23568,N/A
Washington,10351,17.7,10336,21.7,5190,44.1
Windham,9143,21.7,9126,26.2,5148,51
Windsor,11640,21.1,11628,25.7,5873,44
