County Level Vaccination Data for Virginia
Date generated: Thu Apr 15 2021 14:13:08 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Accomack,9488,29.4,9466,36.9,5294,66.7
Albemarle,10760,9.8,10719,12.2,4751,22.5
Alexandria,18441,11.6,18407,14.1,5845,30.1
Alleghany,249,1.7,249,2.1,137,3.6
Amelia,166,1.3,166,1.6,125,4.7
Amherst,4417,14,4412,17.3,2200,32.2
Appomattox,185,1.2,184,1.5,94,2.8
Arlington,33419,14.1,33362,17.2,7234,27.5
Augusta,9705,12.8,9685,15.7,4822,29.2
Bath,377,9.1,377,10.7,224,19.3
Bedford,7578,9.6,7572,11.9,4374,25.3
Bland,239,3.8,239,4.5,131,8.8
Botetourt,3420,10.2,3409,12.6,1760,22.6
Bristol,4565,27.2,4559,34,2507,69.2
Brunswick,2578,15.9,2573,19,1331,37.7
Buchanan,3770,17.9,3767,21.7,1629,33.6
Buckingham,766,4.5,766,5.4,408,11.8
Buena Vista,N/A,N/A,N/A,N/A,N/A,N/A
Campbell,4455,8.1,4453,10.1,2187,19.6
Caroline,1573,5.1,1572,6.6,795,15.3
Carroll,1245,4.2,1245,5.1,748,9.9
Charles City,135,1.9,135,2.3,69,3.9
Charlotte,613,5.2,612,6.5,360,13.4
Charlottesville,599,1.3,599,1.5,244,4.2
Chesapeake,10810,4.4,10779,5.8,3920,11.7
Chesterfield,45286,12.8,45104,16.7,19080,35.1
Clarke,3072,21,3069,26.1,1602,50.2
Colonial Heights,86,0.5,86,0.6,16,0.5
Covington,N/A,N/A,N/A,N/A,N/A,N/A
Craig,59,1.1,59,1.4,44,3.6
Culpeper,2587,4.9,2584,6.5,1070,12.7
Cumberland,311,3.1,311,3.9,177,7.7
Danville,N/A,N/A,N/A,N/A,N/A,N/A
Dickenson,2535,17.7,2529,22,1358,41.3
Dinwiddie,3176,11.1,3174,13.9,1330,26
Emporia,N/A,N/A,N/A,N/A,N/A,N/A
Essex,688,6.3,687,7.7,413,15.9
Fairfax,216685,18.9,215811,24.5,80921,50.4
Fairfax,530,2.2,527,2.9,196,5.6
Falls Church,365,2.5,365,3.3,88,4.3
Fauquier,10619,14.9,10575,19.3,4322,35.8
Floyd,407,2.6,407,3.2,207,5.6
Fluvanna,5172,19,5160,23.6,2608,46.6
Franklin,6702,12,6692,14.7,3770,27.8
Franklin,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,7076,7.9,7063,10.2,3534,22.2
Fredericksburg,575,2,573,2.5,185,5.3
Galax,N/A,N/A,N/A,N/A,N/A,N/A
Giles,1659,9.9,1656,12.4,800,21.4
Gloucester,8485,22.7,8478,28.4,4542,62
Goochland,4678,19.7,4667,23.7,2434,44.8
Grayson,1947,12.5,1946,15,914,23.2
Greene,174,0.9,174,1.2,97,2.7
Greensville,285,2.5,285,3,145,8.4
Halifax,3217,9.5,3215,11.9,1782,21.2
Hampton,21252,15.8,21223,20,8569,40.5
Hanover,14268,13.2,14212,16.8,6047,30.6
Harrisonburg,490,0.9,490,1.1,77,1.5
Henrico,30450,9.2,30309,11.8,13191,25
Henry,3825,7.6,3819,9.3,1996,16.1
Highland,766,35,764,40.3,487,62.6
Hopewell,N/A,N/A,N/A,N/A,N/A,N/A
Isle of Wight,2788,7.5,2784,9.5,1291,17.5
James City,2580,3.4,2574,4.2,1323,6.7
King George,1124,4.2,1121,5.5,334,9.3
King William,2223,13,2220,16.8,1071,38.2
King and Queen,844,12,843,14.5,459,27.7
Lancaster,2274,21.4,2272,25.3,1584,40.7
Lee,4885,20.9,4873,25.5,2337,44.8
Lexington,N/A,N/A,N/A,N/A,N/A,N/A
Loudoun,61194,14.8,60837,20.4,19223,47.9
Louisa,557,1.5,557,1.9,317,4.2
Lunenburg,2310,18.9,2307,23.3,1152,41.6
Lynchburg,172,0.2,172,0.3,45,0.4
Madison,2998,22.6,2991,28.2,1486,48.9
Manassas,410,1,407,1.4,128,2.9
Manassas Park,63,0.4,62,0.5,14,0.9
Martinsville,N/A,N/A,N/A,N/A,N/A,N/A
