County Level Vaccination Data for Washington
Date generated: Thu Apr 15 2021 14:13:29 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,4166,20.8,4164,32.5,1619,71.5
Asotin,4526,20,4524,25.1,3136,58
Benton,44371,21.7,44290,29.5,21130,67.2
Chelan,25614,33.2,25536,43.1,11402,75.2
Clallam,28705,37.1,28683,44.5,17170,72.9
Clark,108756,22.3,108533,29.1,56652,72.7
Columbia,907,22.8,907,27.7,561,49.5
Cowlitz,26775,24.2,26747,31.3,14635,68.5
Douglas,11765,27.1,11740,36.4,4951,62.8
Ferry,1959,25.7,1959,30.7,1080,50.1
Franklin,15235,16,15213,23.5,5777,62.8
Garfield,357,16,356,20.3,226,40.1
Grant,19406,19.9,19353,28,9049,65.9
Grays Harbor,20189,26.9,20166,33.7,10888,65
Island,23756,27.9,23728,34,14179,66
Jefferson,13027,40.4,13022,45.8,9877,80.8
King,580494,25.8,578791,32.1,222968,73.3
Kitsap,71285,26.3,71161,32.9,36638,73.5
Kittitas,11083,23.1,11070,27.8,5956,74.2
Klickitat,5461,24.4,5450,30,3480,63.3
Lewis,15596,19.3,15583,24.5,9015,52.4
Lincoln,2659,24.3,2655,31,1656,58.5
Mason,16806,25.2,16789,31.2,10142,65.2
Okanogan,14582,34.5,14562,44.9,6672,71.7
Pacific,5970,26.6,5946,31.2,4412,61
Pend Oreille,2408,17.5,2405,21.7,1591,43.1
Pierce,195000,21.5,194729,28,86397,67.3
San Juan,5883,33.5,5880,38.3,4099,66.3
Skagit,36095,27.9,36037,35.5,20148,72.5
Skamania,2062,17.1,2060,20.9,1206,45.1
Snohomish,182346,22.2,181952,28.5,77463,67.5
Spokane,119713,22.9,119537,29.3,57870,66.8
Stevens,6836,15,6826,18.9,4200,38.5
Thurston,70883,24.4,70778,30.9,34895,67.3
Unknown,83421,N/A,83149,N/A,28439,N/A
Wahkiakum,1230,27.4,1229,33,790,53.3
Walla Walla,18781,30.9,18705,38.8,8034,70.7
Whatcom,64062,27.9,63796,34.4,30774,74.7
Whitman,8494,17,8476,19.9,3793,70.6
Yakima,60332,24,60018,33.9,24953,70.9
