County Level Vaccination Data for West Virginia
Date generated: Thu Apr 15 2021 14:13:50 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Barbour,253,1.5,253,1.9,174,5.1
Berkeley,18545,15.6,18512,20.2,8473,47.2
Boone,3863,18,3858,22.7,2123,47.3
Braxton,1010,7.2,1010,9,622,18.8
Brooke,2618,11.9,2614,14.4,1480,27.4
Cabell,10151,11,10125,13.7,4484,25.1
Calhoun,537,7.6,537,9.2,298,16.3
Clay,1112,13.1,1112,16.8,629,34.9
Doddridge,131,1.6,131,1.8,80,4.3
Fayette,6742,15.9,6713,19.9,3356,36.4
Gilmer,2052,26.2,2052,30.6,680,49.1
Grant,955,8.3,951,10.2,546,18.8
Greenbrier,7160,20.7,7139,25.6,3693,45.4
Hampshire,2671,11.5,2668,14.1,1504,27.7
Hancock,3322,11.5,3316,14.2,1845,27
Hardy,1775,12.9,1772,16.2,969,31.3
Harrison,9128,13.6,9094,17.2,4534,34.1
Jackson,2145,7.5,2142,9.5,1359,22.8
Jefferson,7179,12.6,7169,16.1,3695,38.6
Kanawha,32517,18.3,32407,22.7,15267,40.5
Lewis,2992,18.8,2984,23.7,1506,44.8
Lincoln,1776,8.7,1776,11.2,949,23.3
Logan,6102,19.1,6082,23.9,2871,42.6
Marion,1984,3.5,1982,4.4,1220,11
Marshall,1672,5.5,1668,6.8,900,12.8
Mason,3637,13.7,3636,17.3,2050,35.7
McDowell,2135,12.1,2121,15.1,1005,25
Mercer,12696,21.6,12663,27.2,6002,45.6
Mineral,5122,19.1,5121,23.8,2996,50.3
Mingo,3509,15,3504,19.3,1722,37.2
Monongalia,8598,8.1,8587,9.7,3048,21.8
Monroe,2507,18.9,2500,23.4,1298,38.4
Morgan,176,1,176,1.2,132,3.1
Nicholas,5038,20.6,5022,25.8,2599,46.3
Ohio,1403,3.4,1402,4.2,666,7.2
Pendleton,1644,23.6,1644,28.8,987,50.3
Pleasants,301,4,301,5,212,14.5
Pocahontas,1370,16.6,1370,20.1,809,37.5
Preston,7011,21,7002,25.9,3210,46
Putnam,4141,7.3,4134,9.4,2097,19.7
Raleigh,9634,13.1,9611,16.5,4705,30.3
Randolph,5425,18.9,5405,23.2,2853,44.7
Ritchie,1250,13.1,1250,16.3,751,34.2
Roane,214,1.6,214,2,139,4.5
Summers,1005,8,996,9.4,556,16.9
Taylor,278,1.7,278,2.1,181,5.2
Tucker,1490,21.8,1477,25.3,743,40.5
Tyler,935,10.9,933,13.5,524,26
Unknown,208783,N/A,208248,N/A,99191,N/A
Upshur,752,3.1,751,3.9,523,10.3
Wayne,7248,18.4,7243,23,3709,43.3
Webster,1678,20.7,1670,25.6,917,47
Wetzel,709,4.7,707,5.8,441,12.6
Wirt,28,0.5,28,0.6,25,2.1
Wood,14838,17.8,14827,22.4,8979,51.4
Wyoming,5585,27.4,5547,34.2,2635,58.7
