County Level Vaccination Data for Wisconsin
Date generated: Thu Apr 15 2021 14:14:06 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,5334,26.4,5333,30.7,3565,58.5
Ashland,5345,34.3,5343,44,2646,84
Barron,11822,26.1,11808,33.2,6866,67.2
Bayfield,7017,46.7,7006,56.4,3663,86.3
Brown,72337,27.3,72166,35.7,31827,78
Buffalo,3371,25.9,3364,32.5,1996,67.3
Burnett,4362,28.3,4358,34.2,2888,63.8
Calumet,11924,23.8,11902,31,5810,73.9
Chippewa,17481,27,17453,34.5,9168,76.9
Clark,5712,16.4,5706,23.3,3388,57.2
Columbia,16211,28.2,16171,35.6,8768,82.9
Crawford,4793,29.7,4788,37.1,2854,73.8
Dane,184525,33.8,183859,42.1,68896,88.6
Dodge,19163,21.8,19141,27.1,10896,68.1
Door,10134,36.6,10125,43.7,6482,76.8
Douglas,8103,18.8,8087,23.3,4197,50.6
Dunn,9305,20.5,9290,25.4,4950,67.8
Eau Claire,30283,28.9,30200,36.1,13158,77.6
Florence,1279,29.8,1278,34.7,761,65.5
Fond du Lac,26462,25.6,26428,32.4,14066,71.6
Forest,2883,32,2880,39.8,1568,75.5
Grant,13438,26.1,13419,32.9,7815,86.1
Green,11322,30.6,11294,39.2,5626,79
Green Lake,5222,27.6,5214,35.3,3164,73.3
Iowa,7368,31.1,7357,40,3902,84.6
Iron,1959,34.4,1959,40.6,1297,71.1
Jackson,5030,24.4,5025,31.1,2573,64.7
Jefferson,20860,24.6,20834,31,10539,70.4
Juneau,6911,25.9,6899,32.3,4031,72.4
Kenosha,42924,25.3,42809,32.5,18012,72.9
Kewaunee,5149,25.2,5143,32.1,2837,66.3
La Crosse,34548,29.3,34475,36.3,16442,82.5
Lafayette,4953,29.7,4947,39,2585,80.1
Langlade,4956,25.8,4947,32,3119,65.8
Lincoln,6661,24.1,6656,29.5,4423,72.3
Manitowoc,21071,26.7,21023,33.5,12265,73.5
Marathon,27519,20.3,27460,26.2,15338,62.1
Marinette,9484,23.5,9480,29,6417,64.9
Marquette,4352,27.9,4346,34.6,2714,69.5
Menominee,1668,36.6,1668,54.9,550,86.3
Milwaukee,213986,22.6,213410,29.6,89308,67.5
Monroe,11512,24.9,11482,33.2,6073,75
Oconto,9746,25.7,9728,32.1,5601,70.8
Oneida,11685,32.8,11675,39.5,7450,78.4
Outagamie,47256,25.2,47155,32.7,21952,76.6
Ozaukee,26724,30,26635,37.9,13960,76.9
Pepin,1928,26.5,1927,33.4,1189,69.4
Pierce,7757,18.1,7742,22.8,4623,70.9
Polk,9625,22,9610,27.6,6312,67.6
Portage,16079,22.7,16034,28,8711,71
Price,3606,27,3600,32.9,2401,68
Racine,45851,23.4,45761,30.2,23378,69.5
Richland,4910,28.5,4890,36.2,3009,74
Rock,43257,26.5,43213,34.3,23676,84.9
Rusk,2747,19.4,2743,24.3,1850,52.6
Sauk,17826,27.7,17785,35.7,9963,81.1
Sawyer,5140,31,5118,38.2,3066,69.4
Shawano,10641,26,10631,33,5539,62.8
Sheboygan,28037,24.3,27978,31,15314,71.6
St. Croix,15292,16.9,15256,22.3,8650,64.9
Taylor,3234,15.9,3232,20.7,2035,51.1
Trempealeau,8963,30.2,8951,40.3,4931,90.2
Unknown,43409,N/A,43336,N/A,13768,N/A
Vernon,8103,26.3,8087,35.5,4514,73.4
Vilas,7233,32.6,7229,39.2,4771,69.3
Walworth,22357,21.5,22333,27,12582,66
Washburn,5035,32,5024,39.4,3291,76.5
Washington,31428,23.1,31376,29.4,17875,71.1
Waukesha,117747,29.1,117394,36.9,59113,76.2
Waupaca,12389,24.3,12377,30.4,7515,69.2
Waushara,5576,22.8,5569,27.9,3520,57.5
Winnebago,44295,25.8,44201,32.3,21803,75.4
Wood,19118,26.2,19050,33.3,10915,70.8
