County Level Vaccination Data for Alabama
Date generated: Tue Apr 20 2021 12:34:21 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Autauga,7538,13.5,7527,17.5,3498,39.2
Baldwin,42297,18.9,42256,24.1,24496,52.3
Barbour,3403,13.8,3402,17.4,2174,44.7
Bibb,2742,12.2,2739,15.4,1485,39.8
Blount,5947,10.3,5944,13.3,3434,31.8
Bullock,1862,18.4,1862,23.3,905,52.9
Butler,2797,14.4,2797,18.4,1632,40.3
Calhoun,20557,18.1,20543,23,10792,52.5
Chambers,4258,12.8,4253,16.1,2329,34.7
Cherokee,3997,15.3,3997,18.8,2367,38.4
Chilton,4584,10.3,4583,13.5,2695,35.5
Choctaw,2979,23.7,2979,29.5,1728,58.2
Clarke,4936,20.9,4933,26.5,2733,56.4
Clay,2201,16.6,2200,20.8,1092,39.2
Cleburne,2059,13.8,2059,17.8,1242,41.3
Coffee,8123,15.5,8106,20.3,4548,50.4
Colbert,10994,19.9,10987,25.1,5752,52
Conecuh,2305,19.1,2304,24,1287,45.4
Coosa,1982,18.6,1982,22.2,1119,43.6
Covington,5473,14.8,5466,18.9,3205,40.5
Crenshaw,1912,13.9,1912,18,1099,41.1
Cullman,14468,17.3,14461,22.3,8192,52.1
Dale,10814,22,10800,28.4,4596,54.1
Dallas,6284,16.9,6279,22,3210,45.7
DeKalb,8170,11.4,8165,15,4456,35.4
Elmore,12064,14.9,12052,19.1,6142,48.5
Escambia,5103,13.9,5101,18,3235,48.3
Etowah,15307,15,15303,19,8515,43
Fayette,2543,15.6,2542,19.8,1543,43.5
Franklin,5819,18.6,5818,24.7,3039,56.6
Geneva,4630,17.6,4627,22.6,2740,50.6
Greene,1651,20.4,1648,26,891,47.1
Hale,3833,26.2,3828,33.9,1707,59.2
Henry,3597,20.9,3588,26.2,2034,50.5
Houston,20597,19.5,20571,25.2,10302,53.7
Jackson,9644,18.7,9639,23.5,5857,55.3
Jefferson,144327,21.9,144139,28.3,63699,59.3
Lamar,2928,21.2,2928,27,1722,56.3
Lauderdale,18845,20.3,18837,25.2,10013,52.7
Lawrence,6437,19.6,6433,24.9,3590,57.1
Lee,31103,18.9,30988,23.9,10040,49.2
Limestone,14670,14.8,14660,19.1,7620,50.5
Lowndes,1442,14.8,1441,19,769,40
Macon,3599,19.9,3596,24,1825,48.2
Madison,80310,21.5,80207,27.4,36521,63.9
Marengo,4393,23.3,4391,30,2253,60.1
Marion,4494,15.1,4494,19.1,2734,42.8
Marshall,14964,15.5,14952,20.6,8409,50.2
Mobile,79984,19.4,79843,25.2,36497,53.1
Monroe,3524,17,3523,21.5,1969,44.9
Montgomery,41056,18.1,41000,23.6,16125,45.7
Morgan,21868,18.3,21858,23.7,11878,55.7
Perry,1973,22.1,1965,27.8,895,49.9
Pickens,3530,17.7,3529,22,1748,45
Pike,5727,17.3,5724,21.3,2879,57.2
Randolph,3488,15.4,3488,19.5,2062,43.5
Russell,7597,13.1,7591,17.3,3995,46.5
Shelby,25147,11.6,25113,15,11236,32.4
St. Clair,11793,13.2,11789,17,6523,43.2
Sumter,2645,21.3,2641,26.2,1231,52.9
Talladega,10670,13.3,10667,16.9,5856,39.7
Tallapoosa,7275,18,7271,22.6,4253,47.3
Tuscaloosa,33255,15.9,33223,20.1,14355,49.9
Unknown,73340,N/A,73253,N/A,25634,N/A
Walker,11193,17.6,11190,22.7,6374,51.4
Washington,2878,17.6,2877,22.6,1645,51.1
Wilcox,2417,23.3,2417,30.4,1179,56
Winston,1991,8.4,1991,10.6,1261,24.4
