County Level Vaccination Data for Alaska
Date generated: Tue Apr 20 2021 12:35:05 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aleutians East,905,27.1,887,28.8,131,37.3
Aleutians West,1349,23.9,1339,26.8,207,49.4
Anchorage,98862,34.3,97212,44.4,25754,76.3
Bethel,7307,39.7,7091,59.8,1075,74.2
Bristol Bay,410,49,406,59.1,113,83.1
Denali,683,32.6,677,39.9,163,68.5
Dillingham,1528,31.1,1504,44.6,313,63.4
Fairbanks North Star,25153,26,24717,33.5,6928,64
Haines,1281,50.6,1279,61.7,406,74.1
Hoonah-Angoon,1087,50.6,1064,60.3,369,71.5
Juneau,13548,42.4,13391,53.1,3834,85.9
Kenai Peninsula,16837,28.7,16663,36.6,6830,63.4
Ketchikan Gateway,4773,34.3,4752,43.7,1682,73.4
Kodiak Island,4974,38.3,4896,50.2,1204,81.6
Kusilvak Census Area,N/A,N/A,N/A,N/A,N/A,N/A
Lake and Peninsula,578,36.3,576,50.7,114,62.3
Matanuska-Susitna,21708,20,21392,26.8,7524,54.7
Nome,4722,47.2,4545,69.5,672,83.7
North Slope,2302,23.4,2231,31,393,53.4
Northwest Arctic,2540,33.3,2434,50.1,413,74.1
Petersburg,1755,53.7,1729,66.4,558,83.3
Prince of Wales-Hyder,2002,32.3,1989,41.3,692,61.5
Sitka,4509,53.1,4405,65.4,1111,81.5
Skagway,650,54.9,642,64.1,137,73.3
Southeast Fairbanks,1258,18.3,1252,24.2,564,52.3
Unknown,5215,N/A,5162,N/A,1048,N/A
Valdez-Cordova,3227,35.1,3211,45.5,854,64.3
Wrangell,992,39.6,982,48.9,366,59.6
Yakutat,308,53.2,307,64.4,87,71.3
Yukon-Koyukuk,2421,46.3,2373,62.9,628,76.4
