County Level Vaccination Data for Arkansas
Date generated: Tue Apr 20 2021 12:35:45 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Arkansas,4584,26.2,4570,33.9,2090,58.9
Ashley,3623,18.4,3619,23.7,2124,51.6
Baxter,7014,16.7,7006,20.3,4611,35.3
Benton,47663,17.1,47471,23,19396,51.2
Boone,6113,16.3,6102,21.1,3627,46.3
Bradley,2756,25.6,2752,33.6,1277,61.7
Calhoun,854,16.5,854,20.3,473,41.5
Carroll,5468,19.3,5463,24.5,3027,44.7
Chicot,2726,26.9,2718,34.4,1386,64.9
Clark,4931,22.1,4917,27.2,2426,64.6
Clay,3474,23.9,3467,30.2,1860,58.5
Cleburne,4979,20,4976,24.6,3487,51.4
Cleveland,1900,23.9,1899,30.4,978,57.4
Columbia,4634,19.8,4630,24.9,2185,52.5
Conway,4933,23.7,4929,30.5,2484,60.4
Craighead,20854,18.9,20789,25.1,7547,48.9
Crawford,10533,16.7,10518,22,4994,46
Crittenden,7945,16.6,7931,22.7,2958,42.5
Cross,3525,21.5,3525,27.9,1708,53.9
Dallas,1851,26.4,1848,33.4,997,58.3
Desha,3039,26.7,2985,35.2,1483,66.6
Drew,4061,22.3,4054,28.4,1733,52.3
Faulkner,26789,21.3,26694,27.4,10391,64.2
Franklin,4081,23,4075,29.6,2063,58.4
Fulton,1585,12.7,1585,16.1,903,27.8
Garland,21344,21.5,21258,26.7,12184,50.5
Grant,3228,17.7,3223,22.6,1682,49.9
Greene,8817,19.5,8805,25.7,3963,53.8
Hempstead,2286,10.6,2284,14.3,1059,26.6
Hot Spring,6194,18.3,6185,23.1,3187,48.8
Howard,2946,22.3,2945,30.2,1435,60.1
Independence,5895,15.6,5887,20.6,2859,42.1
Izard,2324,17.1,2324,20.8,1282,36
Jackson,3125,18.7,3120,23.4,1610,52.7
Jefferson,10883,16.3,10867,20.8,5349,44.5
Johnson,5800,21.8,5778,28.8,2397,53.4
Lafayette,1093,16.5,1093,20.2,654,40
Lawrence,3099,18.9,3094,24.2,1593,48.7
Lee,1493,16.9,1493,20.7,834,46.7
Lincoln,2052,15.8,2048,18.8,1040,50.2
Little River,1559,12.7,1556,16.4,991,38.6
Logan,4232,19.7,4230,25,2299,52.3
Lonoke,13477,18.4,13453,24.6,5826,57.6
Madison,2504,15.1,2497,19.6,1385,43.1
Marion,2393,14.3,2392,17.5,1562,32.2
Miller,2035,4.7,2034,6.1,1165,15.7
Mississippi,6329,15.6,6317,21,2923,47.8
Monroe,1533,22.9,1528,28.7,756,46.9
Montgomery,2008,22.3,2008,27.4,1223,50.4
Nevada,1079,13.1,1075,16.9,494,28.5
Newton,1088,14,1088,17.4,761,36
Ouachita,5659,24.2,5648,31.1,2844,57.7
Perry,2300,22,2300,28.4,1282,59.9
Phillips,3580,20.1,3577,27.1,1727,49.8
Pike,1988,18.5,1987,23.6,1072,48.8
Poinsett,4282,18.2,4275,23.8,1958,45.3
Polk,2640,13.2,2636,17.1,1467,31.1
Pope,13259,20.7,13234,26.7,5737,55.4
Prairie,1385,17.2,1383,21.6,716,37.1
Pulaski,101144,25.8,100679,33.4,38871,61.7
Randolph,2396,13.3,2393,17.5,1136,32
Saline,26459,21.6,26360,28,10860,48.9
Scott,1693,16.5,1689,21.3,846,38.4
Searcy,1513,19.2,1512,23.8,973,47.5
Sebastian,20213,15.8,20138,20.7,8014,38.2
Sevier,2948,17.3,2943,24.2,1221,48
Sharp,2675,15.3,2672,19.3,1708,37.1
St. Francis,5804,23.2,5802,29.4,2323,55.2
Stone,2407,19.2,2404,23.8,1529,43.8
Union,7123,18.4,7115,24.2,3580,50.3
Unknown,67346,N/A,67151,N/A,24116,N/A
Van Buren,3351,20.3,3350,25.1,2220,50.3
Washington,45647,19.1,45492,25.1,16175,55.9
White,14841,18.8,14813,24.4,7812,59.2
Woodruff,1455,23,1455,29.3,822,55.7
Yell,4291,20.1,4286,26.5,1955,50.7
