County Level Vaccination Data for California
Date generated: Tue Apr 20 2021 12:36:00 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alameda,528222,31.6,525668,39.5,172171,72.1
Alpine,N/A,N/A,N/A,N/A,N/A,N/A
Amador,9092,22.9,9081,26.9,5682,51.9
Butte,54687,25,54537,31.2,24370,60.6
Calaveras,10628,23.2,10598,27.8,7055,54.8
Colusa,4573,21.2,4569,29.1,1769,55
Contra Costa,370721,32.1,368809,41.2,145747,77.6
Del Norte,4670,16.8,4664,21.2,2379,46.4
El Dorado,50325,26.1,50100,32.4,25575,60.5
Fresno,235739,23.6,234588,32.7,79347,63.3
Glenn,6302,22.2,6281,30.1,2887,64.5
Humboldt,33671,24.8,33611,30.6,15559,61.8
Imperial,38754,21.4,38656,29.8,12941,53.6
Inyo,N/A,N/A,N/A,N/A,N/A,N/A
Kern,164676,18.3,163716,25.5,56938,56.3
Kings,23466,15.3,23363,20.9,6987,43.6
Lake,17358,27,17313,34.1,8812,59.3
Lassen,5383,17.6,5376,21.3,2698,56.9
Los Angeles,2520218,25.1,2508776,31.8,839426,59.4
Madera,32916,20.9,32782,28.7,13483,59.7
Marin,110291,42.6,109131,52.6,46366,78.1
Mariposa,N/A,N/A,N/A,N/A,N/A,N/A
Mendocino,28214,32.5,28046,41,12895,64.4
Merced,44138,15.9,43903,22.3,16201,51.2
Modoc,N/A,N/A,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A,N/A,N/A
Monterey,104428,24.1,104052,32.4,37757,62.2
Napa,46715,33.9,46546,42.3,19160,70.6
Nevada,25674,25.7,25573,30.9,15272,54
Orange,824044,25.9,820543,33,319274,65.8
Placer,114156,28.7,113534,36.6,54774,69
Plumas,N/A,N/A,N/A,N/A,N/A,N/A
Riverside,489612,19.8,487869,26.3,214557,58.6
Sacramento,377789,24.3,375942,31.6,143528,63.8
San Benito,12965,20.6,12920,27.6,4755,57.6
San Bernardino,399185,18.3,397200,24.7,146355,56.2
San Diego,633089,19,630221,24,241461,49.8
San Francisco,318508,36.1,317384,41.6,94476,66.6
San Joaquin,146433,19.2,145799,26.1,59594,59.7
San Luis Obispo,64063,22.6,63909,27.4,34155,57.8
San Mateo,258439,33.7,257006,42,91937,72.5
Santa Barbara,113074,25.3,112779,32.4,47549,67.8
Santa Clara,521983,27.1,519450,34.4,190875,71.2
Santa Cruz,82617,30.2,82254,37.2,32463,68.8
Shasta,31523,17.5,31435,22.3,16768,44
Sierra,N/A,N/A,N/A,N/A,N/A,N/A
Siskiyou,11567,26.6,11525,33.1,6250,54.9
Solano,108664,24.3,108292,31,41852,57.2
Sonoma,164551,33.3,163854,41.1,71896,70.3
Stanislaus,101374,18.4,100705,25,39266,53.1
Sutter,22728,23.4,22668,31.5,9294,61.6
Tehama,10514,16.2,10500,21.2,5136,40.2
Trinity,N/A,N/A,N/A,N/A,N/A,N/A
Tulare,97406,20.9,96748,29.9,31602,58.2
Tuolumne,15880,29.1,15864,35,9589,65.2
Unknown,336853,N/A,335840,N/A,100058,N/A
Ventura,238477,28.2,237209,36.2,94459,69.1
Yolo,61999,28.1,61629,35.3,20179,70.8
Yuba,13280,16.9,13255,23.2,5480,53.4
