County Level Vaccination Data for Colorado
Date generated: Tue Apr 20 2021 12:36:21 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,58947,11.4,58615,15.3,18055,32.5
Alamosa,2338,14.4,2335,19,680,30.2
Arapahoe,88059,13.4,87446,17.4,30304,34.2
Archuleta,2542,18.1,2526,21.9,693,18.1
Baca,313,8.7,313,11.2,140,16
Bent,292,5.2,292,6.2,121,11.5
Boulder,60265,18.5,59853,22.6,18522,38.3
Broomfield,12788,18.1,12671,23.1,3917,38.9
Chaffee,3633,17.8,3608,20.9,952,18
Cheyenne,139,7.6,139,10.2,52,13.5
Clear Creek,1246,12.8,1239,15,369,17.8
Conejos,1222,14.9,1220,19.9,557,34.1
Costilla,772,19.9,770,24.5,206,19.7
Crowley,342,5.6,340,6.3,152,17.9
Custer,716,14.1,716,16.4,365,21.8
Delta,5304,17,5297,21.1,2981,35.7
Denver,109605,15.1,108983,18.5,25971,29.9
Dolores,263,12.8,262,15.8,81,15.1
Douglas,59029,16.8,58480,22.3,18716,42.9
Eagle,13810,25.1,13651,31.5,1769,25.9
El Paso,120097,16.7,119756,21.8,40482,42.5
Elbert,2743,10.3,2728,13,1305,28.4
Fremont,6311,13.2,6311,15.7,3204,30.2
Garfield,9069,15.1,9015,20,1773,21.4
Gilpin,898,14.4,896,16.8,387,34.8
Grand,2571,16.3,2570,19.6,850,29.3
Gunnison,3817,21.9,3780,26,360,15.1
Hinsdale,154,18.8,153,22,57,22.1
Huerfano,1128,16.4,1128,19.5,639,28.8
Jackson,125,9,125,10.8,69,21.3
Jefferson,106482,18.3,105858,22.5,39842,40.3
Kiowa,109,7.8,108,10.1,38,11.7
Kit Carson,781,11,780,14.7,319,23
La Plata,15125,26.9,14996,32.8,3966,38.7
Lake,1141,14,1137,17.4,289,24.3
Larimer,66978,18.8,66786,23.2,22908,39.7
Las Animas,2549,17.6,2534,21.3,1015,27.5
Lincoln,631,11.1,631,13.9,216,21.5
Logan,2273,10.1,2269,12.3,1032,25.4
Mesa,30243,19.6,29995,24.7,13641,44.9
Mineral,142,18.5,142,21.5,68,26.4
Moffat,1333,10,1328,13.4,500,23.6
Montezuma,6320,24.1,6213,30.3,1667,27.8
Montrose,9048,21.2,8996,26.7,4755,46.2
Morgan,3865,13.3,3856,17.9,1313,29
Otero,2333,12.8,2326,16.7,898,23.8
Ouray,1347,27.2,1340,31.9,446,33
Park,2610,13.8,2606,16.3,1303,32
Phillips,486,11.4,486,15,155,15.6
Pitkin,2908,16.4,2898,19.1,524,14.5
Prowers,1276,10.5,1273,14.1,504,22.9
Pueblo,22893,13.6,22850,17.4,9916,31.1
Rio Blanco,491,7.8,490,10.2,221,21.4
Rio Grande,2320,20.6,2314,26.5,1000,42.5
Routt,6763,26.4,6728,31.9,1616,37.9
Saguache,560,8.2,560,10.4,260,15.5
San Juan,112,15.4,111,17.4,18,9.6
San Miguel,2771,33.9,2764,40.9,419,33.1
Sedgwick,317,14.1,316,17.5,110,18
Summit,6527,21,6509,25.1,1392,31.4
Teller,3412,13.4,3405,16.1,1726,29.3
Unknown,592233,N/A,591285,N/A,288674,N/A
Washington,400,8.1,400,10.5,196,18.7
Weld,44079,13.6,43919,18.3,15216,37.7
Yuma,967,9.7,965,13.3,291,15.5
