County Level Vaccination Data for Florida
Date generated: Tue Apr 20 2021 12:37:11 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alachua,73169,27.2,73103,33.1,31020,79
Baker,3510,12,3510,15.8,2193,53.3
Bay,36528,20.9,36506,26.3,19072,58.6
Bradford,3894,13.8,3894,17.1,2541,50.2
Brevard,145030,24.1,144954,29.4,90819,62.3
Broward,460059,23.6,459165,29.8,218006,65.2
Calhoun,2100,14.9,2100,18.6,1396,52.3
Charlotte,63858,33.8,63832,38.3,50877,66
Citrus,40801,27.3,40795,32,32959,60
Clay,38916,17.7,38881,23,20559,57.4
Collier,119078,30.9,119043,37.2,90947,71.8
Columbia,12310,17.2,12307,21.9,7695,55.7
DeSoto,6115,16.1,6115,19.8,4543,53.1
Dixie,2435,14.5,2435,17.7,1857,46.6
Duval,224710,23.5,224473,30.3,97049,70
Escambia,69139,21.7,69104,27.4,35525,65.1
Flagler,33680,29.3,33670,35.1,24681,68.8
Franklin,2928,24.1,2928,28.5,2060,70.4
Gadsden,11413,25,11407,31.9,5948,69.6
Gilchrist,2764,14.9,2762,18.6,1829,47.7
Glades,1780,12.9,1780,15.1,1328,34.9
Gulf,3146,23.1,3146,28.2,2302,63.7
Hamilton,2255,15.6,2255,19.3,1504,56.5
Hardee,3214,11.9,3213,16,2362,50.3
Hendry,6242,14.9,6239,20.3,3587,62.1
Hernando,43914,22.6,43895,27.7,31235,58.5
Highlands,24646,23.2,24644,27.9,19734,51.5
Hillsborough,307024,20.9,306739,26.7,128300,59.9
Holmes,2552,13,2551,16.3,1715,43.7
Indian River,47745,29.9,47729,35.4,36372,67.2
Jackson,8652,18.6,8651,23,5193,54.3
Jefferson,4427,31.1,4427,37.2,3182,90.6
Lafayette,1294,15.4,1294,19.2,1058,72.7
Lake,106103,28.9,106010,35.6,74780,75.2
Lee,191102,24.8,191063,30,143495,63.9
Leon,69464,23.7,69371,29,31548,77.4
Levy,7414,17.9,7409,22.2,5304,50.8
Liberty,1167,14,1167,16.9,706,56.2
Madison,3788,20.5,3787,25.1,2428,62.2
Manatee,99407,24.7,99384,30,71770,63.4
Marion,89056,24.4,89033,29.9,64938,60.9
Martin,47555,29.5,47536,35.2,36162,71.2
Miami-Dade,680659,25.1,679218,31.3,297413,65.7
Monroe,21627,29.1,21618,34.3,13334,75.6
Nassau,25172,28.4,25158,35.4,15581,77
Okaloosa,44920,21.3,44896,27.4,24284,70.6
Okeechobee,6954,16.5,6952,20.9,5334,62.9
Orange,295067,21.2,294391,27.1,115897,67.6
Osceola,71547,19,71475,25.1,34511,68
Palm Beach,384787,25.7,384394,31.7,245184,67.3
Pasco,120684,21.8,120618,27.3,74693,59.5
Pinellas,272439,27.9,272266,33.2,159974,64.6
Polk,136143,18.8,136057,24.1,85163,57.5
Putnam,11570,15.5,11568,19.7,7993,45.2
Santa Rosa,35276,19.1,35240,24.5,19920,66.1
Sarasota,143701,33.1,143634,38.5,111240,68.7
Seminole,97403,20.6,97243,26,47551,63.1
St. Johns,84054,31.8,83910,40.4,45488,83.2
St. Lucie,69358,21.1,69338,26.2,48113,59.5
Sumter,70692,53.4,70682,57.5,61613,80
Suwannee,7321,16.5,7319,20.9,5197,53.9
Taylor,3323,15.4,3322,19.2,2289,50.6
Union,1685,11.1,1685,13.8,1109,47.9
Unknown,58637,N/A,58605,N/A,19813,N/A
Volusia,131981,23.9,131935,28.9,89166,64.7
Wakulla,6474,19.2,6469,24.2,3878,72.3
Walton,14264,19.3,14260,24.2,8950,59.8
Washington,3150,12.4,3147,15.4,2007,45.8
