County Level Vaccination Data for Idaho
Date generated: Tue Apr 20 2021 12:38:00 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Ada,140508,29.2,140506,38,57464,79.9
Adams,944,22,944,26.6,677,52.7
Bannock,21098,24,21098,32.4,9071,70.4
Bear Lake,1460,23.8,1460,32.6,929,73.4
Benewah,2328,25,2327,32.1,1282,60.5
Bingham,9946,21.2,9946,30.5,4344,64
Blaine,8834,38.4,8834,48.6,4188,89.4
Boise,1353,17.3,1353,20.7,872,42.4
Bonner,10948,23.9,10947,29.8,6308,54.3
Bonneville,24797,20.8,24797,29.9,10913,67.7
Boundary,2291,18.7,2291,24.3,1356,48
Butte,581,22.4,581,29.6,333,54.2
Camas,288,26,288,33.4,139,51.5
Canyon,39753,17.3,39753,24,19362,60.1
Caribou,1156,16.2,1156,22.8,632,50.9
Cassia,3290,13.7,3290,20,1760,50.7
Clark,115,13.6,115,17.5,58,35.4
Clearwater,2011,23,2011,27.3,1344,54.8
Custer,1062,24.6,1062,29.7,686,52.9
Elmore,5155,18.7,5154,25.1,2254,58.1
Franklin,2586,18.6,2584,27.2,1339,66
Fremont,2451,18.7,2451,24.8,1387,60.7
Gem,3676,20.3,3676,26.3,2277,57.1
Gooding,2699,17.8,2699,24.3,1531,56.5
Idaho,2765,16.6,2765,20.6,1907,40
Jefferson,4596,15.4,4596,23.2,2171,62.8
Jerome,3895,16,3895,23,1879,58.1
Kootenai,39111,23.6,39103,30.5,20051,62.3
Latah,10647,26.5,10645,32.5,4384,77.6
Lemhi,2083,25.9,2083,31.9,1379,56.1
Lewis,971,25.3,971,32.3,624,60.5
Lincoln,888,16.5,888,22.8,448,59
Madison,5477,13.7,5477,18.7,2001,70.7
Minidoka,3237,15.4,3237,21.5,1673,49
Nez Perce,10568,26.2,10567,33.3,5553,68
Oneida,911,20.1,911,28.1,530,57.2
Owyhee,1664,14.1,1664,18.9,860,40.3
Payette,3839,16,3839,21.6,2274,51
Power,1944,25.3,1944,36.5,852,70.8
Shoshone,3319,25.8,3319,32.4,1995,66.9
Teton,3169,26.1,3167,34.2,1088,68.2
Twin Falls,16810,19.3,16809,26.6,8767,64.5
Unknown,7621,N/A,7617,N/A,2965,N/A
Valley,3710,32.6,3710,39.8,2030,68.7
Washington,1919,18.8,1919,24.3,1366,51.7
