County Level Vaccination Data for Louisiana
Date generated: Tue Apr 20 2021 12:39:53 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Acadia,12041,19.4,12029,26.1,6310,64.4
Allen,3483,13.6,3476,17.5,1419,36.3
Ascension,26003,20.5,25895,27.8,10285,66.2
Assumption,4176,19.1,4171,24.2,2251,54.8
Avoyelles,6355,15.8,6351,20.7,3271,47
Beauregard,4660,12.4,4651,16.5,2422,40.6
Bienville,2910,22,2910,28.3,1560,54.3
Bossier,25817,20.3,25777,26.9,11293,59.8
Caddo,55085,22.9,54965,29.9,25906,60.8
Calcasieu,34416,16.9,34373,22.5,16508,53.3
Caldwell,1815,18.3,1815,23.7,1005,55.9
Cameron,521,7.5,520,9.6,270,22.8
Catahoula,1626,17.1,1626,21.7,871,51.2
Claiborne,2894,18.5,2891,22.4,1508,49.3
Concordia,2723,14.1,2722,18.5,1437,41.9
De Soto,5115,18.6,5109,24.4,2675,53.3
East Baton Rouge,113688,25.8,113336,33.3,47337,73.5
East Carroll,1520,22.2,1519,29.1,702,67
East Feliciana,3339,17.4,3338,21.2,1769,50.4
Evangeline,5127,15.4,5119,20.4,2529,47.8
Franklin,3655,18.3,3650,24.4,1808,49
Grant,3952,17.7,3947,22.3,1678,48.3
Iberia,12714,18.2,12694,24.4,6241,57
Iberville,7400,22.8,7386,28.5,3393,63.7
Jackson,2912,18.5,2911,23.6,1534,47.4
Jefferson,123747,28.6,123397,36.6,53088,69.4
Jefferson Davis,4622,14.7,4616,19.7,2425,46.2
LaSalle,2381,16,2379,20.7,1246,48.7
Lafayette,52201,21.4,52037,27.9,21757,64.7
Lafourche,18418,18.9,18388,24.5,8547,54.9
Lincoln,10052,21.5,10033,26.8,4452,68.1
Livingston,21877,15.5,21831,20.8,10345,55.1
Madison,1785,16.3,1784,21.4,859,52.5
Morehouse,5272,21.2,5270,28,2808,58.3
Natchitoches,6826,17.9,6823,23.3,3520,53.9
Orleans,127772,32.7,127309,40.7,40307,66.4
Ouachita,30489,19.9,30437,26.3,14063,59.8
Plaquemines,6203,26.7,6189,35.9,2211,68
Pointe Coupee,5493,25.3,5488,32.1,2940,63.3
Rapides,27318,21.1,27268,27.9,12650,58.3
Red River,1438,17,1437,22.2,755,45.5
Richland,4386,21.8,4382,28.3,2188,60
Sabine,3543,14.8,3542,19.3,2226,44
St. Bernard,8823,18.7,8788,25.3,3369,59.5
St. Charles,13558,25.5,13494,33.5,5478,73.4
St. Helena,1319,13,1318,16.4,686,32.8
St. James,4449,21.1,4433,27.3,1922,51.4
St. John the Baptist,9944,23.2,9914,30.6,4141,65.6
St. Landry,14556,17.7,14522,24.1,6805,49.9
St. Martin,8396,15.7,8382,20.6,4289,51.1
St. Mary,9778,19.8,9768,26,4840,57.5
St. Tammany,70466,27.1,70256,35.4,32705,71.8
Tangipahoa,26383,19.6,26345,25.8,12915,64.2
Tensas,1224,28.2,1223,36.4,679,60.9
Terrebonne,21843,19.8,21813,26.4,10658,64.6
Union,4740,21.4,4733,27.3,2585,55.5
Unknown,53737,N/A,53680,N/A,25625,N/A
Vermilion,8790,14.8,8769,19.7,4376,46.5
Vernon,6150,13,6143,17.2,2881,47.9
Washington,8434,18.3,8420,23.9,4701,55
Webster,7442,19.4,7440,25,4216,54.3
West Baton Rouge,5771,21.8,5758,28.7,2340,62
West Carroll,2622,24.2,2622,31.2,1472,70
West Feliciana,6547,42.1,6541,50.3,2714,99.9
Winn,2676,19.2,2672,24.2,1406,52.9
