County Level Vaccination Data for Massachusetts
Date generated: Tue Apr 20 2021 12:40:41 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Barnstable,5793,2.7,5793,3.2,3470,5.2
Berkshire,29830,23.9,29755,28.6,15233,50.9
Bristol,132738,23.5,132359,29.5,57474,58.8
Dukes,331,1.9,331,2.3,141,3.2
Essex,235778,29.9,234944,37.7,100227,72.4
Franklin,21360,30.4,21295,36.6,10389,64.1
Hampden,108280,23.2,108024,29.4,47315,58.6
Hampshire,43225,26.9,43082,31.3,19890,69
Middlesex,457915,28.4,456075,35.2,182093,72.2
Nantucket,59,0.5,59,0.7,36,2.1
Norfolk,213776,30.2,212880,38,85841,70.5
Plymouth,143219,27.5,142687,34.7,64404,66.4
Suffolk,205605,25.6,205290,30.5,63896,64.4
Unknown,258123,N/A,257661,N/A,111274,N/A
Worcester,202274,24.4,201422,30.6,85431,63.8
