County Level Vaccination Data for Minnesota
Date generated: Tue Apr 20 2021 12:41:13 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aitkin,5819,36.6,5807,43.8,3615,67.3
Anoka,75885,21.3,75750,27.8,32745,63.2
Becker,11233,32.6,11214,42.9,5401,74.3
Beltrami,14980,31.7,14931,42.2,5905,76
Benton,6788,16.6,6768,22.2,2940,50.2
Big Stone,2192,43.9,2180,55.7,1121,83.7
Blue Earth,17926,26.5,17884,33,7942,82.5
Brown,8235,32.9,8217,42,4646,87.1
Carlton,12506,34.9,12488,44.8,5016,80.1
Carver,25142,23.9,25051,32.4,9839,74.3
Cass,8551,28.7,8520,36.1,5012,63.5
Chippewa,3478,29.5,3461,38.7,1871,72.9
Chisago,13422,23.7,13408,30.7,6813,76.2
Clay,12987,20.2,12957,26.8,5680,66.1
Clearwater,2339,26.5,2330,35.1,1243,68.9
Cook,2606,47.7,2605,56.2,1377,86
Cottonwood,3630,32.4,3623,42.9,1882,72.7
Crow Wing,19295,29.7,19273,37.7,11007,73.6
Dakota,115221,26.9,114932,35.4,46957,74.5
Dodge,5939,28.4,5926,38,2408,75.9
Douglas,12027,31.5,11996,40.1,6804,76.2
Faribault,3921,28.7,3921,36.8,2403,75.7
Fillmore,7757,36.8,7740,48.8,3769,84.3
Freeborn,8701,28.7,8691,36.7,5030,73.7
Goodhue,14909,32.2,14885,41.2,7393,79.2
Grant,1940,32.5,1933,41.8,1068,74.5
Hennepin,366442,28.9,365444,36.9,143108,77.9
Houston,4464,24,4459,30.7,2152,52.5
Hubbard,5798,27,5788,34.2,3499,64.5
Isanti,6669,16.4,6661,21.4,3540,52.6
Itasca,13901,30.8,13867,38.8,7749,71.2
Jackson,2949,30,2943,38,1464,64.4
Kanabec,3765,23,3742,29.2,2024,59.2
Kandiyohi,11397,26.4,11383,35,5717,69.3
Kittson,1293,30.1,1280,38.2,743,69.5
Koochiching,3427,28,3425,34,2136,65.4
Lac qui Parle,2600,39.3,2589,49.2,1241,67.2
Lake,3715,34.9,3705,43.1,2055,72
Lake of the Woods,1190,31.8,1189,39,699,73.7
Le Sueur,6075,21,6065,27.6,3289,64.3
Lincoln,1741,30.9,1736,40.2,923,65.2
Lyon,7484,29.4,7455,39.4,3367,80.3
Mahnomen,2222,40.2,2221,58.9,954,100
Marshall,2270,24.3,2260,31.4,1149,55.2
Martin,6241,31.7,6232,40.6,3385,71.3
McLeod,9245,25.8,9221,33.3,4868,70.8
Meeker,5747,24.7,5735,32.6,3202,67.2
Mille Lacs,7104,27,7092,35.4,3866,79.1
Morrison,7972,23.9,7968,31.1,4587,68.6
Mower,12059,30.1,12041,40.1,5792,78.1
Murray,2701,33,2697,41.9,1453,68.1
Nicollet,9966,29.1,9938,37.2,4287,74.9
Nobles,7642,35.3,7632,48.7,2811,77.5
Norman,2326,36.5,2297,47.6,979,71.5
Olmsted,62401,39.4,62081,51.9,20386,80.8
Otter Tail,16502,28.1,16465,35.8,9469,65.9
Pennington,3336,23.6,3326,30.5,1668,62.7
Pine,6920,23.4,6914,28.9,3930,61.8
Pipestone,2844,31.2,2842,42.1,1561,82.4
Polk,7629,24.3,7588,32.1,3387,58.7
Pope,3660,32.5,3649,41.1,2067,74.3
Ramsey,148274,26.9,147997,35,61655,75.3
Red Lake,1195,29.5,1191,38.7,612,70
Redwood,4245,28,4240,37.2,2308,70.5
Renville,4232,29.1,4220,37.8,2295,74.9
Rice,18702,27.9,18652,35.6,8849,83.6
Rock,2782,29.9,2775,39.7,1536,80.4
Roseau,3684,24.3,3661,31.8,1992,72.4
Scott,36407,24.4,36284,33.4,12803,75.7
Sherburne,16519,17,16498,23,7140,62.6
Sibley,3351,22.5,3348,29.2,1810,64.4
St. Louis,70331,35.3,70107,43.4,30943,77.5
Stearns,39292,24.4,39224,31.7,18406,73.9
Steele,9190,25.1,9171,33.2,4953,73.9
Stevens,2982,30.4,2970,38.6,1286,75.6
Swift,3021,32.6,3010,42.3,1608,77.3
Todd,5482,22.2,5470,29.1,3201,58.7
Traverse,1161,35.6,1156,44.8,616,74.4
Unknown,75307,N/A,75063,N/A,26641,N/A
Wabasha,8311,38.4,8288,48.9,4232,86.7
Wadena,3755,27.4,3750,37,2119,72.5
Waseca,4688,25.2,4684,32.8,2577,74.5
Washington,71342,27.2,71163,35.8,31235,76.4
Watonwan,3125,28.7,3117,37.8,1547,69.2
Wilkin,1132,18.2,1131,23.5,606,49.7
Winona,16211,32.1,16143,38.9,6990,78.6
Wright,28654,20.7,28603,28.6,12878,71.7
Yellow Medicine,3349,34.5,3342,44.8,1710,84.7
