County Level Vaccination Data for Montana
Date generated: Tue Apr 20 2021 12:42:08 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Beaverhead,2899,30.7,2899,37.1,1537,72.9
Big Horn,5570,41.8,5436,61.4,1606,90.5
Blaine,3283,49.1,3166,67.2,938,88.7
Broadwater,1095,17.6,1093,21.8,708,47.2
Carbon,2950,27.5,2949,33.1,1598,55.7
Carter,222,17.7,221,22.5,142,43.4
Cascade,22436,27.6,22356,35.4,10016,64.4
Chouteau,1089,19.3,1089,24.9,571,47.9
Custer,2732,24,2728,30.2,1448,61.4
Daniels,432,25.6,432,32.3,226,47.3
Dawson,2081,24.2,2080,30.7,1065,60.5
Deer Lodge,3132,34.3,3127,39.6,1619,72.2
Fallon,579,20.3,579,28,291,60.1
Fergus,2682,24.3,2681,30.5,1649,59.2
Flathead,18619,17.9,18594,22.9,10263,48.9
Gallatin,24959,21.8,24889,27.1,9712,64.6
Garfield,176,14,176,18.2,113,37.3
Glacier,6715,48.8,6707,71.1,2222,99.9
Golden Valley,207,25.2,207,32.1,146,64
Granite,670,19.8,668,23.1,418,39.1
Hill,4806,29.2,4796,40.3,1752,69.5
Jefferson,3278,26.8,3260,33.5,1767,65
Judith Basin,431,21.5,431,26.7,282,51.2
Lake,10244,33.6,10156,43.4,5234,75.9
Lewis and Clark,20749,29.9,20657,37.8,9817,72.9
Liberty,535,22.9,535,28.7,271,52.5
Lincoln,3820,19.1,3817,23.3,2425,41.1
Madison,2028,23.6,2027,27.8,1332,52.4
McCone,160,9.6,160,12.2,103,22.8
Meagher,620,33.3,620,41,311,52.8
Mineral,1326,30.2,1325,36.8,775,59.6
Missoula,38984,32.6,38791,39.8,14415,74.5
Musselshell,863,18.6,863,22.8,526,41.1
Park,4729,28.5,4721,34.3,2243,56.9
Petroleum,104,21.4,104,25.7,67,53.6
Phillips,1014,25.6,1006,33.4,548,59.8
Pondera,1735,29.4,1732,38.7,797,65.5
Powder River,184,10.9,184,13.2,124,26.6
Powell,1574,22.8,1574,26.7,838,57.2
Prairie,276,25.6,276,31.5,172,47.6
Ravalli,11319,25.8,11293,31.7,6619,56.9
Richland,1962,18.2,1961,24.2,993,59.8
Roosevelt,2909,26.4,2908,39.7,1110,85.8
Rosebud,3965,44.4,3939,61.9,1275,86.6
Sanders,2545,21,2539,25.4,1715,43.8
Sheridan,1036,31.3,1036,39.6,575,74.7
Silver Bow,12069,34.6,11963,43,5061,74.3
Stillwater,2414,25,2413,31.7,1377,60.7
Sweet Grass,886,23.7,884,29.7,567,55.3
Teton,1349,21.9,1348,29,777,54.4
Toole,1006,21.2,1006,26.8,511,55.5
Treasure,211,30.3,211,38.4,143,71.1
Unknown,11722,N/A,11715,N/A,4955,N/A
Valley,1844,24.9,1838,32.1,997,56.8
Wheatland,366,17.2,366,21.9,242,44.7
Wibaux,159,16.4,159,20.6,105,42
Yellowstone,43162,26.8,42973,34.7,19512,69.5
