County Level Vaccination Data for Nevada
Date generated: Tue Apr 20 2021 12:44:14 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Carson City,14571,26.1,14562,32.7,8514,73.6
Churchill,5182,20.8,5181,27,2873,60.4
Clark,535261,23.6,534377,30.6,204500,59.7
Douglas,12285,25.1,12280,29.9,8562,59
Elko,9265,17.6,9260,24.1,3552,57.1
Esmeralda,154,17.6,154,20.5,86,27.6
Eureka,329,16.2,329,21.5,127,38.3
Humboldt,3701,22,3697,30,1400,57.7
Lander,1108,20,1107,27.1,410,46.3
Lincoln,1103,21.3,1102,26.5,611,46.6
Lyon,9162,15.9,9160,20.3,5403,44.3
Mineral,1301,28.9,1301,35.9,671,58.6
Nye,9934,21.4,9931,25.6,6728,47.7
Pershing,899,13.4,899,16,394,35.7
Storey,354,8.6,354,9.8,230,17.3
Unknown,28339,N/A,28320,N/A,8553,N/A
Washoe,115834,24.6,115717,31.2,55375,69.8
White Pine,2789,29.1,2788,36.5,1136,64.8
