County Level Vaccination Data for New Hampshire
Date generated: Tue Apr 20 2021 12:44:29 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Belknap,14346,23.4,14326,28.6,7892,56.5
Carroll,14855,30.4,14839,35.8,8902,62.8
Cheshire,19969,26.2,19915,31.8,10182,64.7
Coos,10081,31.9,10063,38,5183,67.8
Grafton,28439,31.6,28382,37.6,13193,68.8
Hillsborough,76224,18.3,76039,22.8,33991,50.2
Merrimack,37451,24.7,37374,30.4,17041,60.3
Rockingham,78195,25.2,77993,31.1,37620,65.4
Strafford,26106,20,26049,24.4,10740,53.2
Sullivan,10722,24.9,10695,30.4,5353,56.2
Unknown,72385,N/A,72241,N/A,30851,N/A
