County Level Vaccination Data for New Mexico
Date generated: Tue Apr 20 2021 12:45:03 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Bernalillo,136397,20.1,135965,25.5,53035,46.2
Catron,580,16.4,580,18.6,369,24.2
Chaves,10699,16.6,10680,22.3,4852,46.5
Cibola,9288,34.8,8987,43.9,2365,52.9
Colfax,2544,21.3,2532,25.8,1076,32.9
Curry,5960,12.2,5959,16.5,1532,24.4
De Baca,381,21.8,381,28.1,225,44.9
Doña Ana,49470,22.7,49311,29.8,18806,53.1
Eddy,8226,14.1,8194,19.1,3103,36.4
Grant,7682,28.5,7660,35.2,4153,53.8
Guadalupe,397,9.2,395,11.5,141,16.5
Harding,129,20.6,128,23.1,58,23.7
Hidalgo,934,22.2,926,28.5,428,45.4
Lea,7850,11,7775,15.6,1758,21.8
Lincoln,4257,21.8,4241,26.5,1939,33.9
Los Alamos,5096,26.3,5090,33.7,1755,50.1
Luna,5466,23.1,5455,31.1,2679,53.2
McKinley,30011,42.1,28398,55.4,6532,71
Mora,1101,24.4,1099,29.4,544,41.6
Otero,15141,22.4,14928,28.7,5638,48.2
Quay,1347,16.3,1347,20.8,694,32.7
Rio Arriba,12486,32.1,12247,40.9,3919,50.2
Roosevelt,2092,11.3,2086,14.9,747,27.5
San Juan,51221,41.3,49559,54,13865,71.5
San Miguel,6121,22.4,6085,27,2386,38.7
Sandoval,46244,31.5,45659,40.3,16637,61.4
Santa Fe,38567,25.7,38439,31,18790,49.3
Sierra,2816,26.1,2816,31,1716,42.5
Socorro,4679,28.1,4611,35.6,1455,43.6
Taos,8621,26.3,8563,31.7,4292,47.6
Torrance,2532,16.4,2531,20.5,1235,37.2
Union,452,11.1,442,13.4,142,16
Unknown,189983,N/A,189628,N/A,64266,N/A
Valencia,15154,19.8,15113,25.7,6461,46.2
