County Level Vaccination Data for New York
Date generated: Tue Apr 20 2021 12:45:22 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Albany,107436,35.2,106951,42.8,39235,73.7
Allegany,10110,21.9,10058,27.3,4540,50.1
Bronx,304021,21.4,303653,28.4,99316,52.6
Broome,57150,30,56955,37.1,24984,67.6
Cattaraugus,20305,26.7,20260,34.1,9201,61.3
Cayuga,22546,29.4,22471,36.4,9675,63.7
Chautauqua,35163,27.7,35116,34.7,16375,62.3
Chemung,25192,30.2,25099,38.2,10278,63.1
Chenango,12692,26.9,12674,33.8,5846,59.4
Clinton,31751,39.4,31574,47.8,11660,82
Columbia,19544,32.9,19510,39.5,9208,63.5
Cortland,13478,28.3,13442,35,5260,65.5
Delaware,11202,25.4,11179,30.3,5236,47.1
Dutchess,83740,28.5,83531,34.9,33707,63.1
Erie,282872,30.8,281893,38.4,113415,67.1
Essex,14434,39.1,14352,46.3,6017,67.2
Franklin,17184,34.4,17070,42.2,6533,74.9
Fulton,12861,24.1,12843,30.1,5852,54.4
Genesee,14888,26,14861,32.5,7058,63.9
Greene,12885,27.3,12863,32.5,5863,54.7
Hamilton,2605,59,2598,68.1,1303,92.6
Herkimer,17616,28.7,17569,36,8303,63.8
Jefferson,37028,33.7,36899,44.2,12050,77.2
Kings,529973,20.7,529252,26.7,160742,43.7
Lewis,6775,25.8,6770,33.4,3134,62.7
Livingston,16661,26.5,16637,32.1,7186,62.3
Madison,20497,28.9,20412,35.5,7606,56.8
Monroe,237320,32,236195,40.1,88924,67.1
Montgomery,14557,29.6,14533,38.3,7116,76.4
Nassau,445623,32.8,444402,41.7,169914,68.9
New York,539691,33.1,538524,38.6,173974,63
Niagara,59924,28.6,59792,35.7,26400,64.6
Oneida,70743,30.9,70471,39.2,28891,65.9
Onondaga,160367,34.8,159486,43.9,58054,71.9
Ontario,37635,34.3,37483,42.6,16040,70.9
Orange,95765,24.9,95538,33.3,32074,58.2
Orleans,8617,21.4,8614,26.5,3997,53.8
Oswego,31129,26.6,31054,33.5,11975,60.8
Otsego,17429,29.3,17345,34.6,7736,59.8
Putnam,30061,30.6,30003,37.9,11643,65.7
Queens,596148,26.5,595396,33,194771,52.9
Rensselaer,50171,31.6,49939,39,18946,68.1
Richmond,128814,27.1,128666,34.5,48587,61.3
Rockland,83485,25.6,83244,35.7,33684,65.1
Saratoga,83777,36.4,83329,45.1,31706,73.3
Schenectady,47964,30.9,47747,39.2,18977,70.4
Schoharie,7619,24.6,7601,29.7,3632,51.5
Schuyler,6174,34.7,6164,42.5,2765,70.7
Seneca,9514,28,9484,34.8,4176,62.5
St. Lawrence,36360,33.7,36186,42,13835,71.5
Steuben,26846,28.1,26733,35.6,11321,58.9
Suffolk,395356,26.8,394593,33.8,163354,63.8
Sullivan,18765,24.9,18709,31.4,7896,54.2
Tioga,13284,27.6,13241,34.6,5827,57.7
Tompkins,37165,36.4,36969,42.4,11387,73.8
Ulster,55863,31.5,55697,38,22038,60.9
Unknown,163007,N/A,162854,N/A,48290,N/A
Warren,24434,38.2,24350,46.5,10036,68.4
Washington,16866,27.6,16827,33.8,7521,61.2
Wayne,25796,28.7,25717,36.3,10656,60.7
Westchester,311995,32.2,310345,41,113406,67.3
Wyoming,8976,22.5,8970,27.7,4302,58
Yates,7257,29.1,7252,37.3,3605,67.8
