County Level Vaccination Data for North Dakota
Date generated: Tue Apr 20 2021 12:45:57 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,720,32.5,720,40.2,398,63
Barnes,3785,36.3,3776,45.1,1688,69.8
Benson,1424,20.8,1416,32,607,61.7
Billings,90,9.7,90,12.2,41,19.4
Bottineau,2146,34.2,2141,43.3,1137,73.8
Bowman,679,22.5,678,29.7,427,63.6
Burke,458,21.7,458,28.8,274,61
Burleigh,26333,27.5,26244,35.8,10451,65.9
Cass,62357,34.3,62087,44,17056,75.2
Cavalier,1576,41.9,1570,54,735,71.3
Dickey,1673,34.3,1665,45.2,801,79.4
Divide,606,26.8,604,34.8,301,52.4
Dunn,531,12,531,16,299,41.9
Eddy,834,36.5,829,47.3,398,73.6
Emmons,676,20.9,673,25.8,432,47.4
Foster,1181,36.8,1177,46.7,508,69.9
Golden Valley,306,17.4,305,22.1,180,39.9
Grand Forks,22146,31.9,22040,40.3,6810,73.6
Grant,242,10.6,241,13.3,164,23.6
Griggs,796,35.7,794,45.1,425,62.9
Hettinger,594,23.8,593,31.7,366,66.4
Kidder,479,19.3,478,24.4,277,43.9
LaMoure,1283,31.7,1280,40.3,690,62
Logan,390,21.1,390,27.2,253,51.4
McHenry,1429,24.9,1426,32.6,803,66.8
McIntosh,666,26.7,666,32.7,413,51.4
McKenzie,1513,10.1,1508,14.7,562,42.4
McLean,2557,27.1,2552,34.6,1361,59.4
Mercer,1922,23.5,1922,30.6,1017,61.9
Morton,7570,24.1,7544,31.3,3394,63.8
Mountrail,2302,21.8,2291,30,744,60.7
Nelson,1438,49.9,1435,61.8,713,93.3
Oliver,296,15.1,295,20.2,190,42.8
Pembina,2307,33.9,2302,42.6,1166,71.9
Pierce,1206,30.3,1203,39.2,622,65.8
Ramsey,4291,37.3,4273,48.3,1767,75.6
Ransom,1975,37.8,1970,48.7,953,86.1
Renville,518,22.3,517,28.7,299,61.9
Richland,5180,32,5157,40.8,2146,71
Rolette,5818,41,5604,59.6,1331,76.9
Sargent,1445,37.1,1439,47.1,686,77.7
Sheridan,333,25.3,333,30.8,207,46.2
Sioux,691,16.3,691,25.4,203,56.5
Slope,52,6.9,52,8.7,34,19.1
Stark,5942,18.9,5910,25.8,2569,58.8
Steele,628,33.2,625,42.4,292,61.3
Stutsman,6659,32.2,6582,39.8,2725,66
Towner,729,33.3,722,42.1,337,60.9
Traill,2546,31.7,2542,41,1064,66.3
Unknown,9571,N/A,9555,N/A,2706,N/A
Walsh,3332,31.3,3325,40.6,1567,68.4
Ward,16567,24.5,16512,32,5994,67.2
Wells,1062,27.7,1062,34.9,597,54.2
Williams,5045,13.4,5040,19,2020,58.4
