County Level Vaccination Data for Oregon
Date generated: Tue Apr 20 2021 12:46:50 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Baker,7494,46.5,7464,57.7,4423,99.9
Benton,29397,31.6,29248,37.5,12542,80.2
Clackamas,99131,23.7,98718,30,47701,60.8
Clatsop,9326,23.2,9321,28.5,5236,55.5
Columbia,11388,21.8,11368,27.4,6467,64.4
Coos,13901,21.6,13798,26.2,7977,46.7
Crook,5220,21.4,5218,26.6,3543,57.7
Curry,5108,22.3,5102,25.9,3479,43.4
Deschutes,55757,28.2,55614,35.1,29711,73.4
Douglas,26427,23.8,26396,29.5,16186,55.4
Gilliam,464,24.3,463,29.9,256,48.5
Grant,1485,20.6,1484,25,907,40.2
Harney,1820,24.6,1818,30.8,991,53.7
Hood River,9047,38.7,9016,50.4,2917,76.6
Jackson,46112,20.9,45999,26.2,25513,51.2
Jefferson,7016,28.5,6958,36.8,3064,62.7
Josephine,18817,21.5,18770,26.7,11943,51.8
Klamath,16208,23.8,16185,30.2,8882,60.1
Lake,1735,22,1735,27.3,994,49.6
Lane,93903,24.6,93652,30,49885,65.5
Lincoln,16493,33,16460,39.4,9928,67.7
Linn,29163,22.5,29099,28.9,14872,60.1
Malheur,6415,21,6406,28.3,3136,61
Marion,80089,23,79842,30.3,36783,65.4
Morrow,2971,25.6,2959,35.1,1144,58.8
Multnomah,222066,27.3,221270,33.4,83621,74.1
Polk,22809,26.5,22744,34,10904,68.5
Sherman,499,28,497,34.4,268,59.2
Tillamook,6690,24.7,6680,30.4,4130,57.8
Umatilla,17850,22.9,17687,30.3,7505,60
Union,5962,22.2,5953,28.4,3270,56.7
Unknown,24867,N/A,24843,N/A,8722,N/A
Wallowa,2371,32.9,2369,40.5,1438,67.1
Wasco,7425,27.8,7403,35.6,3556,63.5
Washington,135596,22.5,134961,28.9,54622,65.5
Wheeler,502,37.7,502,43.8,308,63.6
Yamhill,25731,24,25646,30.6,11718,61.4
