County Level Vaccination Data for Puerto Rico
Date generated: Tue Apr 20 2021 12:47:25 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adjuntas,3107,17.9,3106,21.8,1591,53.9
Aguada,5545,15.1,5542,18.4,2341,37.5
Aguadilla,9500,18.9,9493,23,4196,49.1
Aguas Buenas,4981,20.1,4979,24.5,1988,47.1
Aibonito,5826,26.4,5821,32.1,3010,80.1
Arecibo,18263,22.3,18249,27.1,7330,52.6
Arroyo,2491,14.5,2491,17.6,1274,43.5
Añasco,4179,16,4177,19.5,1948,43.8
Barceloneta,4534,19.1,4533,23.3,1924,47.7
Barranquitas,6068,21.9,6066,26.7,2335,49.5
Bayamón,39096,23.1,39083,28.1,16906,58.8
Cabo Rojo,8247,17.4,8237,21.1,3749,46.4
Caguas,25050,20.1,25040,24.5,11380,53.7
Camuy,4934,16.2,4932,19.7,1691,32.6
Canóvanas,7944,17.8,7938,21.7,3011,39.6
Carolina,27329,18.6,27315,22.6,10963,43.9
Cataño,3712,16.1,3712,19.6,1711,43.5
Cayey,8448,19.9,8440,24.3,4175,57.9
Ceiba,1793,16.4,1793,20,968,52.2
Ciales,3244,20.5,3243,25,1395,51.9
Cidra,6317,16.5,6314,20.1,2638,40.5
Coamo,6895,18,6893,21.9,3850,59.1
Comerío,2186,11.7,2186,14.3,660,20.8
Corozal,4812,14.9,4810,18.1,2029,37
Culebra,844,49.2,844,60,139,47.8
Dorado,6579,18.2,6574,22.2,2499,40.7
Fajardo,5692,19.3,5692,23.5,2896,57.8
Florida,2635,23.3,2633,28.3,1252,65.1
Guayama,5678,14.4,5675,17.5,2845,42.4
Guayanilla,3193,18.1,3192,22.1,1623,54.2
Guaynabo,21632,25.8,21617,31.5,8771,61.6
Gurabo,7385,15.7,7385,19.1,2936,36.7
Guánica,2211,14.4,2211,17.5,1117,42.7
Hatillo,7351,18.7,7346,22.8,3172,47.6
Hormigueros,3195,20.6,3193,25.1,1665,63.1
Humacao,9490,18.7,9487,22.8,4716,54.8
Isabela,6356,15.7,6354,19.2,2977,43.3
Jayuya,2482,17.9,2482,21.8,1352,57.3
Juana Díaz,8004,17.9,8004,21.8,3682,48.5
Juncos,5675,14.9,5674,18.1,2449,37.8
Lajas,4413,20,4413,24.4,2195,58.7
Lares,6039,24.9,6036,30.3,2745,66.5
Las Marías,1985,25,1984,30.5,1133,84.1
Las Piedras,5621,15.2,5620,18.5,2519,40
Loíza,2634,10.7,2632,13.1,810,19.4
Luquillo,2383,13.5,2383,16.4,1211,40.3
Manatí,7729,20.7,7726,25.2,3476,54.8
Maricao,645,11.9,644,14.5,264,28.6
Maunabo,1172,11.4,1172,13.8,602,34.3
Mayagüez,15695,21.9,15685,26.7,8068,66.3
Moca,7292,20.9,7288,25.5,3157,53.2
Morovis,4991,16.5,4991,20,1898,36.8
Naguabo,3143,12.2,3143,14.9,1580,36.1
Naranjito,4249,15.5,4248,18.9,1636,35.2
Orocovis,3550,17.6,3550,21.4,1372,39.9
Patillas,1789,11,1789,13.4,803,29.1
Peñuelas,2825,14.7,2825,17.9,1246,38.1
Ponce,30088,22.8,30073,27.8,14326,63.9
Quebradillas,4469,19.5,4469,23.8,2069,53.1
Rincón,2239,16.4,2238,20,1208,52
Río Grande,6745,14,6743,17.1,2993,36.7
Sabana Grande,4381,20.2,4381,24.6,2401,65.1
Salinas,5552,20.5,5552,24.9,2740,59.4
San Germán,5296,17.5,5295,21.3,2626,51.1
San Juan,62620,19.7,62577,23.9,26742,49.4
San Lorenzo,5306,14.7,5301,17.9,2347,38.4
San Sebastián,10681,30.1,10675,36.6,5362,88.8
Santa Isabel,2923,13.8,2920,16.8,1037,28.8
Toa Alta,11405,15.8,11401,19.3,4053,33.1
Toa Baja,12603,17,12595,20.7,5657,44.8
Trujillo Alto,10549,16.6,10543,20.2,4450,41.1
Unknown,26442,N/A,26430,N/A,15135,N/A
Utuado,4675,17.1,4674,20.8,2262,48.6
Vega Alta,5600,15.5,5595,18.9,2679,43.7
Vega Baja,10374,20.7,10366,25.3,4429,52.1
Vieques,4453,53.1,4452,64.7,1284,90
Villalba,6746,31.6,6744,38.5,3066,84.4
Yabucoa,3598,11.1,3598,13.6,1579,28.8
Yauco,5990,17.8,5989,21.7,2963,51.9
