County Level Vaccination Data for South Carolina
Date generated: Tue Apr 20 2021 12:47:56 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Abbeville,5227,21.3,5219,26.5,2982,54.4
Aiken,35539,20.8,35472,26.4,18514,54.5
Allendale,1638,18.9,1635,23.2,878,48.3
Anderson,39719,19.6,39648,25.3,20934,56.4
Bamberg,2910,20.7,2910,25.5,1599,50.7
Barnwell,4137,19.8,4131,25.9,2127,53.9
Beaufort,58421,30.4,58296,37.1,37247,69.2
Berkeley,36801,16.1,36736,21.1,17763,55
Calhoun,2499,17.2,2496,21.1,1350,38.8
Charleston,120766,29.4,120488,36.4,50564,72.4
Cherokee,7730,13.5,7721,17.5,4335,44.2
Chester,5928,18.4,5925,23.7,3279,53
Chesterfield,7877,17.3,7866,22,4156,47.9
Clarendon,7732,22.9,7721,28.2,4292,52.6
Colleton,6415,17,6409,21.9,3875,49.7
Darlington,15003,22.5,14982,28.8,8057,62
Dillon,5993,19.7,5978,26.2,3025,57.9
Dorchester,30324,18.6,30263,24.5,14721,62.3
Edgefield,7417,27.2,7409,33,3385,63.8
Fairfield,5103,22.8,5097,28.1,2919,58.2
Florence,34438,24.9,34359,32.5,16038,66.7
Georgetown,18310,29.2,18279,35.5,11034,61.5
Greenville,116857,22.3,116500,28.9,54843,64.9
Greenwood,17955,25.4,17928,32.7,9524,71.3
Hampton,4770,24.8,4765,31.5,2487,68.9
Horry,95606,27,95493,32.7,58539,65.9
Jasper,3832,12.7,3827,15.9,2115,34.9
Kershaw,13169,19.8,13136,25.7,6445,51.8
Lancaster,16927,17.3,16896,22,9558,45.5
Laurens,12368,18.3,12349,23.4,7009,55.2
Lee,2990,17.8,2988,22.1,1732,52.3
Lexington,66105,22.1,65892,28.7,30429,62.8
Marion,6758,22,6750,28.4,3582,56.4
Marlboro,5180,19.8,5176,24.7,2519,51.8
McCormick,3545,37.5,3544,42.3,2547,75.6
Newberry,9136,23.8,9115,30.1,5004,64.2
Oconee,18811,23.6,18790,29.5,11671,62.3
Orangeburg,19701,22.9,19673,29.2,10303,58.7
Pickens,27003,21.3,26939,26.1,14040,66.1
Richland,97265,23.4,96867,29.6,37925,69.1
Saluda,2865,14,2863,17.8,1421,34.2
Spartanburg,54370,17,54261,22.1,28069,53.5
Sumter,22429,21,22389,27.5,10588,58.9
Union,4460,16.3,4455,20.7,2859,50.8
Unknown,81384,N/A,81261,N/A,36796,N/A
Williamsburg,8189,27,8181,33.8,3949,59.8
York,45787,16.3,45621,21.4,19037,46
