County Level Vaccination Data for South Dakota
Date generated: Tue Apr 20 2021 12:48:13 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aurora,629,22.9,629,30.4,335,58.9
Beadle,3717,20.1,3716,27.6,1711,52.2
Bennett,818,24.3,801,35.9,310,69.4
Bon Homme,2135,30.9,2132,38.3,961,67
Brookings,6023,17.2,6014,21.6,2551,58.3
Brown,11494,29.6,11473,38.7,5136,73.8
Brule,1130,21.3,1130,28.7,435,41.7
Buffalo,496,25.3,496,41.2,112,75.7
Butte,1518,14.6,1516,19.3,959,44.8
Campbell,263,19.1,263,22.9,166,41.2
Charles Mix,2235,24.1,2232,34.2,1059,61.3
Clark,965,25.8,965,35.3,554,68
Clay,4566,32.5,4556,39.2,1680,94.8
Codington,4813,17.2,4803,22.5,2737,53.3
Corson,676,16.5,675,26,248,50.6
Custer,1889,21.1,1886,24.7,1253,44.1
Davison,3850,19.5,3844,25.3,2099,55.5
Day,1575,29,1573,37.4,848,59.7
Deuel,807,18.5,807,24.1,458,47.8
Dewey,1581,26.8,1563,42.7,455,77.6
Douglas,580,19.9,577,26.7,358,51
Edmunds,627,16.4,626,21.2,381,45.2
Fall River,1896,28.2,1895,33.9,1189,59.2
Faulk,636,27.7,635,37.2,365,67.2
Grant,1644,23.3,1638,30,917,60.8
Gregory,944,22.6,944,29.6,624,57.9
Haakon,301,15.9,301,20.7,202,42
Hamlin,924,15,924,22.2,545,57.2
Hand,725,22.7,724,28.9,427,52
Hanson,525,15.2,523,21.7,325,60.6
Harding,109,8.4,109,11,82,34.7
Hughes,4430,25.3,4424,33.3,1814,57.4
Hutchinson,1559,21.4,1556,28.6,979,58.6
Hyde,345,26.5,345,33.8,188,57.7
Jackson,673,20.1,650,29.8,240,53.2
Jerauld,544,27,544,35.3,305,55.7
Jones,254,28.1,253,35.7,158,73.5
Kingsbury,1762,35.7,1761,46.6,1019,87.8
Lake,2603,20.3,2602,25.5,1220,40.3
Lawrence,5413,20.9,5400,25.3,3013,50.9
Lincoln,12638,20.7,12587,28.5,3858,47.1
Lyman,1130,29.9,1130,42.3,428,69.9
Marshall,1368,27.7,1367,36.4,717,68.5
McCook,1285,23,1280,31.7,633,59.9
McPherson,124,5.2,123,6.9,70,10.4
Meade,7081,25,7027,32,2469,54.5
Mellette,406,19.7,399,28,154,50.5
Miner,723,32.6,723,42.9,381,81.9
Minnehaha,55558,28.8,55366,38.3,19593,75.2
Moody,1731,26.3,1729,35.8,780,61.9
Oglala Lakota County,3955,27.9,3783,42.2,658,62.5
Pennington,24774,21.8,24547,28,10362,49.1
Perkins,437,15.3,437,19.2,291,38.3
Potter,523,24.3,523,30.8,370,58.9
Roberts,3083,29.7,3081,41.9,1213,59.1
Sanborn,524,22.4,524,29.8,271,57.2
Spink,1391,21.8,1390,28.3,754,55.8
Stanley,1003,32.4,1001,43.2,491,77.8
Sully,217,15.6,215,19.7,118,32.5
Todd,2588,25.4,2520,42.5,522,68.4
Tripp,1016,18.7,1015,24.4,557,45
Turner,1708,20.4,1704,26.9,864,48.2
Union,4034,25.3,4029,33.4,1761,59.5
Unknown,63786,N/A,63706,N/A,29971,N/A
Walworth,1024,18.8,1023,24.5,586,44.4
Yankton,7622,33.4,7597,42.2,3556,80
Ziebach,261,9.5,257,12.9,89,33.7
