County Level Vaccination Data for Vermont
Date generated: Tue Apr 20 2021 12:50:20 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Addison,9553,26,9521,31,5109,67.2
Bennington,6470,18.2,6461,22.4,3694,44.6
Caledonia,4461,14.9,4460,18.4,2396,36.2
Chittenden,48097,29.4,47978,35.5,18895,74.2
Essex,937,15.2,937,18.3,571,34.9
Franklin,6792,13.7,6778,17.6,3176,38.5
Grand Isle,2358,32.6,2354,39.7,1316,84.5
Lamoille,5641,22.2,5624,27.8,2830,62.3
Orange,6100,21.1,6089,25.7,3044,47.8
Orleans,6222,23,6216,28.5,3730,59.3
Rutland,18015,31,17973,37.5,9530,72
Unknown,49185,N/A,49067,N/A,24971,N/A
Washington,11223,19.2,11193,23.5,5428,46.1
Windham,10057,23.8,10035,28.9,5613,55.7
Windsor,12258,22.3,12242,27.1,6224,46.7
