County Level Vaccination Data for Virginia
Date generated: Tue Apr 20 2021 12:50:36 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Accomack,9922,30.7,9896,38.6,5417,68.3
Albemarle,12048,11,11978,13.6,5045,23.8
Alexandria,20534,12.9,20476,15.7,5963,30.7
Alleghany,273,1.8,273,2.2,151,4
Amelia,169,1.3,169,1.6,127,4.8
Amherst,5204,16.5,5195,20.4,2535,37.1
Appomattox,187,1.2,186,1.5,95,2.8
Arlington,37948,16,37867,19.5,7480,28.5
Augusta,10152,13.4,10122,16.4,4882,29.5
Bath,399,9.6,399,11.3,232,20
Bedford,8759,11.1,8751,13.8,4763,27.6
Bland,274,4.4,274,5.1,149,10
Botetourt,3595,10.8,3581,13.2,1796,23.1
Bristol,4832,28.8,4825,36,2566,70.8
Brunswick,2749,16.9,2743,20.2,1402,39.7
Buchanan,4124,19.6,4121,23.7,1723,35.6
Buckingham,821,4.8,821,5.8,435,12.6
Buena Vista,N/A,N/A,N/A,N/A,N/A,N/A
Campbell,5026,9.2,5022,11.4,2380,21.4
Caroline,1638,5.3,1637,6.9,807,15.5
Carroll,1295,4.3,1295,5.3,768,10.1
Charles City,161,2.3,161,2.7,74,4.2
Charlotte,683,5.7,681,7.2,389,14.5
Charlottesville,706,1.5,706,1.8,279,4.8
Chesapeake,11926,4.9,11890,6.4,4144,12.3
Chesterfield,52429,14.9,52069,19.3,20322,37.4
Clarke,3146,21.5,3143,26.7,1618,50.7
Colonial Heights,89,0.5,89,0.7,17,0.5
Covington,N/A,N/A,N/A,N/A,N/A,N/A
Craig,60,1.2,60,1.4,44,3.6
Culpeper,2745,5.2,2742,6.9,1145,13.6
Cumberland,334,3.4,334,4.1,184,8
Danville,N/A,N/A,N/A,N/A,N/A,N/A
Dickenson,2720,19,2714,23.6,1385,42.1
Dinwiddie,3483,12.2,3476,15.2,1416,27.7
Emporia,N/A,N/A,N/A,N/A,N/A,N/A
Essex,721,6.6,719,8,425,16.3
Fairfax,242893,21.2,241667,27.4,83543,52.1
Fairfax,588,2.4,585,3.2,215,6.2
Falls Church,391,2.7,391,3.6,93,4.5
Fauquier,11354,15.9,11303,20.6,4526,37.5
Floyd,423,2.7,423,3.3,210,5.7
Fluvanna,5850,21.5,5833,26.7,2830,50.5
Franklin,7224,12.9,7207,15.8,3901,28.8
Franklin,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,7272,8.1,7258,10.5,3600,22.6
Fredericksburg,627,2.2,624,2.7,197,5.7
Galax,N/A,N/A,N/A,N/A,N/A,N/A
Giles,1696,10.1,1693,12.7,812,21.7
Gloucester,9361,25.1,9353,31.3,4774,65.1
Goochland,5043,21.2,5028,25.6,2531,46.6
Grayson,2028,13,2027,15.6,941,23.9
Greene,203,1,202,1.3,109,3.1
Greensville,300,2.6,300,3.2,148,8.5
Halifax,3602,10.6,3589,13.3,1869,22.3
Hampton,23837,17.7,23784,22.4,9096,43
Hanover,15332,14.2,15218,18,6217,31.4
Harrisonburg,539,1,539,1.2,77,1.5
Henrico,33241,10,33020,12.9,13542,25.7
Henry,4233,8.4,4227,10.3,2143,17.3
Highland,798,36.4,796,41.9,495,63.6
Hopewell,N/A,N/A,N/A,N/A,N/A,N/A
Isle of Wight,3084,8.3,3078,10.5,1342,18.2
James City,2794,3.7,2786,4.5,1388,7
King George,1372,5.1,1368,6.8,347,9.6
King William,2397,14,2391,18.1,1137,40.6
King and Queen,925,13.2,924,15.9,505,30.4
