County Level Vaccination Data for Washington
Date generated: Tue Apr 20 2021 12:50:51 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,4408,22.1,4404,34.4,1652,73
Asotin,4609,20.4,4607,25.5,3166,58.5
Benton,48114,23.5,47979,32,21771,69.2
Chelan,27156,35.2,27041,45.6,11537,76.1
Clallam,30463,39.4,30438,47.3,17416,73.9
Clark,117758,24.1,117462,31.4,58068,74.5
Columbia,953,23.9,953,29.2,571,50.4
Cowlitz,28759,26,28725,33.6,15219,71.2
Douglas,12525,28.8,12484,38.7,5028,63.8
Ferry,1977,25.9,1977,31,1089,50.6
Franklin,16670,17.5,16642,25.7,5964,64.9
Garfield,382,17.2,380,21.6,230,40.8
Grant,21550,22,21468,31.1,9243,67.3
Grays Harbor,20978,27.9,20947,35,11080,66.2
Island,25091,29.5,25055,35.9,14486,67.5
Jefferson,13961,43.3,13950,49.1,9996,81.8
King,637180,28.3,634721,35.2,228571,75.1
Kitsap,76201,28.1,76026,35.1,37753,75.7
Kittitas,11840,24.7,11827,29.7,6066,75.5
Klickitat,5832,26,5818,32.1,3536,64.3
Lewis,17479,21.7,17464,27.5,9790,56.9
Lincoln,2780,25.4,2776,32.4,1689,59.6
Mason,17901,26.8,17882,33.3,10518,67.6
Okanogan,15405,36.5,15378,47.4,6789,72.9
Pacific,6289,28,6264,32.9,4475,61.9
Pend Oreille,2515,18.3,2512,22.6,1634,44.2
Pierce,209549,23.2,209194,30.1,89014,69.3
San Juan,6429,36.6,6424,41.8,4344,70.3
Skagit,38151,29.5,38084,37.5,20767,74.8
Skamania,2204,18.2,2202,22.3,1230,46
Snohomish,199702,24.3,199158,31.2,80674,70.3
Spokane,129874,24.8,129661,31.8,60487,69.8
Stevens,7261,15.9,7251,20.1,4362,40
Thurston,77285,26.6,77144,33.7,36505,70.4
Unknown,90347,N/A,90009,N/A,29439,N/A
Wahkiakum,1251,27.9,1250,33.6,796,53.7
Walla Walla,19376,31.9,19298,40,8093,71.2
Whatcom,69050,30.1,68740,37.1,31408,76.2
Whitman,9263,18.5,9243,21.7,3843,71.5
Yakima,64680,25.8,64334,36.4,25494,72.4
