County Level Vaccination Data for West Virginia
Date generated: Tue Apr 20 2021 12:51:08 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Barbour,268,1.6,267,2,177,5.2
Berkeley,19766,16.6,19720,21.5,8597,47.9
Boone,4287,20,4278,25.2,2165,48.3
Braxton,1064,7.6,1064,9.4,633,19.1
Brooke,2774,12.6,2760,15.2,1494,27.7
Cabell,10877,11.8,10774,14.6,4614,25.8
Calhoun,540,7.6,540,9.3,298,16.3
Clay,1126,13.2,1124,17,630,35
Doddridge,137,1.6,137,1.9,82,4.4
Fayette,7281,17.2,7226,21.4,3462,37.5
Gilmer,2085,26.7,2085,31.1,683,49.3
Grant,1006,8.7,1002,10.7,558,19.2
Greenbrier,7767,22.4,7703,27.6,3765,46.3
Hampshire,2739,11.8,2736,14.4,1521,28
Hancock,3573,12.4,3562,15.3,1903,27.8
Hardy,2015,14.6,2012,18.4,999,32.3
Harrison,9489,14.1,9443,17.8,4571,34.4
Jackson,2399,8.4,2393,10.6,1399,23.5
Jefferson,8119,14.2,8107,18.2,3824,40
Kanawha,34715,19.5,34488,24.2,15699,41.6
Lewis,3188,20,3176,25.3,1537,45.7
Lincoln,1883,9.2,1882,11.9,970,23.8
Logan,6268,19.6,6248,24.6,2889,42.9
Marion,2042,3.6,2039,4.5,1232,11.1
Marshall,1770,5.8,1762,7.1,912,13
Mason,4017,15.1,4016,19.1,2163,37.7
McDowell,2454,13.9,2436,17.4,1023,25.4
Mercer,13108,22.3,13073,28.1,6164,46.8
Mineral,5801,21.6,5800,26.9,3111,52.3
Mingo,3706,15.8,3700,20.4,1761,38
Monongalia,8949,8.5,8928,10.1,3081,22.1
Monroe,2684,20.2,2670,25,1316,39
Morgan,177,1,177,1.2,132,3.1
Nicholas,5498,22.4,5457,28.1,2672,47.6
Ohio,1486,3.6,1477,4.4,677,7.4
Pendleton,1748,25.1,1748,30.7,1001,51
Pleasants,318,4.3,318,5.2,215,14.7
Pocahontas,1471,17.8,1469,21.5,817,37.9
Preston,7274,21.8,7257,26.8,3261,46.7
Putnam,4393,7.8,4381,9.9,2219,20.8
Raleigh,9952,13.6,9915,17.1,4770,30.7
Randolph,6004,20.9,5968,25.7,2920,45.8
Ritchie,1259,13.2,1257,16.4,752,34.3
Roane,218,1.6,217,2,139,4.5
Summers,1018,8.1,1009,9.6,559,17
Taylor,279,1.7,279,2.1,181,5.2
Tucker,1589,23.2,1569,26.9,747,40.7
Tyler,980,11.4,977,14.1,529,26.3
Unknown,223019,N/A,222010,N/A,101827,N/A
Upshur,801,3.3,799,4.1,539,10.6
Wayne,7981,20.3,7972,25.3,3878,45.3
Webster,1730,21.3,1718,26.3,926,47.5
Wetzel,739,4.9,735,6.1,448,12.8
Wirt,28,0.5,28,0.6,25,2.1
Wood,15487,18.5,15474,23.4,9068,51.9
Wyoming,5677,27.8,5625,34.7,2649,59.1
