County Level Vaccination Data for Wisconsin
Date generated: Tue Apr 20 2021 12:51:24 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,5757,28.5,5751,33.1,3672,60.2
Ashland,5714,36.7,5712,47.1,2711,86
Barron,12838,28.4,12816,36.1,7072,69.2
Bayfield,7637,50.8,7623,61.3,3747,88.3
Brown,79042,29.9,78785,38.9,32524,79.7
Buffalo,3713,28.5,3703,35.7,2036,68.6
Burnett,4712,30.6,4708,37,2991,66.1
Calumet,13075,26.1,13036,33.9,5927,75.4
Chippewa,18859,29.2,18817,37.2,9388,78.8
Clark,6154,17.7,6144,25,3489,58.9
Columbia,17691,30.7,17643,38.8,8902,84.1
Crawford,5205,32.3,5196,40.3,2891,74.8
Dane,205351,37.6,204358,46.8,70314,90.4
Dodge,20879,23.8,20846,29.5,11174,69.9
Door,11294,40.8,11276,48.7,6788,80.5
Douglas,8755,20.3,8733,25.2,4381,52.9
Dunn,10106,22.3,10083,27.6,5052,69.2
Eau Claire,32179,30.8,32064,38.4,13377,78.9
Florence,1295,30.2,1294,35.1,762,65.6
Fond du Lac,27718,26.8,27667,34,14280,72.7
Forest,3028,33.6,3025,41.8,1613,77.6
Grant,14600,28.4,14571,35.7,7944,87.5
Green,12677,34.3,12628,43.8,5736,80.6
Green Lake,5613,29.7,5602,37.9,3239,75.1
Iowa,7965,33.6,7943,43.2,3952,85.7
Iron,2083,36.6,2083,43.1,1324,72.6
Jackson,5665,27.4,5656,35,2675,67.3
Jefferson,22392,26.4,22353,33.3,10704,71.5
Juneau,7392,27.7,7371,34.5,4102,73.7
Kenosha,47131,27.8,46969,35.7,18444,74.7
Kewaunee,5434,26.6,5424,33.8,2910,68.1
La Crosse,37404,31.7,37300,39.3,16701,83.8
Lafayette,5440,32.6,5430,42.8,2632,81.5
Langlade,5407,28.2,5398,34.9,3289,69.4
Lincoln,7289,26.4,7277,32.2,4641,75.9
Manitowoc,23459,29.7,23392,37.2,12707,76.2
Marathon,31804,23.4,31709,30.2,16821,68.2
Marinette,10142,25.1,10137,31,6561,66.3
Marquette,4667,30,4660,37.1,2777,71.1
Menominee,1749,38.4,1749,57.5,559,87.8
Milwaukee,244134,25.8,243137,33.8,92552,70
Monroe,12288,26.6,12239,35.4,6139,75.8
Oconto,10818,28.5,10790,35.6,5771,72.9
Oneida,12790,35.9,12774,43.3,7705,81.1
Outagamie,52045,27.7,51884,36,22538,78.6
Ozaukee,29751,33.3,29596,42.1,14514,79.9
Pepin,2085,28.6,2082,36.1,1207,70.4
Pierce,8521,19.9,8503,25.1,4739,72.7
Polk,10668,24.4,10651,30.6,6592,70.6
Portage,18128,25.6,18064,31.5,9112,74.3
Price,3995,29.9,3982,36.3,2539,71.9
Racine,50956,26,50807,33.6,24156,71.8
Richland,5194,30.1,5171,38.3,3048,75
Rock,46386,28.4,46328,36.8,24117,86.4
Rusk,2842,20,2837,25.1,1869,53.1
Sauk,19219,29.8,19161,38.5,10106,82.3
Sawyer,5488,33.1,5463,40.8,3169,71.7
Shawano,11578,28.3,11566,36,5778,65.5
Sheboygan,31328,27.2,31238,34.7,15878,74.2
St. Croix,16994,18.7,16950,24.7,9102,68.3
Taylor,3532,17.4,3530,22.6,2139,53.7
Trempealeau,9572,32.3,9555,43,5016,91.7
Unknown,48013,N/A,47919,N/A,14441,N/A
Vernon,9043,29.3,9009,39.5,4651,75.6
Vilas,7918,35.7,7911,42.9,5015,72.8
Walworth,24395,23.5,24360,29.4,13163,69
Washburn,5612,35.7,5599,43.9,3482,80.9
Washington,34083,25.1,34015,31.9,18430,73.3
Waukesha,129206,32,128692,40.5,60600,78.1
Waupaca,13775,27,13751,33.8,7882,72.6
Waushara,5946,24.3,5939,29.7,3634,59.4
Winnebago,47885,27.9,47744,34.9,22205,76.8
Wood,21445,29.4,21357,37.3,11438,74.2
