County Level Vaccination Data for Alabama
Date generated: Fri Apr 23 2021 10:37:35 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Autauga,8285,14.8,8269,19.3,3665,41.1
Baldwin,45140,20.2,45073,25.7,25269,54
Barbour,3600,14.6,3599,18.4,2239,46.1
Bibb,2929,13.1,2924,16.4,1532,41
Blount,6446,11.1,6441,14.5,3594,33.2
Bullock,2489,24.6,2485,31.1,984,57.5
Butler,3041,15.6,3040,20,1717,42.4
Calhoun,21975,19.3,21952,24.6,11193,54.5
Chambers,4670,14,4662,17.7,2451,36.5
Cherokee,4176,15.9,4175,19.6,2435,39.5
Chilton,5001,11.3,4999,14.8,2870,37.8
Choctaw,3325,26.4,3325,32.9,1845,62.1
Clarke,5201,22,5198,28,2802,57.9
Clay,2357,17.8,2354,22.3,1130,40.6
Cleburne,2248,15.1,2248,19.5,1276,42.4
Coffee,8483,16.2,8460,21.2,4676,51.8
Colbert,12339,22.3,12327,28.2,6197,56
Conecuh,2412,20,2411,25.1,1319,46.6
Coosa,2179,20.4,2179,24.4,1190,46.3
Covington,5807,15.7,5800,20.1,3364,42.5
Crenshaw,2221,16.1,2221,20.9,1192,44.6
Cullman,15470,18.5,15451,23.8,8429,53.6
Dale,11464,23.3,11450,30.1,4740,55.8
Dallas,7075,19,7065,24.8,3428,48.8
DeKalb,8982,12.6,8975,16.5,4788,38
Elmore,13223,16.3,13203,20.9,6525,51.6
Escambia,5470,14.9,5465,19.2,3316,49.6
Etowah,16534,16.2,16526,20.5,8884,44.9
Fayette,2710,16.6,2709,21.1,1591,44.9
Franklin,6552,20.9,6545,27.7,3194,59.4
Geneva,4973,18.9,4969,24.2,2884,53.2
Greene,1733,21.4,1729,27.3,917,48.5
Hale,4085,27.9,4072,36.1,1745,60.5
Henry,3762,21.9,3752,27.4,2088,51.8
Houston,21802,20.6,21773,26.7,10676,55.7
Jackson,10646,20.6,10639,26,6141,58
Jefferson,158759,24.1,158482,31.2,66368,61.8
Lamar,3032,22,3032,27.9,1753,57.3
Lauderdale,20424,22,20413,27.3,10478,55.1
Lawrence,6969,21.2,6965,27,3751,59.7
Lee,33971,20.6,33777,26,10209,50
Limestone,15564,15.7,15551,20.2,7831,51.9
Lowndes,1921,19.8,1916,25.3,894,46.5
Macon,4083,22.6,4062,27.1,1915,50.6
Madison,89283,23.9,89121,30.5,38273,67
Marengo,4764,25.3,4760,32.6,2337,62.3
Marion,4862,16.4,4862,20.7,2851,44.6
Marshall,16452,17,16436,22.7,8809,52.6
Mobile,86794,21,86608,27.3,37860,55.1
Monroe,3721,17.9,3720,22.7,2016,46
Montgomery,45368,20,45267,26.1,16909,47.9
Morgan,23254,19.4,23239,25.2,12206,57.2
Perry,2285,25.6,2274,32.2,956,53.3
Pickens,3780,19,3779,23.5,1840,47.3
Pike,6140,18.5,6136,22.9,2985,59.3
Randolph,3709,16.3,3709,20.7,2144,45.2
Russell,8457,14.6,8439,19.2,4202,48.9
Shelby,28427,13.1,28379,17,11999,34.6
St. Clair,13085,14.6,13078,18.9,6854,45.4
Sumter,2790,22.5,2786,27.7,1271,54.7
Talladega,11944,14.9,11939,18.9,6241,42.3
Tallapoosa,8053,19.9,8046,25,4487,49.9
Tuscaloosa,35695,17,35649,21.6,14700,51.1
Unknown,81449,N/A,81332,N/A,27090,N/A
Walker,12598,19.8,12585,25.5,6799,54.8
Washington,2990,18.3,2988,23.5,1672,51.9
Wilcox,2472,23.8,2472,31.1,1192,56.6
Winston,2096,8.9,2096,11.1,1302,25.2
