County Level Vaccination Data for Alaska
Date generated: Fri Apr 23 2021 10:38:08 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aleutians East,915,27.4,892,28.9,132,37.6
Aleutians West,1431,25.4,1420,28.4,208,49.6
Anchorage,104188,36.2,102300,46.8,26097,77.3
Bethel,7491,40.7,7257,61.3,1093,75.5
Bristol Bay,415,49.6,411,59.8,113,83.1
Denali,709,33.8,702,41.3,167,70.2
Dillingham,1561,31.8,1518,45,313,63.4
Fairbanks North Star,25874,26.7,25430,34.4,6965,64.3
Haines,1283,50.7,1281,61.8,406,74.1
Hoonah-Angoon,1101,51.3,1077,61,369,71.5
Juneau,13741,43,13569,53.8,3847,86.2
Kenai Peninsula,17150,29.2,16963,37.3,6866,63.7
Ketchikan Gateway,4877,35.1,4856,44.6,1694,73.9
Kodiak Island,5111,39.3,5028,51.5,1212,82.1
Kusilvak Census Area,N/A,N/A,N/A,N/A,N/A,N/A
Lake and Peninsula,592,37.2,590,51.9,116,63.4
Matanuska-Susitna,22844,21.1,22435,28.1,7633,55.5
Nome,4746,47.4,4566,69.8,673,83.8
North Slope,2329,23.7,2254,31.3,396,53.8
Northwest Arctic,2621,34.4,2510,51.6,423,75.9
Petersburg,1774,54.3,1748,67.1,560,83.6
Prince of Wales-Hyder,2009,32.4,1996,41.4,692,61.5
Sitka,4527,53.3,4423,65.6,1116,81.8
Skagway,654,55.3,646,64.5,137,73.3
Southeast Fairbanks,1262,18.3,1256,24.3,566,52.5
Unknown,5511,N/A,5453,N/A,1073,N/A
Wrangell,996,39.8,986,49.1,368,59.9
Yakutat,310,53.5,309,64.8,88,72.1
Yukon-Koyukuk,2442,46.7,2393,63.5,631,76.8
