County Level Vaccination Data for Arizona
Date generated: Fri Apr 23 2021 10:38:25 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Apache,32006,44.5,30433,58,8171,72.1
Cochise,32761,26,32734,33.1,16918,58.1
Coconino,59291,41.3,58377,50.9,17232,92.3
Gila,18844,34.9,18730,43.2,8938,56.3
Graham,10118,26.1,10064,35.3,3907,71.8
Greenlee,2594,27.3,2594,37.4,799,61.6
La Paz,5278,25,5278,30,3504,41.8
Maricopa,1077756,24,1071083,31.2,430329,61.8
Mohave,35309,16.6,35302,20,24546,37.2
Navajo,38122,34.4,36966,45.2,12825,61.6
Pima,326967,31.2,325444,39.1,149871,70.5
Pinal,105033,22.7,104805,29.1,54453,56.4
Santa Cruz,18073,38.9,18036,52.9,7046,82
Unknown,45568,N/A,45407,N/A,14981,N/A
Yavapai,59198,25.2,59149,29.9,38649,50.6
Yuma,51423,24.1,51227,32,21514,52.1
