County Level Vaccination Data for Arkansas
Date generated: Fri Apr 23 2021 10:38:50 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Arkansas,4777,27.3,4762,35.3,2116,59.6
Ashley,3999,20.3,3993,26.2,2261,54.9
Baxter,8623,20.6,8599,25,5432,41.6
Benton,52221,18.7,51962,25.2,19940,52.6
Boone,6309,16.9,6298,21.8,3675,46.9
Bradley,2855,26.5,2851,34.9,1291,62.4
Calhoun,877,16.9,877,20.8,478,42
Carroll,5874,20.7,5863,26.3,3112,46
Chicot,2758,27.3,2750,34.8,1397,65.4
Clark,5322,23.8,5305,29.3,2491,66.4
Clay,3570,24.5,3563,31.1,1885,59.2
Cleburne,5211,20.9,5203,25.7,3552,52.3
Cleveland,2060,25.9,2056,32.9,993,58.2
Columbia,4830,20.6,4826,25.9,2205,53
Conway,5464,26.2,5458,33.8,2563,62.3
Craighead,22060,20,21964,26.5,7671,49.7
Crawford,11131,17.6,11114,23.2,5092,46.9
Crittenden,8108,16.9,8092,23.1,2986,42.9
Cross,3723,22.7,3723,29.5,1746,55.1
Dallas,2042,29.1,2038,36.8,1033,60.4
Desha,3086,27.2,3032,35.7,1490,66.9
Drew,4217,23.1,4208,29.5,1759,53
Faulkner,28700,22.8,28550,29.3,10596,65.4
Franklin,4253,24,4247,30.9,2085,59
Fulton,1673,13.4,1673,17,923,28.4
Garland,22267,22.4,22168,27.9,12421,51.4
Grant,3447,18.9,3439,24.1,1705,50.6
Greene,9339,20.6,9325,27.2,4024,54.6
Hempstead,2463,11.4,2461,15.4,1085,27.2
Hot Spring,6481,19.2,6472,24.1,3265,50
Howard,3033,23,3032,31.1,1450,60.8
Independence,6266,16.6,6256,21.9,2929,43.1
Izard,2371,17.4,2371,21.2,1296,36.4
Jackson,3267,19.5,3261,24.4,1636,53.6
Jefferson,11778,17.6,11749,22.5,5493,45.7
Johnson,5972,22.5,5950,29.7,2434,54.3
Lafayette,1130,17.1,1130,20.9,664,40.6
Lawrence,3269,19.9,3264,25.6,1635,50
Lee,1552,17.5,1551,21.5,860,48.1
Lincoln,2123,16.3,2118,19.4,1051,50.8
Little River,1653,13.5,1650,17.4,1036,40.4
Logan,4484,20.9,4482,26.5,2384,54.2
Lonoke,14439,19.7,14402,26.3,5999,59.3
Madison,2651,16,2644,20.8,1432,44.6
Marion,2611,15.6,2609,19.1,1654,34
Miller,2445,5.7,2444,7.4,1422,19.1
Mississippi,6971,17.1,6958,23.2,3067,50.1
Monroe,1676,25,1671,31.4,787,48.8
Montgomery,2036,22.7,2036,27.8,1225,50.5
Nevada,1112,13.5,1108,17.4,502,29
Newton,1168,15.1,1168,18.7,790,37.4
Ouachita,5838,25,5827,32.1,2896,58.7
Perry,2546,24.4,2546,31.4,1332,62.2
Phillips,3800,21.4,3796,28.7,1803,52
Pike,2079,19.4,2078,24.7,1081,49.2
Poinsett,4578,19.5,4571,25.5,2012,46.6
Polk,2940,14.7,2932,19,1564,33.2
Pope,13904,21.7,13878,28,5861,56.6
Prairie,1498,18.6,1495,23.3,769,39.9
Pulaski,106685,27.2,106017,35.2,39511,62.7
Randolph,2471,13.8,2468,18,1151,32.5
Saline,27809,22.7,27675,29.4,10965,49.3
Scott,1730,16.8,1726,21.8,858,38.9
Searcy,1584,20.1,1583,25,991,48.4
Sebastian,21273,16.6,21175,21.8,8114,38.7
Sevier,3174,18.7,3166,26.1,1269,49.9
Sharp,2845,16.3,2842,20.5,1759,38.2
St. Francis,5914,23.7,5912,29.9,2351,55.9
Stone,2538,20.3,2533,25,1558,44.7
Union,7473,19.3,7462,25.4,3713,52.2
Unknown,74265,N/A,74023,N/A,25613,N/A
Van Buren,3429,20.7,3427,25.7,2236,50.6
Washington,49008,20.5,48819,26.9,16816,58.1
White,15562,19.8,15531,25.6,7932,60.1
Woodruff,1612,25.5,1612,32.4,878,59.5
Yell,4438,20.8,4433,27.4,1983,51.4
