County Level Vaccination Data for Colorado
Date generated: Fri Apr 23 2021 10:39:27 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,67118,13,66650,17.4,18558,33.4
Alamosa,2604,16,2598,21.1,699,31
Arapahoe,99427,15.1,98595,19.6,31031,35.1
Archuleta,2730,19.5,2702,23.4,717,18.7
Baca,317,8.9,317,11.4,140,16
Bent,311,5.6,311,6.6,122,11.6
Boulder,70652,21.7,70057,26.4,18850,39
Broomfield,15227,21.6,15042,27.4,3980,39.5
Chaffee,4049,19.9,4015,23.2,991,18.7
Cheyenne,145,7.9,145,10.6,53,13.8
Clear Creek,1363,14.1,1356,16.5,378,18.3
Conejos,1298,15.8,1296,21.1,572,35
Costilla,827,21.3,824,26.2,214,20.4
Crowley,378,6.2,375,7,157,18.5
Custer,728,14.4,727,16.6,367,21.9
Delta,5717,18.3,5706,22.8,3080,36.9
Denver,126702,17.4,125889,21.4,26555,30.6
Dolores,271,13.2,269,16.3,82,15.2
Douglas,67490,19.2,66778,25.4,19061,43.7
Eagle,15341,27.8,15140,34.9,1792,26.2
El Paso,128971,17.9,128499,23.4,41200,43.3
Elbert,2961,11.1,2945,14,1328,28.9
Fremont,6712,14,6710,16.7,3308,31.2
Garfield,9661,16.1,9600,21.3,1825,22
Gilpin,1035,16.6,1032,19.4,396,35.6
Grand,3237,20.6,3235,24.7,910,31.3
Gunnison,3912,22.4,3874,26.6,364,15.3
Hinsdale,172,21,171,24.5,60,23.3
Huerfano,1236,17.9,1236,21.4,652,29.4
Jackson,135,9.7,135,11.6,70,21.6
Jefferson,122768,21.1,121937,26,41022,41.5
Kiowa,110,7.8,109,10.1,38,11.7
Kit Carson,852,12,851,16,327,23.6
La Plata,16151,28.7,15973,34.9,4032,39.3
Lake,1224,15.1,1219,18.7,293,24.7
Larimer,75297,21.1,75037,26.1,23242,40.2
Las Animas,2866,19.8,2849,23.9,1065,28.9
Lincoln,647,11.3,647,14.3,218,21.7
Logan,2454,11,2450,13.3,1054,26
Mesa,31749,20.6,31417,25.9,13885,45.7
Mineral,168,21.8,168,25.4,71,27.5
Moffat,1411,10.6,1405,14.2,511,24.1
Montezuma,6590,25.2,6481,31.6,1683,28
Montrose,9381,21.9,9316,27.7,4795,46.5
Morgan,4149,14.3,4140,19.2,1352,29.9
Otero,2576,14.1,2557,18.4,935,24.7
Ouray,1405,28.4,1396,33.3,448,33.2
Park,2829,15,2825,17.6,1335,32.8
Phillips,513,12,513,15.9,156,15.7
Pitkin,3103,17.5,3089,20.4,531,14.7
Prowers,1398,11.5,1395,15.4,509,23.1
Pueblo,23722,14.1,23671,18.1,10031,31.4
Rio Blanco,534,8.4,533,11.1,228,22.1
Rio Grande,2481,22,2473,28.3,1006,42.8
Routt,7336,28.6,7294,34.6,1637,38.4
Saguache,663,9.7,663,12.3,301,18
San Juan,115,15.8,114,17.9,20,10.6
San Miguel,2852,34.9,2842,42,422,33.4
Sedgwick,318,14.1,317,17.5,111,18.2
Summit,7853,25.3,7827,30.1,1411,31.8
Teller,3501,13.8,3493,16.6,1741,29.6
Unknown,609264,N/A,608139,N/A,289663,N/A
Washington,463,9.4,463,12.1,213,20.3
Weld,48342,14.9,48145,20,15557,38.6
Yuma,1144,11.4,1142,15.7,316,16.9
