County Level Vaccination Data for Florida
Date generated: Fri Apr 23 2021 10:40:15 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alachua,78328,29.1,78236,35.4,31581,80.4
Baker,3658,12.5,3658,16.4,2211,53.7
Bay,37387,21.4,37364,26.9,19268,59.2
Bradford,3993,14.2,3993,17.6,2552,50.4
Brevard,156287,26,156204,31.7,93948,64.5
Broward,491746,25.2,490718,31.8,221354,66.2
Calhoun,2126,15.1,2126,18.8,1399,52.4
Charlotte,67936,36,67907,40.8,52703,68.4
Citrus,43438,29,43431,34,34011,61.9
Clay,41635,19,41597,24.6,20863,58.2
Collier,125767,32.7,125723,39.3,93133,73.5
Columbia,13036,18.2,13032,23.2,7858,56.9
DeSoto,6283,16.5,6282,20.4,4599,53.7
Dixie,2562,15.2,2562,18.6,1897,47.6
Duval,240317,25.1,240038,32.3,98477,71.1
Escambia,74590,23.4,74551,29.6,36283,66.5
Flagler,35068,30.5,35058,36.5,25079,69.9
Franklin,3036,25,3036,29.6,2069,70.7
Gadsden,11999,26.3,11991,33.5,6050,70.8
Gilchrist,2846,15.3,2844,19.1,1854,48.3
Glades,1956,14.2,1956,16.5,1366,35.9
Gulf,3311,24.3,3311,29.7,2330,64.5
Hamilton,2318,16.1,2318,19.8,1513,56.8
Hardee,3498,13,3497,17.4,2433,51.8
Hendry,6794,16.2,6791,22,3664,63.4
Hernando,46232,23.8,46211,29.1,31920,59.8
Highlands,25512,24,25509,28.9,20105,52.5
Hillsborough,333680,22.7,333303,29.1,130684,61.1
Holmes,2605,13.3,2604,16.7,1725,44
Indian River,49486,30.9,49470,36.7,36714,67.8
Jackson,8829,19,8828,23.4,5235,54.7
Jefferson,4737,33.3,4736,39.8,3220,91.7
Lafayette,1352,16.1,1352,20,1065,73.2
Lake,114885,31.3,114784,38.6,76798,77.3
Lee,204681,26.6,204633,32.1,148524,66.1
Leon,74894,25.5,74771,31.3,31791,77.9
Levy,8079,19.5,8073,24.1,5521,52.9
Liberty,1197,14.3,1197,17.3,713,56.8
Madison,3883,21,3882,25.7,2443,62.6
Manatee,107611,26.7,107573,32.5,73820,65.2
Marion,93253,25.5,93217,31.3,66106,62
Martin,49943,31,49922,37,36733,72.4
Miami-Dade,724148,26.7,722506,33.3,302280,66.8
Monroe,23406,31.5,23396,37.2,13832,78.5
Nassau,26413,29.8,26398,37.1,15695,77.6
Okaloosa,47437,22.5,47407,28.9,24679,71.8
Okeechobee,7381,17.5,7379,22.2,5457,64.3
Orange,321687,23.1,320954,29.5,118515,69.1
Osceola,77858,20.7,77775,27.3,35393,69.7
Palm Beach,406878,27.2,406413,33.5,248898,68.3
Pasco,129693,23.4,129595,29.3,76836,61.2
Pinellas,291325,29.9,291121,35.5,162821,65.8
Polk,145390,20.1,145290,25.7,87704,59.2
Putnam,12278,16.5,12275,20.9,8141,46.1
Santa Rosa,36949,20,36911,25.6,20207,67.1
Sarasota,153514,35.4,153433,41.2,115770,71.5
Seminole,105933,22.5,105737,28.3,48587,64.4
St. Johns,89919,34,89752,43.3,45886,84
St. Lucie,74029,22.5,74007,28,49103,60.7
Sumter,72444,54.7,72434,58.9,62244,80.8
Suwannee,7633,17.2,7631,21.8,5244,54.3
Taylor,3446,16,3443,19.9,2319,51.2
Union,1720,11.3,1720,14.1,1114,48.1
Unknown,65012,N/A,64975,N/A,21776,N/A
Volusia,138533,25,138479,30.3,91265,66.2
Wakulla,6793,20.1,6788,25.4,3908,72.8
Walton,14995,20.2,14989,25.4,9074,60.6
Washington,3358,13.2,3355,16.4,2055,46.9
