County Level Vaccination Data for Georgia
Date generated: Fri Apr 23 2021 10:41:16 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Appling,596,3.2,595,4.3,304,9.3
Atkinson,191,2.3,191,3.2,76,6.4
Bacon,276,2.5,276,3.3,121,6.4
Baker,496,16.3,496,20.3,256,35.6
Baldwin,1040,2.3,1040,2.8,483,6.5
Banks,751,3.9,749,5,408,12
Barrow,4424,5.3,4419,7.1,2390,22.5
Bartow,4382,4.1,4370,5.3,2158,13.9
Ben Hill,496,3,496,3.9,249,8.3
Berrien,1505,7.8,1504,10.2,880,26.3
Bibb,15101,9.9,15061,13,6852,28
Bleckley,213,1.7,212,2.1,103,4.7
Brantley,717,3.8,717,4.9,434,13.2
Brooks,2479,16,2472,20.4,1387,45
Bryan,6174,15.6,6138,21.9,2304,54.4
Bulloch,10678,13.4,10645,16.7,4871,52.6
Burke,3905,17.4,3902,23.4,1848,51.7
Butts,795,3.2,795,4,432,11
Calhoun,362,5.8,362,7,160,15.6
Camden,12140,22.2,12100,29.2,4667,60
Candler,557,5.2,557,6.9,248,12.3
Carroll,9722,8.1,9702,10.6,5117,30.8
Catoosa,2714,4,2709,5.2,760,6.2
Charlton,316,2.4,316,2.9,202,9.6
Chatham,70384,24.3,70078,30.6,29341,63.5
Chattahoochee,11599,99.9,11540,99.9,1530,99.9
Chattooga,617,2.5,613,3.2,296,6.8
Cherokee,32086,12.4,31974,16.2,15364,40.9
Clarke,14466,11.3,14431,13.6,7282,50.2
Clay,294,10.4,294,12.9,200,25.8
Clayton,12630,4.3,12575,5.9,5450,19.3
Clinch,967,14.6,967,19.5,512,46.1
Cobb,121174,15.9,120606,20.7,50050,51.8
Coffee,5373,12.4,5362,16.4,2390,39.2
Colquitt,2221,4.9,2213,6.5,937,12.8
Columbia,19849,12.7,19692,16.8,7269,33.2
Cook,3267,18.9,3264,25.2,1642,56.8
Coweta,16343,11,16296,14.5,7740,36.5
Crawford,889,7.2,887,9,447,18.5
Crisp,1234,5.5,1233,7.2,584,13.6
Dade,982,6.1,980,7.5,344,10.6
Dawson,547,2.1,547,2.6,278,5.3
DeKalb,93119,12.3,92350,15.8,33807,34.5
Decatur,4441,16.8,4430,22.2,2466,56.1
Dodge,402,2,402,2.4,141,3.7
Dooly,779,5.8,777,6.9,399,14.1
Dougherty,5926,6.7,5897,8.8,1525,10.5
Douglas,12995,8.9,12957,11.9,5983,34.5
Early,447,4.4,445,5.8,201,10.2
Echols,183,4.6,183,6.2,71,12.8
Effingham,6082,9.5,6064,12.8,2856,37.4
Elbert,1465,7.6,1462,9.7,828,20.3
Emanuel,2618,11.6,2617,15.4,1380,37
Evans,780,7.3,780,9.9,413,23.8
Fannin,2637,10.1,2636,12,1566,19.5
Fayette,17843,15.6,17789,20.2,8640,40.3
Floyd,4407,4.5,4347,5.7,873,5.2
Forsyth,15956,6.5,15855,8.9,6037,20
Franklin,591,2.5,591,3.2,280,6.3
Fulton,121456,11.4,120803,14.5,44004,34.4
Gilmer,1129,3.6,1129,4.4,690,8.6
Glascock,131,4.4,131,5.6,71,13.1
Glynn,23856,28,23745,35.4,12339,68.6
Gordon,1492,2.6,1486,3.4,471,5.3
Grady,1011,4.1,1010,5.5,503,11
Greene,4300,23.5,4293,28.8,2927,54.6
Gwinnett,92963,9.9,92473,13.5,32274,33
Habersham,2561,5.6,2558,7.3,1441,17
Hall,21104,10.3,21032,13.7,9776,31
Hancock,182,2.2,182,2.5,103,5.1
Haralson,1309,4.4,1309,5.8,684,14.2
Harris,3018,8.6,3013,10.9,1488,21.9
Hart,3699,14.1,3690,17.8,2300,39.7
Heard,444,3.7,444,4.8,194,8.9
Henry,15380,6.6,15333,8.7,7003,25
Houston,26218,16.6,26149,22.2,10066,49.1
Irwin,368,3.9,367,4.9,221,13
Jackson,7451,10.2,7431,13.6,4101,38.3
Jasper,809,5.7,809,7.4,473,18.8
Jeff Davis,321,2.1,321,2.9,151,6.2
Jefferson,1848,12,1846,15.6,1072,37
Jenkins,742,8.6,741,10.6,434,28.8
Johnson,258,2.7,258,3.3,118,6.6
Jones,2851,9.9,2848,12.8,1426,27.1
Lamar,670,3.5,669,4.4,405,12.2
Lanier,430,4.1,430,5.4,193,13.1
Laurens,4462,9.4,4456,12.4,2029,23.6
Lee,1038,3.5,1022,4.6,240,6.1
Liberty,11820,19.2,11816,26.8,2778,47
Lincoln,582,7.3,581,9,282,14.5
Long,221,1.1,221,1.6,107,5.4
Lowndes,14630,12.5,14567,16.4,6012,40.6
Lumpkin,436,1.3,436,1.6,226,3.8
Macon,698,5.4,698,6.6,361,15.4
Madison,2689,9,2685,11.6,1415,27.2
Marion,304,3.6,304,4.6,145,8.3
McDuffie,1082,5.1,1080,6.7,575,14.9
McIntosh,2925,20.3,2920,24.1,1784,44.1
Meriwether,2058,9.7,2057,12.3,1263,28.6
Miller,290,5.1,290,6.6,103,8
Mitchell,1079,4.9,1074,6.3,514,13.9
Monroe,685,2.5,685,3.1,414,7.8
Montgomery,786,8.6,785,10.7,422,26.3
Morgan,1872,9.7,1872,12.5,1186,30.1
Murray,1074,2.7,1072,3.5,457,7.4
Muscogee,28434,14.5,28304,19.2,12790,47.6
Newton,4293,3.8,4285,5.2,2801,18.9
Oconee,5477,13.6,5464,18.4,2812,44.2
Oglethorpe,2108,13.8,2092,17.3,1144,38.7
Paulding,10431,6.2,10416,8.3,5569,30.3
Peach,694,2.5,694,3.2,342,7.5
Pickens,1591,4.9,1589,6.1,1245,17.1
Pierce,2393,12.3,2390,16.3,1371,40.4
Pike,728,3.8,727,5,390,12.7
Polk,1023,2.4,1016,3.2,236,3.5
Pulaski,349,3.1,349,3.8,153,6
Putnam,679,3.1,679,3.8,414,7.5
Quitman,129,5.6,129,6.9,99,14
Rabun,2362,13.8,2357,16.5,1547,32.1
Randolph,208,3.1,208,3.9,108,6.4
Richmond,32061,15.8,31984,20.4,12410,42.3
Rockdale,2528,2.8,2528,3.7,1336,9.8
Schley,314,6,314,7.8,72,7.7
Screven,2455,17.6,2451,22.3,1414,51.8
Seminole,151,1.9,151,2.4,59,3.1
Spalding,2240,3.4,2235,4.4,1426,11.7
Stephens,477,1.8,476,2.4,192,3.7
Stewart,520,7.9,520,8.8,310,31.1
Sumter,5238,17.7,5231,22.9,2399,46.4
Talbot,758,12.2,757,14.6,446,28.3
Taliaferro,103,6.7,103,8.1,60,13.9
Tattnall,702,2.8,701,3.5,348,9.2
Taylor,1064,13.3,1063,16.6,543,32.4
Telfair,1158,7.3,1157,8.7,575,19.3
Terrell,487,5.7,487,7.4,258,15.1
Thomas,3853,8.7,3842,11.3,1874,22.6
Tift,3594,8.8,3585,11.7,1881,30.1
Toombs,1288,4.8,1287,6.5,583,12.8
Towns,317,2.6,317,3,171,4.1
Treutlen,220,3.2,220,4.1,109,8.5
