County Level Vaccination Data for Idaho
Date generated: Fri Apr 23 2021 10:41:51 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Ada,149623,31.1,149621,40.5,58027,80.6
Adams,1012,23.6,1012,28.5,685,53.3
Bannock,22076,25.1,22076,33.9,9166,71.1
Bear Lake,1509,24.6,1509,33.7,934,73.8
Benewah,2380,25.6,2379,32.8,1297,61.2
Bingham,10331,22.1,10331,31.7,4401,64.8
Blaine,9420,40.9,9420,51.9,4202,89.7
Boise,1423,18.2,1423,21.7,882,42.9
Bonner,11372,24.9,11371,31,6438,55.4
Bonneville,26150,22,26150,31.5,11095,68.9
Boundary,2317,18.9,2317,24.6,1359,48.1
Butte,582,22.4,582,29.6,333,54.2
Camas,295,26.7,295,34.2,141,52.2
Canyon,42333,18.4,42333,25.5,19783,61.4
Caribou,1302,18.2,1302,25.6,668,53.8
Cassia,3463,14.4,3463,21.1,1789,51.5
Clark,153,18.1,153,23.2,60,36.6
Clearwater,2041,23.3,2041,27.7,1358,55.4
Custer,1151,26.7,1151,32.2,697,53.7
Elmore,5275,19.2,5274,25.7,2272,58.6
Franklin,2817,20.3,2815,29.6,1382,68.1
Fremont,2615,20,2615,26.5,1408,61.6
Gem,3795,21,3795,27.1,2312,58
Gooding,2876,18.9,2876,25.9,1569,57.9
Idaho,2793,16.8,2793,20.8,1912,40.1
Jefferson,5045,16.9,5045,25.5,2225,64.4
Jerome,4148,17,4148,24.4,1906,59
Kootenai,40434,24.4,40426,31.5,20264,62.9
Latah,11051,27.6,11049,33.8,4404,77.9
Lemhi,2168,27,2168,33.2,1402,57
Lewis,1018,26.5,1018,33.9,640,62.1
Lincoln,1000,18.6,1000,25.7,477,62.8
Madison,5787,14.5,5787,19.8,2024,71.5
Minidoka,3425,16.3,3425,22.8,1704,49.9
Nez Perce,10897,27,10896,34.3,5592,68.5
Oneida,1000,22.1,1000,30.8,543,58.6
Owyhee,1763,14.9,1763,20,882,41.3
Payette,3945,16.5,3945,22.2,2316,51.9
Power,2042,26.6,2042,38.3,858,71.3
Shoshone,3441,26.7,3441,33.6,2020,67.8
Teton,3430,28.2,3427,37,1099,68.9
Twin Falls,17380,20,17379,27.6,8890,65.4
Unknown,8361,N/A,8356,N/A,3140,N/A
Valley,3877,34,3877,41.6,2048,69.3
Washington,2048,20.1,2048,26,1396,52.8
