County Level Vaccination Data for Louisiana
Date generated: Fri Apr 23 2021 10:44:29 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Acadia,12855,20.7,12838,27.9,6577,67.1
Allen,3622,14.1,3615,18.2,1446,37
Ascension,27512,21.7,27363,29.4,10478,67.4
Assumption,4405,20.1,4399,25.5,2290,55.8
Avoyelles,6782,16.9,6772,22,3360,48.3
Beauregard,4963,13.2,4950,17.6,2534,42.5
Bienville,3031,22.9,3031,29.4,1599,55.7
Bossier,26876,21.2,26819,28,11504,60.9
Caddo,56863,23.7,56708,30.8,26260,61.7
Calcasieu,36963,18.2,36892,24.2,17122,55.3
Caldwell,1842,18.6,1842,24.1,1014,56.4
Cameron,546,7.8,545,10,278,23.5
Catahoula,1763,18.6,1763,23.6,924,54.4
Claiborne,3123,19.9,3120,24.2,1550,50.7
Concordia,2895,15,2894,19.7,1494,43.6
De Soto,5352,19.5,5344,25.5,2739,54.6
East Baton Rouge,120428,27.4,119854,35.3,48194,74.8
East Carroll,1576,23,1575,30.2,717,68.5
East Feliciana,3550,18.6,3549,22.6,1819,51.8
Evangeline,5410,16.2,5399,21.5,2587,48.9
Franklin,3791,18.9,3784,25.3,1843,50
Grant,4107,18.3,4101,23.2,1729,49.8
Iberia,13552,19.4,13517,26,6450,59
Iberville,7932,24.4,7915,30.6,3479,65.4
Jackson,3002,19.1,3001,24.3,1567,48.4
Jefferson,132593,30.7,132025,39.2,54336,71
Jefferson Davis,4864,15.5,4857,20.8,2496,47.6
LaSalle,2451,16.5,2449,21.3,1262,49.3
Lafayette,55232,22.6,54967,29.5,22135,65.8
Lafourche,19468,19.9,19427,25.9,8753,56.2
Lincoln,10443,22.3,10417,27.8,4514,69.1
Livingston,23420,16.6,23350,22.3,10661,56.8
Madison,1867,17,1866,22.4,893,54.6
Morehouse,5533,22.2,5530,29.3,2873,59.7
Natchitoches,7135,18.7,7131,24.3,3584,54.9
Orleans,138242,35.4,137471,43.9,41192,67.9
Ouachita,32567,21.2,32480,28.1,14530,61.8
Plaquemines,6537,28.2,6511,37.8,2263,69.6
Pointe Coupee,5690,26.2,5685,33.3,2984,64.2
Rapides,29006,22.4,28930,29.6,13051,60.1
Red River,1453,17.2,1452,22.4,758,45.7
Richland,4566,22.7,4561,29.5,2247,61.7
Sabine,3819,16,3818,20.8,2315,45.7
St. Bernard,9494,20.1,9437,27.2,3446,60.8
St. Charles,14208,26.8,14128,35.1,5565,74.5
St. Helena,1398,13.8,1395,17.4,706,33.8
St. James,4777,22.6,4759,29.3,1991,53.2
St. John the Baptist,10800,25.2,10768,33.3,4270,67.7
St. Landry,15326,18.7,15262,25.3,6936,50.9
St. Martin,8773,16.4,8753,21.5,4370,52
St. Mary,10391,21.1,10369,27.6,4998,59.4
St. Tammany,74566,28.6,74244,37.4,33399,73.3
Tangipahoa,27841,20.7,27779,27.3,13130,65.3
Tensas,1331,30.7,1330,39.5,700,62.8
Terrebonne,22773,20.6,22733,27.5,10794,65.4
Union,5026,22.7,5019,28.9,2657,57
Unknown,56164,N/A,56084,N/A,26067,N/A
Vermilion,9322,15.7,9296,20.9,4513,48
Vernon,6645,14,6637,18.6,3027,50.3
Washington,8773,19,8756,24.9,4779,55.9
Webster,7796,20.3,7790,26.2,4303,55.5
West Baton Rouge,6113,23.1,6095,30.3,2399,63.5
West Carroll,2681,24.8,2681,31.9,1485,70.6
West Feliciana,6827,43.9,6817,52.4,2742,99.9
Winn,2759,19.8,2755,25,1428,53.7
