County Level Vaccination Data for Montana
Date generated: Fri Apr 23 2021 10:48:03 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Beaverhead,2928,31,2928,37.5,1541,73.1
Big Horn,5622,42.2,5488,62,1613,90.9
Blaine,3327,49.8,3200,68,942,89
Broadwater,1103,17.7,1101,22,709,47.3
Carbon,3166,29.5,3164,35.5,1640,57.1
Carter,224,17.9,223,22.7,143,43.7
Cascade,23255,28.6,23151,36.7,10198,65.6
Chouteau,1107,19.6,1107,25.3,577,48.4
Custer,2826,24.8,2822,31.2,1475,62.5
Daniels,447,26.4,447,33.4,233,48.7
Dawson,2083,24.2,2082,30.7,1065,60.5
Deer Lodge,3236,35.4,3231,41,1639,73.1
Fallon,579,20.3,579,28,291,60.1
Fergus,2716,24.6,2715,30.9,1660,59.6
Flathead,19214,18.5,19184,23.6,10447,49.8
Gallatin,25864,22.6,25779,28.1,9826,65.4
Garfield,178,14.1,178,18.4,114,37.6
Glacier,6799,49.4,6791,72,2226,99.9
Golden Valley,211,25.7,211,32.7,148,64.9
Granite,717,21.2,715,24.8,425,39.8
Hill,5023,30.5,5007,42.1,1785,70.8
Jefferson,3433,28.1,3411,35,1801,66.3
Judith Basin,445,22.2,445,27.6,291,52.8
Lake,10548,34.6,10457,44.7,5321,77.1
Lewis and Clark,21245,30.6,21150,38.7,9873,73.3
Liberty,547,23.4,547,29.3,274,53.1
Lincoln,3874,19.4,3868,23.6,2436,41.3
Madison,2050,23.8,2049,28.1,1337,52.6
McCone,160,9.6,160,12.2,103,22.8
Meagher,632,33.9,632,41.8,313,53.1
Mineral,1361,31,1360,37.8,781,60.1
Missoula,42954,35.9,42646,43.8,14757,76.3
Musselshell,920,19.9,920,24.4,547,42.7
Park,4935,29.7,4927,35.8,2288,58.1
Petroleum,104,21.4,104,25.7,67,53.6
Phillips,1052,26.6,1043,34.6,560,61.1
Pondera,1781,30.1,1776,39.7,803,66
Powder River,184,10.9,184,13.2,124,26.6
Powell,1661,24.1,1661,28.2,878,60
Prairie,279,25.9,279,31.8,175,48.5
Ravalli,12255,28,12213,34.3,6978,60
Richland,1978,18.3,1977,24.4,1000,60.2
Roosevelt,2918,26.5,2917,39.8,1115,86.2
Rosebud,4036,45.2,4010,63,1277,86.8
Sanders,2650,21.9,2643,26.4,1773,45.2
Sheridan,1051,31.8,1051,40.1,579,75.2
Silver Bow,12209,35,12099,43.5,5076,74.6
Stillwater,2467,25.6,2466,32.4,1382,60.9
Sweet Grass,912,24.4,910,30.6,568,55.4
Teton,1374,22.4,1373,29.5,785,55
Toole,1225,25.9,1225,32.6,558,60.6
Treasure,211,30.3,211,38.4,143,71.1
Unknown,12821,N/A,12813,N/A,5234,N/A
Valley,1882,25.4,1876,32.8,1003,57.1
Wheatland,368,17.3,368,22,243,44.9
Wibaux,159,16.4,159,20.6,105,42
Yellowstone,44662,27.7,44437,35.9,19698,70.1
