County Level Vaccination Data for Nevada
Date generated: Fri Apr 23 2021 11:02:15 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Carson City,16143,28.9,16129,36.2,8779,75.9
Churchill,5355,21.5,5354,27.9,2904,61
Clark,558086,24.6,557008,31.9,207603,60.6
Douglas,13667,27.9,13656,33.2,8730,60.2
Elko,9910,18.8,9904,25.8,3640,58.5
Esmeralda,161,18.4,161,21.5,88,28.2
Eureka,334,16.5,334,21.8,128,38.6
Humboldt,3776,22.4,3772,30.6,1413,58.2
Lander,1124,20.3,1123,27.5,413,46.7
Lincoln,1112,21.5,1111,26.7,611,46.6
Lyon,9637,16.8,9634,21.3,5489,45
Mineral,1304,28.9,1304,36,671,58.6
Nye,10460,22.5,10457,26.9,6946,49.3
Pershing,974,14.5,974,17.3,435,39.4
Storey,370,9,370,10.2,236,17.8
Unknown,30480,N/A,30456,N/A,8997,N/A
Washoe,120982,25.7,120829,32.6,55910,70.4
White Pine,2941,30.7,2940,38.5,1145,65.3
