County Level Vaccination Data for New Hampshire
Date generated: Fri Apr 23 2021 10:48:48 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Belknap,14603,23.8,14582,29.1,7958,56.9
Carroll,15455,31.6,15439,37.3,8944,63.1
Cheshire,20245,26.6,20191,32.3,10256,65.2
Coos,10253,32.5,10235,38.6,5208,68.1
Grafton,28749,32,28688,38,13277,69.2
Hillsborough,78176,18.7,77962,23.4,34401,50.9
Merrimack,37960,25.1,37878,30.8,17230,60.9
Rockingham,80023,25.8,79812,31.8,37965,66
Strafford,26963,20.6,26902,25.2,10866,53.9
Sullivan,10851,25.1,10823,30.8,5389,56.5
Unknown,74440,N/A,74285,N/A,31148,N/A
