County Level Vaccination Data for New Mexico
Date generated: Fri Apr 23 2021 10:50:04 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Bernalillo,150386,22.1,149900,28.1,55955,48.7
Catron,601,17,601,19.3,382,25
Chaves,11305,17.5,11282,23.6,5044,48.3
Cibola,9774,36.6,9436,46.1,2458,55
Colfax,2555,21.4,2543,25.9,1080,33.1
Curry,6402,13.1,6401,17.7,1613,25.6
De Baca,399,22.8,399,29.4,235,46.9
Doña Ana,54380,24.9,54195,32.8,20145,56.9
Eddy,8893,15.2,8854,20.6,3266,38.3
Grant,8227,30.5,8201,37.7,4344,56.3
Guadalupe,416,9.7,414,12.1,143,16.8
Harding,131,21,130,23.4,58,23.7
Hidalgo,936,22.3,928,28.6,429,45.5
Lea,8006,11.3,7929,15.9,1779,22
Lincoln,4494,23,4477,28,2032,35.5
Los Alamos,5802,30,5792,38.3,2022,57.7
Luna,5923,25,5910,33.7,2824,56.1
McKinley,30320,42.5,28686,55.9,6588,71.6
Mora,1242,27.5,1239,33.1,580,44.4
Otero,15973,23.7,15757,30.3,5829,49.9
Quay,1383,16.8,1383,21.3,706,33.3
Rio Arriba,13272,34.1,13023,43.5,4096,52.4
Roosevelt,2177,11.8,2171,15.5,768,28.3
San Juan,52231,42.1,50512,55.1,14083,72.6
San Miguel,6545,24,6470,28.7,2482,40.2
Sandoval,50006,34.1,49388,43.6,17606,65
Santa Fe,42361,28.2,42199,34,19896,52.2
Sierra,2932,27.2,2932,32.3,1789,44.3
Socorro,4920,29.6,4849,37.5,1487,44.6
Taos,9626,29.4,9567,35.4,4594,51
Torrance,2897,18.7,2896,23.5,1348,40.6
Union,472,11.6,462,14,147,16.6
Unknown,190719,N/A,190362,N/A,64494,N/A
Valencia,15816,20.6,15773,26.8,6669,47.7
