County Level Vaccination Data for New York
Date generated: Fri Apr 23 2021 10:51:04 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Albany,112997,37,112466,45,39876,74.9
Allegany,10604,23,10543,28.6,4621,51
Bronx,319571,22.5,319152,29.8,102103,54.1
Broome,59969,31.5,59757,38.9,25472,68.9
Cattaraugus,21588,28.4,21537,36.2,9559,63.6
Cayuga,23562,30.8,23481,38.1,9874,65
Chautauqua,38398,30.3,38301,37.8,17029,64.8
Chemung,26662,31.9,26561,40.4,10541,64.7
Chenango,13310,28.2,13289,35.4,5971,60.6
Clinton,33311,41.4,33114,50.1,11872,83.5
Columbia,20614,34.7,20576,41.7,9373,64.6
Cortland,14610,30.7,14571,37.9,5435,67.6
Delaware,11800,26.7,11771,31.9,5385,48.4
Dutchess,89378,30.4,89121,37.2,34800,65.2
Erie,298456,32.5,297347,40.5,115945,68.6
Essex,15206,41.2,15109,48.8,6080,67.9
Franklin,18080,36.1,17954,44.4,6655,76.3
Fulton,13519,25.3,13501,31.7,5951,55.3
Genesee,16546,28.9,16506,36.1,7349,66.5
Greene,13594,28.8,13566,34.3,6029,56.2
Hamilton,2624,59.4,2617,68.6,1305,92.8
Herkimer,18467,30.1,18412,37.7,8476,65.1
Jefferson,38674,35.2,38541,46.2,12261,78.5
Kings,562813,22,562017,28.4,165393,45
Lewis,7040,26.8,7035,34.7,3202,64
Livingston,17671,28.1,17642,34,7343,63.7
Madison,21957,31,21864,38,7775,58
Monroe,251414,33.9,250160,42.5,91058,68.7
Montgomery,15291,31.1,15266,40.2,7248,77.9
Nassau,471189,34.7,469726,44.1,174311,70.7
New York,570658,35,569349,40.8,176582,64
Niagara,64290,30.7,64136,38.3,27309,66.8
Oneida,74250,32.5,73950,41.1,29355,67
Onondaga,170942,37.1,169962,46.8,59875,74.2
Ontario,39886,36.3,39694,45.1,16354,72.3
Orange,103044,26.8,102760,35.8,32920,59.7
Orleans,9550,23.7,9536,29.3,4155,55.9
Oswego,32982,28.2,32893,35.5,12324,62.6
Otsego,18540,31.2,18446,36.8,7945,61.4
Putnam,32012,32.6,31936,40.3,11918,67.2
Queens,630060,28,629213,34.9,200168,54.3
Rensselaer,52653,33.2,52407,40.9,19243,69.2
Richmond,134116,28.2,133942,36,49402,62.3
Rockland,91147,28,90851,39,34789,67.2
Saratoga,88855,38.7,88363,47.9,32215,74.5
Schenectady,50344,32.4,50106,41.1,19302,71.6
Schoharie,8217,26.5,8199,32,3808,54
Schuyler,6559,36.8,6547,45.1,2826,72.3
Seneca,10081,29.6,10049,36.9,4305,64.5
St. Lawrence,38092,35.4,37898,44,14033,72.5
Steuben,28459,29.8,28331,37.7,11646,60.6
Suffolk,430100,29.1,429121,36.8,169435,66.2
Sullivan,20058,26.6,19997,33.6,8107,55.6
Tioga,14081,29.2,14030,36.7,5982,59.3
Tompkins,40231,39.4,39993,45.9,11628,75.4
Ulster,60053,33.8,59826,40.8,22683,62.7
Unknown,171802,N/A,171630,N/A,50149,N/A
Warren,25550,40,25455,48.6,10154,69.2
Washington,17526,28.6,17479,35.1,7633,62.1
Wayne,27223,30.3,27142,38.3,10957,62.4
Westchester,331418,34.3,329528,43.5,115903,68.8
Wyoming,9819,24.6,9811,30.3,4437,59.8
Yates,7677,30.8,7671,39.5,3669,69
