County Level Vaccination Data for North Dakota
Date generated: Fri Apr 23 2021 10:52:22 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,733,33.1,733,41,403,63.8
Barnes,3820,36.7,3810,45.5,1694,70
Benson,1441,21.1,1433,32.3,610,62
Billings,111,12,111,15.1,44,20.9
Bottineau,2184,34.8,2179,44.1,1145,74.3
Bowman,694,22.9,693,30.3,433,64.5
Burke,503,23.8,503,31.6,279,62.1
Burleigh,28330,29.6,28165,38.4,10593,66.8
Cass,64884,35.7,64542,45.8,17161,75.7
Cavalier,1576,41.9,1570,54,735,71.3
Dickey,1747,35.9,1721,46.8,812,80.5
Divide,615,27.2,613,35.4,302,52.6
Dunn,566,12.8,566,17.1,303,42.4
Eddy,836,36.6,831,47.5,398,73.6
Emmons,680,21,677,26,432,47.4
Foster,1193,37.2,1189,47.2,510,70.2
Golden Valley,333,18.9,332,24.1,191,42.4
Grand Forks,23150,33.3,23020,42,6860,74.2
Grant,266,11.7,265,14.6,173,24.9
Griggs,797,35.7,795,45.1,425,62.9
Hettinger,601,24,600,32.1,369,67
Kidder,485,19.6,484,24.7,278,44.1
LaMoure,1296,32,1290,40.7,695,62.4
Logan,395,21.4,395,27.6,255,51.8
McHenry,1467,25.5,1463,33.4,807,67.1
McIntosh,667,26.7,667,32.8,413,51.4
McKenzie,1526,10.2,1521,14.9,562,42.4
McLean,2675,28.3,2668,36.2,1380,60.2
Mercer,1941,23.7,1941,30.9,1018,62
Morton,8078,25.8,8034,33.3,3449,64.8
Mountrail,2326,22.1,2315,30.3,746,60.9
Nelson,1444,50.2,1441,62.1,713,93.3
Oliver,313,16,311,21.2,192,43.2
Pembina,2344,34.5,2339,43.3,1169,72.1
Pierce,1206,30.3,1203,39.2,622,65.8
Ramsey,4321,37.5,4302,48.7,1775,75.9
Ransom,1997,38.3,1991,49.2,956,86.4
Renville,527,22.6,526,29.2,299,61.9
Richland,5327,32.9,5303,42,2150,71.2
Rolette,5824,41.1,5606,59.6,1331,76.9
Sargent,1489,38.2,1481,48.5,689,78
Sheridan,337,25.6,337,31.2,207,46.2
Sioux,728,17.2,727,26.8,211,58.8
Slope,53,7.1,53,8.9,34,19.1
Stark,6169,19.6,6132,26.7,2587,59.2
Steele,630,33.3,627,42.5,293,61.6
Stutsman,6816,32.9,6730,40.6,2739,66.3
Towner,729,33.3,722,42.1,337,60.9
Traill,2598,32.3,2589,41.7,1066,66.4
Unknown,10075,N/A,10054,N/A,2810,N/A
Walsh,3419,32.1,3412,41.6,1573,68.6
Ward,17277,25.5,17202,33.4,6052,67.8
Wells,1086,28.3,1086,35.6,609,55.3
Williams,5153,13.7,5147,19.4,2042,59.1
