County Level Vaccination Data for Oregon
Date generated: Fri Apr 23 2021 10:53:42 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Baker,7603,47.2,7573,58.6,4449,99.9
Benton,31838,34.2,31641,40.5,12713,81.3
Clackamas,106308,25.4,105809,32.1,49550,63.2
Clatsop,9850,24.5,9845,30.1,5551,58.9
Columbia,11980,22.9,11954,28.8,6706,66.8
Coos,15584,24.2,15445,29.3,8890,52
Crook,5630,23.1,5628,28.7,3735,60.8
Curry,5594,24.4,5588,28.4,3851,48
Deschutes,59334,30,59162,37.3,30145,74.5
Douglas,27969,25.2,27937,31.2,16931,58
Gilliam,474,24.8,473,30.6,261,49.4
Grant,1709,23.7,1708,28.8,995,44
Harney,1832,24.8,1830,31,994,53.9
Hood River,9459,40.5,9424,52.7,3026,79.5
Jackson,48995,22.2,48866,27.8,27114,54.4
Jefferson,7260,29.4,7188,38,3136,64.2
Josephine,20168,23.1,20116,28.6,12585,54.6
Klamath,16507,24.2,16484,30.8,8967,60.6
Lake,1798,22.8,1798,28.2,1023,51.1
Lane,100128,26.2,99794,31.9,51837,68.1
Lincoln,16937,33.9,16903,40.5,10060,68.6
Linn,30858,23.8,30783,30.5,15348,62
Malheur,6604,21.6,6594,29.1,3193,62.1
Marion,84308,24.2,84032,31.9,38075,67.7
Morrow,3066,26.4,3053,36.3,1164,59.8
Multnomah,241160,29.7,240179,36.2,86166,76.3
Polk,23914,27.8,23842,35.7,11171,70.2
Sherman,529,29.7,527,36.5,277,61.1
Tillamook,7247,26.8,7236,33,4449,62.3
Umatilla,18246,23.4,18082,31,7577,60.6
Union,6080,22.7,6071,28.9,3304,57.3
Unknown,27181,N/A,27154,N/A,9373,N/A
Wallowa,2391,33.2,2389,40.8,1444,67.4
Wasco,7754,29.1,7732,37.2,3727,66.6
Washington,147960,24.6,147163,31.6,57198,68.6
Wheeler,521,39.1,521,45.4,312,64.5
Yamhill,26800,25,26712,31.9,11959,62.6
