County Level Vaccination Data for Puerto Rico
Date generated: Fri Apr 23 2021 10:54:26 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adjuntas,3274,18.9,3273,23,1646,55.8
Aguada,7086,19.3,7082,23.5,2780,44.6
Aguadilla,10024,19.9,10017,24.3,4318,50.5
Aguas Buenas,5497,22.2,5495,27,2165,51.3
Aibonito,6246,28.3,6241,34.4,3113,82.8
Arecibo,20073,24.5,20056,29.8,7735,55.5
Arroyo,2911,16.9,2910,20.6,1390,47.4
Añasco,4889,18.7,4887,22.8,2097,47.2
Barceloneta,4876,20.6,4875,25,1993,49.4
Barranquitas,6881,24.8,6879,30.2,2593,55
Bayamón,42814,25.3,42799,30.8,17505,60.8
Cabo Rojo,9861,20.8,9841,25.2,4054,50.2
Caguas,27931,22.4,27917,27.3,11868,56
Camuy,5369,17.6,5367,21.4,1789,34.5
Canóvanas,8628,19.3,8622,23.5,3124,41.1
Carolina,29208,19.9,29193,24.2,11300,45.2
Cataño,3958,17.1,3958,20.9,1746,44.4
Cayey,9138,21.5,9130,26.2,4376,60.7
Ceiba,1896,17.4,1896,21.2,994,53.6
Ciales,3389,21.4,3388,26.1,1410,52.5
Cidra,7125,18.6,7122,22.7,2805,43.1
Coamo,7210,18.8,7208,22.9,3912,60
Comerío,2488,13.3,2488,16.3,821,25.9
Corozal,5515,17.1,5513,20.8,2394,43.6
Culebra,850,49.6,850,60.4,141,48.5
Dorado,7239,20,7232,24.4,2633,42.9
Fajardo,5850,19.9,5850,24.2,2921,58.3
Florida,2900,25.6,2898,31.2,1334,69.3
Guayama,6300,16,6296,19.4,3007,44.8
Guayanilla,3370,19.1,3369,23.3,1676,55.9
Guaynabo,23372,27.9,23351,34,8974,63
Gurabo,9020,19.2,9019,23.3,3526,44
Guánica,2632,17.1,2632,20.8,1460,55.8
Hatillo,8119,20.7,8113,25.2,3401,51
Hormigueros,3505,22.6,3501,27.5,1752,66.4
Humacao,10516,20.8,10512,25.3,4861,56.5
Isabela,6873,17,6871,20.7,3077,44.8
Jayuya,2557,18.4,2557,22.4,1357,57.5
Juana Díaz,8615,19.3,8614,23.5,3777,49.7
Juncos,6901,18.1,6900,22,2862,44.1
Lajas,4725,21.5,4725,26.2,2288,61.1
Lares,6377,26.3,6373,32,2781,67.4
Las Marías,2123,26.8,2122,32.6,1138,84.4
Las Piedras,6320,17.1,6318,20.8,2608,41.5
Loíza,2816,11.5,2814,14,882,21.1
Luquillo,2458,13.9,2458,17,1224,40.8
Manatí,8347,22.4,8344,27.3,3611,57
Maricao,666,12.3,665,14.9,266,28.8
Maunabo,1241,12,1240,14.6,607,34.6
Mayagüez,16640,23.3,16619,28.3,8333,68.5
Moca,7637,21.9,7633,26.7,3215,54.2
Morovis,5318,17.5,5316,21.4,1924,37.3
Naguabo,3409,13.2,3409,16.1,1644,37.5
Naranjito,4676,17.1,4675,20.8,1728,37.2
Orocovis,3822,18.9,3822,23,1424,41.4
Patillas,1912,11.8,1912,14.4,843,30.6
Peñuelas,3146,16.3,3146,19.9,1330,40.6
Ponce,32002,24.3,31982,29.5,14787,66
Quebradillas,4830,21.1,4829,25.7,2147,55.1
Rincón,2408,17.6,2407,21.5,1245,53.6
Río Grande,7055,14.7,7053,17.9,3036,37.2
Sabana Grande,4572,21.1,4572,25.7,2446,66.3
Salinas,5728,21.1,5728,25.7,2769,60
San Germán,5932,19.6,5929,23.9,2866,55.8
San Juan,67613,21.2,67566,25.9,27742,51.2
San Lorenzo,5963,16.6,5958,20.2,2500,40.9
San Sebastián,11181,31.5,11172,38.3,5448,90.2
Santa Isabel,3069,14.5,3065,17.6,1047,29
Toa Alta,12680,17.6,12673,21.4,4177,34.1
Toa Baja,13894,18.7,13883,22.8,5938,47
Trujillo Alto,11376,17.9,11368,21.8,4566,42.2
Unknown,28329,N/A,28315,N/A,15562,N/A
Utuado,4958,18.1,4957,22,2323,49.9
Vega Alta,6173,17.1,6168,20.8,2777,45.3
Vega Baja,11451,22.9,11442,27.9,4580,53.9
Vieques,4459,53.2,4458,64.8,1286,90.2
Villalba,7122,33.3,7119,40.6,3095,85.2
Yabucoa,4136,12.8,4136,15.6,1606,29.3
Yauco,6599,19.7,6598,23.9,3190,55.9
