County Level Vaccination Data for South Carolina
Date generated: Fri Apr 23 2021 10:55:06 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Abbeville,5410,22.1,5402,27.5,3011,54.9
Aiken,36668,21.5,36585,27.2,18735,55.1
Allendale,1799,20.7,1795,25.5,921,50.7
Anderson,40479,20,40401,25.8,21034,56.7
Bamberg,2983,21.2,2982,26.1,1612,51.1
Barnwell,4214,20.2,4206,26.4,2147,54.4
Beaufort,59626,31,59496,37.9,37460,69.6
Berkeley,38371,16.8,38279,22,17933,55.6
Calhoun,2559,17.6,2556,21.6,1365,39.2
Charleston,126226,30.7,125855,38,50998,73
Cherokee,7978,13.9,7967,18,4378,44.6
Chester,6185,19.2,6179,24.7,3371,54.5
Chesterfield,8038,17.6,8026,22.5,4181,48.1
Clarendon,7831,23.2,7820,28.6,4322,53
Colleton,6722,17.8,6714,23,3924,50.3
Darlington,16226,24.4,16184,31.1,8229,63.3
Dillon,6179,20.3,6164,27.1,3069,58.7
Dorchester,31738,19.5,31664,25.6,14998,63.4
Edgefield,7620,28,7608,33.9,3422,64.5
Fairfield,5332,23.9,5320,29.4,2959,59
Florence,35488,25.7,35389,33.5,16218,67.4
Georgetown,18742,29.9,18698,36.3,11114,62
Greenville,122461,23.4,121985,30.2,55402,65.5
Greenwood,18676,26.4,18631,34,9614,72
Hampton,4922,25.6,4916,32.5,2515,69.7
Horry,99196,28,99052,33.9,59404,66.9
Jasper,3918,13,3913,16.2,2132,35.2
Kershaw,13720,20.6,13671,26.7,6510,52.3
Lancaster,17438,17.8,17397,22.6,9642,45.9
Laurens,12777,18.9,12752,24.2,7067,55.7
Lee,3186,18.9,3182,23.6,1764,53.3
Lexington,68958,23.1,68685,29.9,30797,63.6
Marion,6913,22.5,6904,29.1,3601,56.7
Marlboro,5325,20.4,5321,25.4,2542,52.3
McCormick,3623,38.3,3620,43.2,2559,75.9
Newberry,9463,24.6,9441,31.2,5056,64.9
Oconee,19369,24.3,19338,30.3,11750,62.7
Orangeburg,20289,23.5,20260,30,10490,59.7
Pickens,27928,22,27856,27,14125,66.5
Richland,101281,24.4,100778,30.8,38291,69.8
Saluda,2929,14.3,2926,18.2,1433,34.5
Spartanburg,56571,17.7,56439,22.9,28415,54.1
Sumter,22843,21.4,22800,28,10660,59.3
Union,4592,16.8,4587,21.3,2886,51.2
Unknown,84816,N/A,84671,N/A,37375,N/A
Williamsburg,8290,27.3,8279,34.3,3967,60.1
York,47464,16.9,47272,22.1,19191,46.4
