County Level Vaccination Data for South Dakota
Date generated: Fri Apr 23 2021 10:55:34 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aurora,649,23.6,649,31.4,337,59.2
Beadle,4029,21.8,4027,29.9,1740,53
Bennett,852,25.3,835,37.5,311,69.6
Bon Homme,2163,31.3,2160,38.8,961,67
Brookings,6466,18.4,6455,23.2,2577,58.9
Brown,12419,32,12392,41.8,5192,74.6
Brule,1183,22.3,1182,30.1,445,42.6
Buffalo,509,25.9,509,42.3,114,77
Butte,1646,15.8,1644,20.9,979,45.7
Campbell,264,19.2,264,23,166,41.2
Charles Mix,2280,24.5,2277,34.9,1069,61.9
Clark,991,26.5,991,36.3,556,68.2
Clay,5039,35.8,5025,43.2,1709,96.4
Codington,5034,18,5021,23.5,2758,53.7
Corson,680,16.6,678,26.2,248,50.6
Custer,2001,22.3,1997,26.1,1287,45.3
Davison,4351,22,4343,28.5,2123,56.1
Day,1603,29.6,1600,38,855,60.2
Deuel,824,18.9,824,24.6,459,47.9
Dewey,2310,39.2,2250,61.5,540,92.2
Douglas,631,21.6,628,29.1,368,52.4
Edmunds,708,18.5,707,24,391,46.4
Fall River,2059,30.7,2058,36.8,1224,61
Faulk,716,31.1,715,41.9,372,68.5
Grant,1804,25.6,1797,32.9,933,61.8
Gregory,1026,24.5,1026,32.2,641,59.5
Haakon,310,16.3,309,21.2,202,42
Hamlin,1005,16.3,1005,24.2,557,58.4
Hand,812,25.4,810,32.4,436,53.1
Hanson,588,17,586,24.3,331,61.8
Harding,111,8.6,111,11.2,83,35.2
Hughes,5080,29,5067,38.1,1839,58.2
Hutchinson,1739,23.9,1736,31.9,1003,60.1
Hyde,372,28.6,372,36.4,193,59.2
Jackson,683,20.4,660,30.3,241,53.4
Jerauld,577,28.7,577,37.5,306,55.8
Jones,281,31.1,280,39.5,164,76.3
Kingsbury,1852,37.5,1850,49,1027,88.5
Lake,2729,21.3,2725,26.7,1230,40.6
Lawrence,5957,23,5942,27.9,3068,51.9
Lincoln,14034,23,13961,31.6,3901,47.7
Lyman,1174,31,1174,44,433,70.8
Marshall,1395,28.3,1393,37.1,719,68.7
McCook,1486,26.6,1481,36.7,651,61.6
McPherson,132,5.5,131,7.3,70,10.4
Meade,7387,26.1,7328,33.3,2507,55.3
Mellette,413,20,406,28.5,155,50.8
Miner,750,33.8,750,44.5,384,82.6
Minnehaha,60197,31.2,59944,41.5,19752,75.8
Moody,1811,27.5,1809,37.4,788,62.5
Oglala Lakota County,4068,28.7,3886,43.4,667,63.3
Pennington,25907,22.8,25663,29.2,10464,49.6
Perkins,442,15.4,442,19.5,292,38.4
Potter,622,28.9,621,36.6,390,62.1
Roberts,3119,30,3117,42.4,1217,59.3
Sanborn,571,24.4,571,32.5,273,57.6
Spink,1430,22.4,1429,29.1,758,56.1
Stanley,1098,35.4,1096,47.3,493,78.1
Sully,260,18.7,257,23.5,125,34.4
Todd,2634,25.9,2564,43.2,526,68.9
Tripp,1034,19,1032,24.8,558,45.1
Turner,1902,22.7,1898,29.9,880,49.1
Union,4430,27.8,4424,36.7,1803,60.9
Unknown,64363,N/A,64280,N/A,30128,N/A
Walworth,1039,19.1,1037,24.9,590,44.7
Yankton,7850,34.4,7824,43.4,3576,80.5
Ziebach,423,15.3,412,20.6,106,40.2
