County Level Vaccination Data for Vermont
Date generated: Fri Apr 23 2021 10:58:14 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Addison,10191,27.7,10155,33.1,5530,72.8
Bennington,6898,19.4,6882,23.8,3855,46.5
Caledonia,4681,15.6,4680,19.3,2522,38.1
Chittenden,50128,30.6,49958,36.9,19080,74.9
Essex,976,15.8,976,19.1,594,36.3
Franklin,7378,14.9,7358,19.1,3324,40.3
Grand Isle,2511,34.7,2504,42.2,1344,86.3
Lamoille,6239,24.6,6219,30.7,3164,69.7
Orange,6571,22.7,6560,27.7,3278,51.5
Orleans,6546,24.2,6540,30,3842,61.1
Rutland,19277,33.1,19215,40.1,9898,74.8
Unknown,52735,N/A,52590,N/A,26440,N/A
Washington,11847,20.3,11814,24.8,5704,48.5
Windham,10752,25.5,10730,30.9,5889,58.4
Windsor,12848,23.3,12827,28.4,6585,49.4
