County Level Vaccination Data for Virginia
Date generated: Fri Apr 23 2021 10:59:03 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Accomack,10535,32.6,10502,41,5522,69.6
Albemarle,13055,11.9,12958,14.8,5112,24.2
Alexandria,22743,14.3,22663,17.3,6153,31.7
Alleghany,292,2,292,2.4,160,4.2
Amelia,175,1.3,175,1.7,128,4.9
Amherst,5420,17.1,5411,21.2,2595,38
Appomattox,188,1.2,187,1.5,95,2.8
Arlington,41415,17.5,41304,21.3,7670,29.2
Augusta,10743,14.2,10702,17.4,4986,30.1
Bath,431,10.4,431,12.2,244,21
Bedford,9121,11.5,9112,14.4,4890,28.3
Bland,291,4.6,291,5.4,151,10.2
Botetourt,3765,11.3,3748,13.8,1817,23.4
Bristol,5105,30.5,5092,38,2635,72.7
Brunswick,2921,18,2915,21.5,1447,40.9
Buchanan,4322,20.6,4317,24.9,1772,36.6
Buckingham,876,5.1,876,6.2,455,13.1
Buena Vista,N/A,N/A,N/A,N/A,N/A,N/A
Campbell,5255,9.6,5250,11.9,2459,22.1
Caroline,1707,5.6,1705,7.2,826,15.9
Carroll,1396,4.7,1396,5.7,813,10.7
Charles City,161,2.3,161,2.7,74,4.2
Charlotte,728,6.1,726,7.7,408,15.2
Charlottesville,799,1.7,799,2,292,5
Chesapeake,13627,5.6,13579,7.3,4600,13.7
Chesterfield,55667,15.8,55224,20.5,20724,38.1
Clarke,3491,23.9,3483,29.6,1719,53.8
Colonial Heights,91,0.5,91,0.7,17,0.5
Covington,N/A,N/A,N/A,N/A,N/A,N/A
Craig,63,1.2,63,1.5,46,3.7
Culpeper,2924,5.6,2919,7.4,1186,14
Cumberland,352,3.5,352,4.4,185,8.1
Danville,N/A,N/A,N/A,N/A,N/A,N/A
Dickenson,2881,20.1,2875,25,1421,43.2
Dinwiddie,3804,13.3,3794,16.6,1531,29.9
Emporia,N/A,N/A,N/A,N/A,N/A,N/A
Essex,769,7,767,8.6,433,16.7
Fairfax,264320,23,262779,29.8,85125,53.1
Fairfax,649,2.7,646,3.6,224,6.4
Falls Church,421,2.9,420,3.8,96,4.7
Fauquier,11862,16.7,11804,21.6,4588,38
Floyd,438,2.8,438,3.4,212,5.7
Fluvanna,6180,22.7,6156,28.2,2896,51.7
Franklin,7645,13.6,7625,16.7,4012,29.6
Franklin,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,7882,8.8,7862,11.4,3740,23.5
Fredericksburg,655,2.3,652,2.8,200,5.8
Galax,N/A,N/A,N/A,N/A,N/A,N/A
Giles,1771,10.6,1768,13.3,825,22.1
Gloucester,10064,26.9,10053,33.6,4939,67.4
Goochland,5399,22.7,5378,27.3,2584,47.5
Grayson,2093,13.5,2092,16.1,963,24.5
Greene,220,1.1,219,1.4,114,3.2
Greensville,322,2.8,322,3.4,151,8.7
Halifax,3778,11.1,3764,13.9,1933,23
Hampton,25286,18.8,25215,23.7,9387,44.3
Hanover,16921,15.7,16762,19.9,6482,32.8
Harrisonburg,603,1.1,603,1.4,78,1.5
Henrico,35329,10.7,35029,13.6,13794,26.2
Henry,4401,8.7,4395,10.8,2216,17.9
Highland,851,38.9,849,44.7,510,65.6
Hopewell,N/A,N/A,N/A,N/A,N/A,N/A
Isle of Wight,3243,8.7,3234,11,1368,18.6
James City,2997,3.9,2985,4.9,1422,7.2
King George,1449,5.4,1442,7.1,361,10
