County Level Vaccination Data for Washington
Date generated: Fri Apr 23 2021 10:59:24 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,4544,22.7,4540,35.4,1658,73.2
Asotin,4713,20.9,4710,26.1,3187,58.9
Benton,50568,24.7,50387,33.6,22044,70.1
Chelan,28215,36.5,28084,47.4,11618,76.6
Clallam,31017,40.1,30983,48.1,17530,74.4
Clark,124346,25.5,123986,33.2,58761,75.4
Columbia,1003,25.2,1002,30.7,577,50.9
Cowlitz,29790,26.9,29752,34.8,15458,72.3
Douglas,12972,29.9,12925,40.1,5071,64.3
Ferry,2088,27.4,2088,32.8,1114,51.7
Franklin,17731,18.6,17697,27.3,6054,65.9
Garfield,385,17.3,383,21.8,230,40.8
Grant,22749,23.3,22656,32.8,9348,68.1
Grays Harbor,21770,29,21735,36.4,11244,67.2
Island,26026,30.6,25987,37.2,14750,68.7
Jefferson,14757,45.8,14743,51.9,10079,82.4
King,678588,30.1,675437,37.5,231747,76.2
Kitsap,78781,29,78578,36.3,38085,76.4
Kittitas,12454,26,12417,31.1,6098,75.9
Klickitat,5979,26.7,5964,32.9,3537,64.3
Lewis,18134,22.5,18117,28.5,9943,57.8
Lincoln,2850,26.1,2845,33.2,1711,60.4
Mason,18658,27.9,18632,34.7,10656,68.5
Okanogan,15765,37.3,15737,48.6,6864,73.7
Pacific,6491,28.9,6466,34,4529,62.6
Pend Oreille,2577,18.8,2574,23.2,1652,44.7
Pierce,218738,24.2,218302,31.4,90395,70.4
San Juan,6906,39.3,6898,44.9,4548,73.6
Skagit,40033,31,39943,39.4,21101,76
Skamania,2284,18.9,2281,23.1,1234,46.1
Snohomish,214329,26.1,213591,33.5,82725,72
Spokane,136115,26,135843,33.3,61703,71.2
Stevens,7638,16.7,7628,21.2,4493,41.2
Thurston,80903,27.8,80734,35.3,37079,71.5
Unknown,94790,N/A,94424,N/A,30066,N/A
Wahkiakum,1385,30.9,1384,37.2,880,59.4
Walla Walla,20409,33.6,20289,42.1,8189,72.1
Whatcom,72495,31.6,72139,38.9,31753,77.1
Whitman,9661,19.3,9639,22.6,3862,71.9
Yakima,67302,26.8,66903,37.8,25805,73.3
